Feature ID,Segment Identifier,Assessment Year,Tool Type,Upstream Reference Girth Weld,Distance to Upstream Girth Weld,Absolute Distance,Distance to Downstream Girth Weld,Feature Type,Feature Identification,Surface Location,Comment,Feature Orientation,Peak Depth of Corrosion or Crack Anomaly,Peak Depth of Dent Anomaly,Length of Anomaly,Width of Anomaly,Psafe,Pburst,Pburst/MAOP,Half Life Corrosion Growth Rate,Bend Radius,Long Seam Orientation,Feature Milepost,HCA,MAOP,Pipe O.D.,Pipe Wall Thickness,SMYS,100% SMYS,Maximum Operating Stress,Safety Factor for Original DOT Design Class Location,Installation Year,"Actual Tool Speed",Maximum Allowable Tool Speed,"ILI Vendor","Tool Run Date","Distance from Upstream Girth Weld to Upstream Reference","Distance from Upstream Girth Weld to Downstream Reference","Upstream Reference Description",Downstream Reference Description,Latitude,Longitude,Z Coordinate
16110,Greenville to Peters II,2015,GMFL,16110,39.79,57590.2,39.80,COMP,Girth weld,,Girth Weld - 16110,,,,,,,,,,,,10.91,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.20,,T.D. Williamson,4/29/2015,6298.6,4256.1,AGM 12,Valve,38.79077852,-89.58776595,530.2
16120,Greenville to Peters II,2015,GMFL,16120,39.80,57630.0,39.77,COMP,Girth weld,,Girth Weld - 16120,,,,,,,,,,,,10.91,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.00,,T.D. Williamson,4/29/2015,6338.4,4216.3,AGM 12,Valve,38.79069563,-89.58785700,530.2
16130,Greenville to Peters II,2015,GMFL,16130,39.77,57669.8,39.74,COMP,Girth weld,,Girth Weld - 16130,,,,,,,,,,,,10.92,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.30,,T.D. Williamson,4/29/2015,6378.2,4176.5,AGM 12,Valve,38.79061269,-89.58794783,530.2
16140,Greenville to Peters II,2015,GMFL,16140,39.74,57709.5,18.72,COMP,Girth weld,,Girth Weld - 16140,,,,,,,,,,,,10.93,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.10,,T.D. Williamson,4/29/2015,6418.0,4136.8,AGM 12,Valve,38.79052976,-89.58803846,529.7
16150,Greenville to Peters II,2015,GMFL,16150,18.72,57728.2,19.09,COMP,Girth weld,,Girth Weld - 16150,,,,,,,,,,,,10.93,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.40,,T.D. Williamson,4/29/2015,6457.7,4097.0,AGM 12,Valve,38.79049108,-89.58808169,529.0
16150,Greenville to Peters II,2015,GMFL,16150,7.96,57736.2,11.13,,Unclassified,,Debris,,,,,,,,,,,,10.93,,850,10.75,0.250,42000,1407,60.43,0.72,0,4.20,,T.D. Williamson,4/29/2015,6476.4,4078.3,AGM 12,Valve,38.79047458,-89.58810002,528.8
16160,Greenville to Peters II,2015,GMFL,16160,19.09,57747.3,39.72,COMP,Girth weld,,Girth Weld - 16160,,,,,,,,,,,,10.94,,850,10.75,0.250,42000,1407,60.43,0.72,0,4.80,,T.D. Williamson,4/29/2015,6476.4,4078.3,AGM 12,Valve,38.79045105,-89.58812481,529.6
16170,Greenville to Peters II,2015,GMFL,16170,39.72,57787.1,39.74,COMP,Girth weld,,Girth Weld - 16170,,,,,,,,,,,,10.94,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.00,,T.D. Williamson,4/29/2015,6495.5,4059.2,AGM 12,Valve,38.79036770,-89.58821452,530.9
16180,Greenville to Peters II,2015,GMFL,16180,39.74,57826.8,38.14,COMP,Girth weld,,Girth Weld - 16180,,,,,,,,,,,,10.95,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.10,,T.D. Williamson,4/29/2015,6535.3,4019.5,AGM 12,Valve,38.79028503,-89.58830558,530.9
16190,Greenville to Peters II,2015,GMFL,16190,38.14,57864.9,38.05,COMP,Girth weld,,Girth Weld - 16190,,,,,,,,,,,,10.96,,850,10.75,0.250,42000,1407,60.43,0.72,0,4.90,,T.D. Williamson,4/29/2015,6575.0,3979.8,AGM 12,Valve,38.79020560,-89.58839285,530.9
