blanks
54,340,41.42,41.26,41.42,847.94,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67227218,-118.01716518,32.30,,,,,
55,350,41.52,41.42,41.52,889.36,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67231808,-118.01704471,31.62,,,,,
56,360,9.76,41.52,9.76,930.89,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67236381,-118.01692326,30.31,,,,,
57,370,2.76,9.76,2.76,940.65,Girth Weld,,,,,,,,Elbow,,,8.625,715,,,,,33.67237441,-118.01689455,30.01,,,,,
58,370,2.76,1.40,1.36,942.05,Bend,,,,,,09:06,75° 3D Left Forged Bend,Elbow,,,8.625,715,,,,,33.67237662,-118.01689103,29.99,,,,,
59,380,41.41,2.76,41.41,943.41,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67237995,-118.01688966,30.00,,,,,
60,390,41.25,41.41,41.25,984.82,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67248942,-118.01691165,30.51,,,,,
61,400,27.60,41.25,27.60,1026.07,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67259872,-118.01693253,29.71,,,,,
62,410,41.62,27.60,41.62,1053.67,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67267237,-118.01694647,29.36,,,,,
63,420,22.32,41.62,22.32,1095.29,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67278216,-118.01696785,28.56,,,,,
64,430,1.61,22.32,1.61,1117.62,Girth Weld,,,,,,,,Elbow,,,8.625,715,,,,,33.67284130,-118.01697958,27.99,,,,,
65,430,1.61,0.84,0.77,1118.45,Bend,,,,,,03:17,45° 3D Right Forged Bend,Elbow,,,8.625,715,,,,,33.67284352,-118.01697965,27.94,,,,,
66,440,27.82,1.61,27.82,1119.23,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67284537,-118.01697900,27.87,,,,,
67,450,1.60,27.82,1.60,1147.05,Girth Weld,,,,,,,,Elbow,,,8.625,715,,,,,33.67290580,-118.01692794,24.23,,,,,
68,450,1.60,0.85,0.76,1147.89,Bend,,,,,,09:30,45° 3D Left Forged Bend,Elbow,,,8.625,715,,,,,33.67290774,-118.01692674,24.20,,,,,
69,460,41.45,1.60,41.45,1148.65,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67290970,-118.01692638,24.23,,,,,
70,470,23.93,41.45,23.93,1190.10,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67301917,-118.01694690,28.81,,,,,
71,470,23.93,13.57,10.36,1203.67,Bend,,,,,,06:16,8° 99.7D Over Cold Bend,ERW,0.280,X35,8.625,715,,,,,33.67305488,-118.01695355,29.91,,,,,
72,480,0.65,23.93,0.65,1214.03,Girth Weld,,,,,,,,Elbow,,,8.625,715,,,,,33.67308227,-118.01695860,29.53,,,,,
73,480,0.65,0.36,0.29,1214.39,Bend,,,,,,02:43,15° 3D Right Forged Bend,Elbow,,,8.625,715,,,,,33.67308314,-118.01695875,29.52,,,,,
74,490,41.30,0.65,41.30,1214.68,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67308400,-118.01695872,29.51,,,,,
75,500,41.46,41.30,41.46,1255.98,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67319325,-118.01693719,29.01,,,,,
76,510,41.38,41.46,41.38,1297.44,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67330289,-118.01691508,28.99,,,,,
