BHIIdentifier,PipelineFeature,INTEXTIDOD,Odometerft,DistancetoNextPipelineFeatureft,WTin,PipeGradepsi,PipeDescription,PipeDiameterin,MOPpsi,Depth,Depthin,Lengthin,Widthin,OClockOrientationhhmm,mB31GBurstpsi,ERF,EffDepth,EffLengthin,EffAreaBurstpsi,UpstreamUSReferenceName,DistanceToUSft,DownstreamDSReferenceName,DistanceFromDSReferenceft,DistancetoUSWeldft,DistancetoDSWeldft,Length2ndUSJointft,LengthUSJointft,LengthDefectJointft,DefectJointNumber,LengthDSJointft,Length2ndDSJointft,XYZInformationNAD83Latitude,XYZInformationNAD83Longitude,XYZInformationNAVD88Elevationft,Comments
GWD 24500,Girth Weld,,117484.95,39.54,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,702.55,AGM 41,1501.13,38.21,39.54,39.86,38.21,39.54,24500,36.18,40.09,33.8923700,-118.1220795,75.82,
GWD 24510,Girth Weld,,117524.49,36.18,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,742.09,AGM 41,1461.59,39.54,36.18,38.21,39.54,36.18,24510,40.09,38.36,33.8924772,-118.1220800,75.56,
GWD 24520,Girth Weld,,117560.68,40.09,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,778.27,AGM 41,1425.41,36.18,40.09,39.54,36.18,40.09,24520,38.36,37.14,33.8925751,-118.1220807,74.85,
GWD 24530,Girth Weld,,117600.76,38.36,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,818.35,AGM 41,1385.32,40.09,38.36,36.18,40.09,38.36,24530,37.14,37.23,33.8926837,-118.1220810,74.05,
GWD 24540,Girth Weld,,117639.12,27.77,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,856.71,AGM 41,1346.96,38.36,37.14,40.09,38.36,37.14,24540,37.23,38.79,33.8927876,-118.1220818,74.01,
DNT 10,Deformation,,117666.89,9.37,0.188,35000,SMLS,8.625,680,2.3,0.196,1.984,2.433,4:31,,,,,,AGM 40,884.48,AGM 41,1319.20,27.77,9.37,40.09,38.36,37.14,24540,37.23,38.79,33.8928629,-118.1220824,74.50,
GWD 24550,Girth Weld,,117676.25,37.23,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,893.84,AGM 41,1309.83,37.14,37.23,38.36,37.14,37.23,24550,38.79,37.22,33.8928882,-118.1220826,74.69,
GWD 24560,Girth Weld,,117713.48,38.79,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,931.07,AGM 41,1272.60,37.23,38.79,37.14,37.23,38.79,24560,37.22,40.17,33.8929890,-118.1220828,75.58,
GWD 24570,Girth Weld,,117752.27,37.22,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,969.86,AGM 41,1233.82,38.79,37.22,37.23,38.79,37.22,24570,40.17,40.26,33.8930941,-118.1220829,76.72,
GWD 24580,Girth Weld,,117789.49,40.17,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,1007.08,AGM 41,1196.59,37.22,40.17,38.79,37.22,40.17,24580,40.26,40.87,33.8931949,-118.1220831,76.63,
GWD 24590,Girth Weld,,117829.67,40.26,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,1047.26,AGM 41,1156.42,40.17,40.26,37.22,40.17,40.26,24590,40.87,35.49,33.8933037,-118.1220834,76.56,
GWD 24600,Girth Weld,,117869.92,40.87,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,1087.52,AGM 41,1116.16,40.26,40.87,40.17,40.26,40.87,24600,35.49,40.88,33.8934128,-118.1220839,76.56,
GWD 24610,Girth Weld,,117910.79,35.49,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,1128.39,AGM 41,1075.29,40.87,35.49,40.26,40.87,35.49,24610,40.88,40.27,33.8935235,-118.1220849,76.61,
GWD 24620,Girth Weld,,117946.28,40.88,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,1163.87,AGM 41,1039.80,35.49,40.88,40.87,35.49,40.88,24620,40.27,38.50,33.8936196,-118.1220856,76.43,
GWD 24630,Girth Weld,,117987.17,40.27,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,1204.76,AGM 41,998.92,40.88,40.27,35.49,40.88,40.27,24630,38.50,38.04,33.8937304,-118.1220861,76.27,
GWD 24640,Girth Weld,,118027.43,38.50,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,1245.02,AGM 41,958.65,40.27,38.50,40.88,40.27,38.50,24640,38.04,37.97,33.8938395,-118.1220865,76.59,
GWD 24650,Girth Weld,,118065.93,38.04,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,1283.52,AGM 41,920.15,38.50,38.04,40.27,38.50,38.04,24650,37.97,35.67,33.8939438,-118.1220871,76.82,
GWD 24660,Girth Weld,,118103.97,37.97,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,1321.56,AGM 41,882.11,38.04,37.97,38.50,38.04,37.97,24660,35.67,37.71,33.8940468,-118.1220881,76.35,
GWD 24670,Girth Weld,,118141.94,35.67,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,1359.53,AGM 41,844.14,37.97,35.67,38.04,37.97,35.67,24670,37.71,31.56,33.8941497,-118.1220891,76.21,
GWD 24680,Girth Weld,,118177.61,37.71,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,1395.20,AGM 41,808.48,35.67,37.71,37.97,35.67,37.71,24680,31.56,40.90,33.8942463,-118.1220897,75.98,
GWD 24690,Girth Weld,,118215.31,31.56,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,1432.90,AGM 41,770.77,37.71,31.56,35.67,37.71,31.56,24690,40.90,34.69,33.8943484,-118.1220906,76.64,
GWD 24700,Girth Weld,,118246.87,40.90,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,1464.46,AGM 41,739.21,31.56,40.90,37.71,31.56,40.90,24700,34.69,40.64,33.8944339,-118.1220915,77.09,
GWD 24710,Girth Weld,,118287.77,34.69,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,1505.36,AGM 41,698.31,40.90,34.69,31.56,40.90,34.69,24710,40.64,34.47,33.8945447,-118.1220923,77.46,
GWD 24720,Girth Weld,,118322.46,40.64,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,1540.05,AGM 41,663.63,34.69,40.64,40.90,34.69,40.64,24720,34.47,35.91,33.8946387,-118.1220929,77.43,
GWD 24730,Girth Weld,,118363.09,34.47,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,1580.69,AGM 41,622.99,40.64,34.47,34.69,40.64,34.47,24730,35.91,32.53,33.8947487,-118.1220935,76.48,
GWD 24740,Girth Weld,,118397.57,35.91,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,1615.16,AGM 41,588.51,34.47,35.91,40.64,34.47,35.91,24740,32.53,37.67,33.8948421,-118.1220942,75.93,
GWD 24750,Girth Weld,,118433.48,32.53,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,1651.07,AGM 41,552.60,35.91,32.53,34.47,35.91,32.53,24750,37.67,37.15,33.8949394,-118.1220949,75.37,
GWD 24760,Girth Weld,,118466.01,37.67,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,1683.60,AGM 41,520.07,32.53,37.67,35.91,32.53,37.67,24760,37.15,40.24,33.8950275,-118.1220953,75.48,
GWD 24770,Girth Weld,,118503.68,37.15,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,1721.27,AGM 41,482.40,37.67,37.15,32.53,37.67,37.15,24770,40.24,40.13,33.8951295,-118.1220960,76.65,
GWD 24780,Girth Weld,,118540.83,40.24,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,1758.42,AGM 41,445.25,37.15,40.24,37.67,37.15,40.24,24780,40.13,40.75,33.8952301,-118.1220966,77.34,
GWD 24790,Girth Weld,,118581.07,40.13,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,1798.66,AGM 41,405.01,40.24,40.13,37.15,40.24,40.13,24790,40.75,38.81,33.8953391,-118.1220973,77.49,
GWD 24800,Girth Weld,,118621.20,40.75,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,1838.79,AGM 41,364.88,40.13,40.75,40.24,40.13,40.75,24800,38.81,29.09,33.8954478,-118.1220981,77.53,
GWD 24810,Girth Weld,,118661.95,38.81,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,1879.54,AGM 41,324.14,40.75,38.81,40.13,40.75,38.81,24810,29.09,37.88,33.8955582,-118.1220989,77.70,
GWD 24820,Girth Weld,,118700.76,29.09,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,1918.35,AGM 41,285.32,38.81,29.09,40.75,38.81,29.09,24820,37.88,36.38,33.8956634,-118.1220997,77.75,
GWD 24830,Girth Weld,,118729.85,37.88,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,1947.44,AGM 41,256.23,29.09,37.88,38.81,29.09,37.88,24830,36.38,41.02,33.8957422,-118.1221003,77.35,
GWD 24840,Girth Weld,,118767.73,36.38,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,1985.32,AGM 41,218.35,37.88,36.38,29.09,37.88,36.38,24840,41.02,37.49,33.8958448,-118.1221015,77.41,
GWD 24850,Girth Weld,,118804.11,41.02,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,2021.70,AGM 41,181.98,36.38,41.02,37.88,36.38,41.02,24850,37.49,36.86,33.8959433,-118.1221024,77.39,
GWD 24860,Girth Weld,,118845.13,37.49,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,2062.72,AGM 41,140.95,41.02,37.49,36.38,41.02,37.49,24860,36.86,38.75,33.8960545,-118.1221024,77.53,
GWD 24870,Girth Weld,,118882.62,36.86,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,2100.22,AGM 41,103.46,37.49,36.86,41.02,37.49,36.86,24870,38.75,34.30,33.8961560,-118.1220999,77.29,
GWD 24880,Girth Weld,,118919.49,38.75,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,2137.08,AGM 41,66.59,36.86,38.75,37.49,36.86,38.75,24880,34.30,9.29,33.8962559,-118.1220962,77.01,
GWD 24890,Girth Weld,,118958.24,27.85,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,2175.83,AGM 41,27.85,38.75,34.30,36.86,38.75,34.30,24890,9.29,0.78,33.8963607,-118.1220930,78.01,
MRK 18,Marker,,118986.08,6.45,0.188,35000,SMLS,8.625,680,,,,,11:38,,,,,,AGM 40,2203.67,AGM 42,2306.50,27.85,6.45,36.86,38.75,34.30,24890,9.29,0.78,33.8964362,-118.1220926,77.97,AGM 41 66' U/S of C/L Somerset BLVD - 11' West of Eucalyptus AVE
GWD 24900,Girth Weld,,118992.53,9.29,0.219,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,6.45,AGM 42,2300.05,34.30,9.29,38.75,34.30,9.29,24900,0.78,2.94,33.8964536,-118.1220923,77.94,
GWD 24910,Girth Weld,,119001.82,0.49,0.219,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,15.74,AGM 42,2290.75,9.29,0.78,34.30,9.29,0.78,24910,2.94,0.84,33.8964787,-118.1220922,78.07,
BND 199,Bend,,119002.31,0.29,0.219,35000,ERW,8.625,680,,,10.079,,,,,,,,AGM 41,16.23,AGM 42,2290.26,0.49,0.29,34.30,9.29,0.78,24910,2.94,0.84,33.8964800,-118.1220921,78.02,3.0D 24.5 deg right turn over bend
GWD 24920,Girth Weld,,119002.60,2.94,0.219,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,16.52,AGM 42,2289.97,0.78,2.94,9.29,0.78,2.94,24920,0.84,1.00,33.8964807,-118.1220920,77.96,
GWD 24930,Girth Weld,,119005.54,0.34,0.219,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,19.46,AGM 42,2287.04,2.94,0.84,0.78,2.94,0.84,24930,1.00,13.50,33.8964882,-118.1220907,76.97,
BND 200,Bend,,119005.88,0.50,0.219,35000,ERW,8.625,680,,,18.937,,,,,,,,AGM 41,19.80,AGM 42,2286.69,0.34,0.50,0.78,2.94,0.84,24930,1.00,13.50,33.8964891,-118.1220906,76.90,3.0D 26.4 deg left turn sag bend
GWD 24940,Girth Weld,,119006.38,1.00,0.322,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,20.30,AGM 42,2286.19,0.84,1.00,2.94,0.84,1.00,24940,13.50,14.81,33.8964904,-118.1220905,76.85,
GWD 24950,Girth Weld,,119007.39,13.50,0.219,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,21.30,AGM 42,2285.19,1.00,13.50,0.84,1.00,13.50,24950,14.81,0.97,33.8964931,-118.1220905,76.85,
GWD 24960,Girth Weld,,119020.89,14.81,0.219,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,34.81,AGM 42,2271.69,13.50,14.81,1.00,13.50,14.81,24960,0.97,3.24,33.8965295,-118.1220907,77.43,
GWD 24970,Girth Weld,,119035.70,0.97,0.219,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,49.62,AGM 42,2256.88,14.81,0.97,13.50,14.81,0.97,24970,3.24,0.99,33.8965695,-118.1220910,77.77,
GWD 24980,Girth Weld,,119036.67,1.59,0.322,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,50.58,AGM 42,2255.91,0.97,3.24,14.81,0.97,3.24,24980,0.99,48.08,33.8965721,-118.1220910,77.80,
BND 201,Bend,,119038.26,1.64,0.322,35000,ERW,8.625,680,,,40.321,,,,,,,,AGM 41,52.18,AGM 42,2254.32,1.59,1.64,14.81,0.97,3.24,24980,0.99,48.08,33.8965760,-118.1220928,77.83,3.0D 90.9 deg left turn bend
GWD 24990,Girth Weld,,119039.90,0.99,0.322,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,53.82,AGM 42,2252.68,3.24,0.99,0.97,3.24,0.99,24990,48.08,28.38,33.8965778,-118.1220975,77.87,
GWD 25000,Girth Weld,,119040.89,48.08,0.188,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,54.81,AGM 42,2251.69,0.99,48.08,3.24,0.99,48.08,25000,28.38,48.10,33.8965778,-118.1221007,77.87,Estimated WT 0.188
GWD 25010,Girth Weld,,119088.98,28.38,0.188,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,102.89,AGM 42,2203.60,48.08,28.38,0.99,48.08,28.38,25010,48.10,47.68,33.8965758,-118.1222564,78.59,
GWD 25020,Girth Weld,,119117.36,48.10,0.188,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,131.27,AGM 42,2175.22,28.38,48.10,48.08,28.38,48.10,25020,47.68,48.10,33.8965751,-118.1223482,79.51,
GWD 25030,Girth Weld,,119165.45,47.68,0.188,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,179.37,AGM 42,2127.13,48.10,47.68,28.38,48.10,47.68,25030,48.10,48.16,33.8965752,-118.1225039,79.53,
GWD 25040,Girth Weld,,119213.14,48.10,0.188,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,227.05,AGM 42,2079.44,47.68,48.10,48.10,47.68,48.10,25040,48.16,47.46,33.8965755,-118.1226584,79.10,
GWD 25050,Girth Weld,,119261.23,48.16,0.188,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,275.15,AGM 42,2031.35,48.10,48.16,47.68,48.10,48.16,25050,47.46,48.03,33.8965752,-118.1228141,79.66,
GWD 25060,Girth Weld,,119309.39,47.46,0.188,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,323.31,AGM 42,1983.19,48.16,47.46,48.10,48.16,47.46,25060,48.03,48.09,33.8965754,-118.1229700,79.98,
GWD 25070,Girth Weld,,119356.85,48.03,0.188,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,370.77,AGM 42,1935.73,47.46,48.03,48.16,47.46,48.03,25070,48.09,48.15,33.8965764,-118.1231237,80.00,
GWD 25080,Girth Weld,,119404.88,48.09,0.188,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,418.80,AGM 42,1887.70,48.03,48.09,47.46,48.03,48.09,25080,48.15,48.13,33.8965771,-118.1232793,80.08,
GWD 25090,Girth Weld,,119452.97,48.15,0.188,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,466.89,AGM 42,1839.61,48.09,48.15,48.03,48.09,48.15,25090,48.13,47.86,33.8965776,-118.1234350,80.25,
GWD 25100,Girth Weld,,119501.12,48.13,0.188,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,515.04,AGM 42,1791.46,48.15,48.13,48.09,48.15,48.13,25100,47.86,1.85,33.8965778,-118.1235909,80.55,
GWD 25110,Girth Weld,,119549.25,47.86,0.188,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,563.16,AGM 42,1743.33,48.13,47.86,48.15,48.13,47.86,25110,1.85,3.25,33.8965773,-118.1237467,81.20,
GWD 25120,Girth Weld,,119597.10,1.85,0.188,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,611.02,AGM 42,1695.48,47.86,1.85,48.13,47.86,1.85,25120,3.25,1.60,33.8965771,-118.1239016,80.21,
GWD 25130,Girth Weld,,119598.96,3.25,0.322,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,612.87,AGM 42,1693.62,1.85,3.25,47.86,1.85,3.25,25130,1.60,8.44,33.8965771,-118.1239076,80.20,
GWD 25140,Girth Weld,,119602.21,0.84,0.322,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,616.12,AGM 42,1690.37,3.25,1.60,1.85,3.25,1.60,25140,8.44,1.60,33.8965772,-118.1239181,80.16,
BND 202,Bend,,119603.05,0.76,0.322,35000,ERW,8.625,680,,,26.043,,,,,,,,AGM 41,616.97,AGM 42,1689.53,0.84,0.76,1.85,3.25,1.60,25140,8.44,1.60,33.8965768,-118.1239208,80.16,3.0D 46.4 deg left turn bend
GWD 25150,Girth Weld,,119603.80,8.44,0.322,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,617.72,AGM 42,1688.77,1.60,8.44,3.25,1.60,8.44,25150,1.60,3.32,33.8965758,-118.1239229,80.17,
GWD 25160,Girth Weld,,119612.24,0.77,0.322,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,626.16,AGM 42,1680.34,8.44,1.60,1.60,8.44,1.60,25160,3.32,20.10,33.8965597,-118.1239422,80.17,
BND 203,Bend,,119613.01,0.82,0.322,35000,ERW,8.625,680,,,25.520,,,,,,,,AGM 41,626.93,AGM 42,1679.56,0.77,0.82,1.60,8.44,1.60,25160,3.32,20.10,33.8965585,-118.1239443,80.17,3.0D 46.9 deg right turn bend
GWD 25170,Girth Weld,,119613.84,3.32,0.322,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,627.76,AGM 42,1678.74,1.60,3.32,8.44,1.60,3.32,25170,20.10,7.59,33.8965580,-118.1239469,80.16,
GWD 25180,Girth Weld,,119617.16,20.10,0.322,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,631.07,AGM 42,1675.42,3.32,20.10,1.60,3.32,20.10,25180,7.59,3.27,33.8965580,-118.1239576,80.13,
GWD 25190,Girth Weld,,119637.25,7.59,0.322,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,651.17,AGM 42,1655.32,20.10,7.59,3.32,20.10,7.59,25190,3.27,1.55,33.8965587,-118.1240227,80.12,
GWD 25200,Girth Weld,,119644.84,3.27,0.322,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,658.76,AGM 42,1647.74,7.59,3.27,20.10,7.59,3.27,25200,1.55,8.46,33.8965588,-118.1240473,80.19,
GWD 25210,Girth Weld,,119648.11,0.85,0.322,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,662.02,AGM 42,1644.47,3.27,1.55,7.59,3.27,1.55,25210,8.46,1.61,33.8965588,-118.1240578,80.21,
BND 204,Bend,,119648.96,0.69,0.322,35000,ERW,8.625,680,,,25.911,,,,,,,,AGM 41,662.87,AGM 42,1643.62,0.85,0.69,7.59,3.27,1.55,25210,8.46,1.61,33.8965592,-118.1240605,80.22,3.0D 46.3 deg right turn bend
GWD 25220,Girth Weld,,119649.65,8.46,0.322,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,663.57,AGM 42,1642.93,1.55,8.46,3.27,1.55,8.46,25220,1.61,3.40,33.8965602,-118.1240624,80.23,
GWD 25230,Girth Weld,,119658.11,0.88,0.322,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,672.03,AGM 42,1634.47,8.46,1.61,1.55,8.46,1.61,25230,3.40,36.29,33.8965765,-118.1240816,80.37,
BND 205,Bend,,119658.99,0.73,0.322,35000,ERW,8.625,680,,,24.507,,,,,,,,AGM 41,672.91,AGM 42,1633.59,0.88,0.73,1.55,8.46,1.61,25230,3.40,36.29,33.8965779,-118.1240839,80.39,3.0D 45.9 deg left turn bend
GWD 25240,Girth Weld,,119659.72,3.40,0.322,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,673.64,AGM 42,1632.86,1.61,3.40,8.46,1.61,3.40,25240,36.29,48.16,33.8965785,-118.1240861,80.41,
GWD 25250,Girth Weld,,119663.12,36.29,0.203,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,677.04,AGM 42,1629.45,3.40,36.29,1.61,3.40,36.29,25250,48.16,48.16,33.8965787,-118.1240971,80.43,Estimated WT 0.203
GWD 25260,Girth Weld,,119699.41,48.16,0.203,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,713.33,AGM 42,1593.17,36.29,48.16,3.40,36.29,48.16,25260,48.16,49.46,33.8965792,-118.1242147,79.97,
GWD 25270,Girth Weld,,119747.57,48.16,0.203,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,761.49,AGM 42,1545.01,48.16,48.16,36.29,48.16,48.16,25270,49.46,47.96,33.8965802,-118.1243706,79.96,
GWD 25280,Girth Weld,,119795.73,49.46,0.203,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,809.65,AGM 42,1496.85,48.16,49.46,48.16,48.16,49.46,25280,47.96,45.50,33.8965804,-118.1245266,80.15,
GWD 25290,Girth Weld,,119845.19,47.96,0.203,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,859.11,AGM 42,1447.39,49.46,47.96,48.16,49.46,47.96,25290,45.50,48.11,33.8965809,-118.1246867,79.88,
GWD 25300,Girth Weld,,119893.15,45.50,0.203,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,907.06,AGM 42,1399.43,47.96,45.50,49.46,47.96,45.50,25300,48.11,43.57,33.8965809,-118.1248420,79.79,
GWD 25310,Girth Weld,,119938.64,48.11,0.203,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,952.56,AGM 42,1353.93,45.50,48.11,47.96,45.50,48.11,25310,43.57,48.05,33.8965804,-118.1249893,78.46,
GWD 25320,Girth Weld,,119986.75,43.57,0.203,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,1000.67,AGM 42,1305.83,48.11,43.57,45.50,48.11,43.57,25320,48.05,48.19,33.8965803,-118.1251451,78.00,
GWD 25330,Girth Weld,,120030.32,48.05,0.203,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,1044.24,AGM 42,1262.26,43.57,48.05,48.11,43.57,48.05,25330,48.19,32.21,33.8965807,-118.1252862,78.84,
GWD 25340,Girth Weld,,120078.37,48.19,0.203,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,1092.29,AGM 42,1214.21,48.05,48.19,43.57,48.05,48.19,25340,32.21,45.39,33.8965815,-118.1254418,78.86,
GWD 25350,Girth Weld,,120126.57,32.21,0.203,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,1140.48,AGM 42,1166.01,48.19,32.21,48.05,48.19,32.21,25350,45.39,48.02,33.8965823,-118.1255978,78.46,
GWD 25360,Girth Weld,,120158.77,45.39,0.203,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,1172.69,AGM 42,1133.81,32.21,45.39,48.19,32.21,45.39,25360,48.02,48.17,33.8965829,-118.1257021,78.01,
GWD 25370,Girth Weld,,120204.16,48.02,0.203,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,1218.08,AGM 42,1088.42,45.39,48.02,32.21,45.39,48.02,25370,48.17,48.09,33.8965837,-118.1258491,77.66,
GWD 25380,Girth Weld,,120252.19,48.17,0.203,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,1266.11,AGM 42,1040.39,48.02,48.17,45.39,48.02,48.17,25380,48.09,47.89,33.8965841,-118.1260047,77.42,
GWD 25390,Girth Weld,,120300.36,48.09,0.203,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,1314.28,AGM 42,992.22,48.17,48.09,48.02,48.17,48.09,25390,47.89,48.18,33.8965840,-118.1261607,77.35,
GWD 25400,Girth Weld,,120348.45,47.89,0.203,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,1362.37,AGM 42,944.12,48.09,47.89,48.17,48.09,47.89,25400,48.18,48.25,33.8965837,-118.1263164,77.29,
GWD 25410,Girth Weld,,120396.35,48.18,0.203,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,1410.27,AGM 42,896.23,47.89,48.18,48.09,47.89,48.18,25410,48.25,48.21,33.8965830,-118.1264715,76.90,
GWD 25420,Girth Weld,,120444.53,48.25,0.203,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,1458.44,AGM 42,848.05,48.18,48.25,47.89,48.18,48.25,25420,48.21,48.03,33.8965827,-118.1266275,76.41,
GWD 25430,Girth Weld,,120492.78,48.21,0.203,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,1506.69,AGM 42,799.80,48.25,48.21,48.18,48.25,48.21,25430,48.03,48.05,33.8965817,-118.1267838,76.54,
GWD 25440,Girth Weld,,120540.98,48.03,0.203,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,1554.90,AGM 42,751.59,48.21,48.03,48.25,48.21,48.03,25440,48.05,48.06,33.8965816,-118.1269399,76.21,
GWD 25450,Girth Weld,,120589.01,48.05,0.203,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,1602.93,AGM 42,703.57,48.03,48.05,48.21,48.03,48.05,25450,48.06,48.11,33.8965814,-118.1270954,76.48,
GWD 25460,Girth Weld,,120637.06,48.06,0.203,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,1650.98,AGM 42,655.52,48.05,48.06,48.03,48.05,48.06,25460,48.11,48.09,33.8965811,-118.1272510,76.41,
GWD 25470,Girth Weld,,120685.12,48.11,0.203,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,1699.04,AGM 42,607.46,48.06,48.11,48.05,48.06,48.11,25470,48.09,37.45,33.8965805,-118.1274066,77.04,
GWD 25480,Girth Weld,,120733.23,48.09,0.203,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,1747.14,AGM 42,559.35,48.11,48.09,48.06,48.11,48.09,25480,37.45,48.04,33.8965800,-118.1275624,76.58,
GWD 25490,Girth Weld,,120781.32,37.45,0.203,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,1795.24,AGM 42,511.26,48.09,37.45,48.11,48.09,37.45,25490,48.04,48.06,33.8965796,-118.1277181,76.61,
GWD 25500,Girth Weld,,120818.77,48.04,0.203,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,1832.69,AGM 42,473.81,37.45,48.04,48.09,37.45,48.04,25500,48.06,48.25,33.8965792,-118.1278394,76.65,
GWD 25510,Girth Weld,,120866.81,48.06,0.203,35000,ERW,8.625,680,,,,,,,,,,,AGM 41,1880.73,AGM 42,425.77,48.04,48.06,37.45,48.04,48.06,25510,48.25,43.64,33.8965791,-118.1279950,75.77,
