ID,Feature,Wheel Countft,Sta. Num.ft,Depth,WTin,SMYS,Lengthin,Widthin,Orientation clock,P MOD B31G   psi,ERF MOD B31GMOPP, of max. est. oper. press PMOPbased on 1150,Dist from US weldft,Dist from DS weldft,US AGM,Dist to US AGM ft,DS AGM,Dist to DS AGM ft,Joint Lengthft,Comments,LAT,LON,ALTITUDE
10000275,LOCATION,22908.21,228+39,,,,,,,,,,10.51,23.27,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2741.15,"Valve (Receiver), Sta. 230+60, P66 Refinery",213.10,33.78,Sleeve Begin - 60.68 in.,33.80083821,-118.24594375,28.960
14000006,DENT,22910.41,228+42,1.7%,,52000,7.01,,11:45,,,,12.71,21.07,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2743.35,"Valve (Receiver), Sta. 230+60, P66 Refinery",210.90,33.78,Dent - 0.18 inch Repaired with Sleeve,33.80083748,-118.24594312,28.980
10000275,LOCATION,22913.27,228+45,,,,,,,,,,15.56,18.21,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2746.21,"Valve (Receiver), Sta. 230+60, P66 Refinery",208.05,33.78,Sleeve End  ,33.80083821,-118.24594375,28.960
40014245,GROUP,22917.49,228+49,11%,0.219,52000,0.52,0.33,6:00,1525,0.75000,100.000%,19.79,13.99,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2750.43,"Valve (Receiver), Sta. 230+60, P66 Refinery",203.82,33.78,Metal Loss Internal,33.80085321,-118.24595679,28.660
40014246,GROUP,22918.32,228+50,12%,0.219,52000,0.46,0.33,6:00,1525,0.75000,100.000%,20.61,13.17,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2751.26,"Valve (Receiver), Sta. 230+60, P66 Refinery",203.00,33.78,Metal Loss Internal,33.80085504,-118.24595837,28.620
40014247,GROUP,22919.98,228+51,19%,0.219,52000,0.52,0.33,6:00,1525,0.75000,100.000%,22.27,11.50,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2752.92,"Valve (Receiver), Sta. 230+60, P66 Refinery",201.33,33.78,Metal Loss Internal,33.80085874,-118.24596159,28.550
8210,WELD,22931.48,228+63,,,,,,,,,,,,,,,,47.05,,33.80088431,-118.24598374,28.010
40014248,GROUP,22934.05,228+66,12%,0.219,52000,0.51,0.33,5:45,1525,0.75000,100.000%,2.57,44.48,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2766.99,"Valve (Receiver), Sta. 230+60, P66 Refinery",187.27,47.05,Metal Loss Internal,33.80089001,-118.24598869,27.860
40014249,GROUP,22937.23,228+69,12%,0.219,52000,0.49,0.37,6:00,1525,0.75000,100.000%,5.75,41.30,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2770.17,"Valve (Receiver), Sta. 230+60, P66 Refinery",184.08,47.05,Metal Loss Internal,33.80089709,-118.24599481,27.680
40014250,GROUP,22938.82,228+71,11%,0.219,52000,0.47,0.33,6:00,1525,0.75000,100.000%,7.34,39.71,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2771.76,"Valve (Receiver), Sta. 230+60, P66 Refinery",182.49,47.05,Metal Loss Internal,33.80090063,-118.24599786,27.580
40014251,GROUP,22939.28,228+71,13%,0.219,52000,0.64,0.69,6:00,1525,0.75000,100.000%,7.80,39.25,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2772.22,"Valve (Receiver), Sta. 230+60, P66 Refinery",182.04,47.05,Metal Loss Internal,33.80090164,-118.24599874,27.550
40014252,GROUP,22943.42,228+76,11%,0.219,52000,0.35,0.33,6:00,1525,0.75000,100.000%,11.94,35.11,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2776.36,"Valve (Receiver), Sta. 230+60, P66 Refinery",177.89,47.05,Metal Loss Internal,33.80091086,-118.24600669,27.280
40014253,GROUP,22944.34,228+77,16%,0.219,52000,1.88,0.95,5:45,1525,0.75000,100.000%,12.86,34.19,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2777.28,"Valve (Receiver), Sta. 230+60, P66 Refinery",176.98,47.05,Metal Loss Internal,33.80091290,-118.24600844,27.210
40014254,GROUP,22945.96,228+78,10%,0.219,52000,0.46,0.33,6:00,1525,0.75000,100.000%,14.48,32.58,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2778.90,"Valve (Receiver), Sta. 230+60, P66 Refinery",175.36,47.05,Metal Loss Internal,33.80091651,-118.24601153,27.100
