ILI Tool,Pipe Joint Number,Approx. Milepost (miles),Approx. Map Station (ft),Odometer (ft),Feature Number,Feature Description,Distance to Nearest Weld (ft),Distance to Upstream Weld (ft),Distance to Downstream Weld (ft),Distance to Nearest AGM (ft),Distance to Upstream AGM (ft),Distance to Downstream AGM (ft),WT (in),Max Depth (%),Max Depth + Tolerance (%),Length (in),Width (in),Oreintation (Degrees),Pipe Length (ft),Long Seam Orient. (Degrees),0.85DL Safe MAOP Rating (psig),0.85DL Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Safe MAOP Rating (psig),Eff. Area B31G of API579 Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Burst Press. Rating (psig),Eff. Area B31G of API579 Burst Press. Rating + Tolerance (psig),Latitude NAD83,Longitude NAD83,Elevation Above Mean Sea Level NAVD88 (ft),Comments
MFLCal,100,0.42,22+02,2152.16,708,ML Ext ,U16.64,16.64,29.99,U783.32,783.32,3781.57,0.277,13,28,0.47,0.93,224,46.63,,1844,1834,1842,1830,2559,2542,33.7983458,-118.2386664,29.86,
MFLCal,100,0.42,22+02,2152.31,709,ML Ext Cluster ,U16.79,16.79,29.83,U783.47,783.47,3781.42,0.277,28,48,1.95,3.46,252,46.63,,1695,1540,1729,1620,2402,2250,33.7983454,-118.2386665,29.86,
MFLCal,100,0.42,22+03,2152.91,710,ML Ext ,U17.39,17.39,29.24,U784.06,784.06,3780.83,0.277,12,27,0.63,0.74,198,46.63,,1840,1824,1838,1818,2553,2525,33.7983438,-118.2386671,29.85,
MFLCal,100,0.42,22+03,2153.06,711,ML Ext ,U17.54,17.54,29.09,U784.21,784.21,3780.68,0.277,11,26,0.51,0.76,164,46.63,,1844,1833,1843,1829,2559,2540,33.7983434,-118.2386673,29.85,
MFLCal,100,0.42,22+03,2153.50,712,ML Ext Cluster ,U17.99,17.99,28.64,U784.47,784.47,3780.42,0.277,19,34,2.81,8.13,166,46.63,,1709,1576,1710,1547,2376,2149,33.7983427,-118.2386676,29.85,
MFLCal,100,0.42,22+03,2153.42,713,ML Ext Cluster ,U17.9,17.90,28.72,U784.57,784.57,3780.32,0.277,25,40,2.54,5.54,18,46.63,,1675,1542,1718,1599,2386,2222,33.7983425,-118.2386677,29.85,
MFLCal,100,0.42,22+04,2154.07,714,ML Ext Cluster ,U18.55,18.55,28.07,U785.19,785.19,3779.70,0.277,27,42,0.82,1.42,284,46.63,,1808,1773,1802,1757,2503,2441,33.7983408,-118.2386683,29.84,
MFLCal,100,0.42,22+04,2154.13,715,ML Ext Cluster ,U18.61,18.61,28.01,U785.23,785.23,3779.66,0.277,13,33,1.17,0.51,148,46.63,,1818,1753,1826,1780,2536,2472,33.7983407,-118.2386683,29.84,
MFLCal,100,0.42,22+04,2154.06,716,ML Ext ,U18.54,18.54,28.09,U785.23,785.23,3779.66,0.277,14,34,0.35,0.51,82,46.63,,1846,1838,1845,1835,2563,2548,33.7983407,-118.2386683,29.84,
MFLCal,100,0.42,22+04,2154.24,717,ML Ext ,U18.72,18.72,27.90,U785.4,785.40,3779.49,0.277,15,30,0.63,0.6,48,46.63,,1837,1820,1834,1813,2548,2518,33.7983403,-118.2386685,29.84,
MFLCal,100,0.42,22+04,2154.29,718,ML Ext Cluster ,U18.78,18.78,27.85,U785.43,785.43,3779.46,0.277,13,28,0.82,1.66,175,46.63,,1832,1806,1829,1796,2540,2495,33.7983402,-118.2386685,29.84,
MFLCal,100,0.42,22+04,2154.39,719,ML Ext ,U18.87,18.87,27.75,U785.54,785.54,3779.34,0.277,18,33,0.55,0.53,251,46.63,,1838,1824,1835,1817,2549,2523,33.7983399,-118.2386686,29.84,
MFLCal,100,0.42,22+05,2155.02,720,ML Ext Cluster ,U19.5,19.50,27.13,U786.17,786.17,3778.72,0.277,18,33,0.7,1.11,267,46.63,,1830,1808,1826,1797,2536,2497,33.7983383,-118.2386693,29.83,
MFLCal,100,0.42,22+07,2157.06,721,ML Ext ,U21.55,21.55,25.08,U788.23,788.23,3776.66,0.277,16,36,0.39,0.58,56,46.63,,1844,1834,1843,1830,2560,2541,33.7983328,-118.2386714,29.82,
MFLCal,100,0.42,22+08,2157.89,722,ML Ext Cluster ,U22.38,22.38,24.25,U789.04,789.04,3775.85,0.277,21,36,0.63,1.78,60,46.63,,1831,1812,1827,1798,2538,2498,33.7983307,-118.2386722,29.83,
MFLCal,100,0.42,22+08,2158.47,723,ML Ext ,U22.95,22.95,23.68,U789.62,789.62,3775.27,0.277,16,31,0.63,0.6,300,46.63,,1836,1819,1833,1811,2546,2515,33.7983292,-118.2386728,29.83,
MFLCal,100,0.42,22+10,2160.11,724,ML Ext Cluster ,D22.03,24.59,22.03,U791.27,791.27,3773.62,0.277,20,35,0.78,1.48,354,46.63,,1823,1795,1818,1769,2525,2457,33.7983249,-118.2386745,29.84,
MFLCal,100,0.42,22+10,2160.34,725,ML Ext ,D21.8,24.83,21.80,U791.5,791.50,3773.39,0.277,11,26,0.63,0.9,202,46.63,,1841,1825,1839,1819,2554,2527,33.7983242,-118.2386747,29.84,
MFLCal,100,0.42,22+12,2161.93,726,ML Ext ,D20.21,26.42,20.21,U793.09,793.09,3771.80,0.277,16,36,0.35,0.42,43,46.63,,1845,1837,1844,1834,2562,2547,33.7983201,-118.2386763,29.85,
MFLCal,100,0.42,22+12,2162.39,727,ML Ext ,D19.76,26.87,19.76,U793.56,793.56,3771.33,0.277,13,28,0.43,0.6,10,46.63,,1845,1836,1843,1833,2560,2546,33.7983188,-118.2386768,29.85,
MFLCal,100,0.42,22+13,2162.56,728,ML Ext ,D19.58,27.04,19.58,U793.72,793.72,3771.17,0.277,22,37,0.51,0.4,16,46.63,,1836,1823,1833,1815,2546,2521,33.7983184,-118.2386770,29.85,
MFLCal,100,0.42,22+13,2162.94,729,ML Ext Cluster ,D19.21,27.42,19.21,U794.08,794.08,3770.81,0.277,21,36,0.74,1.39,166,46.63,,1824,1798,1821,1789,2529,2484,33.7983175,-118.2386774,29.85,
MFLCal,100,0.42,22+13,2163.20,730,ML Ext ,D18.94,27.69,18.94,U794.37,794.37,3770.52,0.277,10,30,0.31,0.63,358,46.63,,1848,1842,1847,1840,2566,2555,33.7983167,-118.2386776,29.86,
MFLCal,100,0.42,22+13,2163.44,731,ML Ext Cluster ,D18.7,27.93,18.70,U794.48,794.48,3770.41,0.277,21,36,2.03,4.92,358,46.63,,1735,1630,1772,1700,2462,2361,33.7983164,-118.2386778,29.86,
MFLCal,100,0.42,22+14,2163.58,732,ML Ext ,D18.56,28.07,18.56,U794.74,794.74,3770.15,0.277,10,25,0.43,0.83,38,46.63,,1846,1838,1845,1836,2563,2549,33.7983157,-118.2386780,29.86,
MFLCal,100,0.42,22+14,2164.02,733,ML Ext Cluster ,D18.12,28.51,18.12,U795.04,795.04,3769.84,0.277,13,28,2.03,6.15,221,46.63,,1782,1689,1804,1723,2506,2393,33.7983149,-118.2386783,29.86,
MFLCal,100,0.42,22+14,2164.09,734,ML Ext ,D18.06,28.57,18.06,U795.24,795.24,3769.65,0.277,13,33,0.35,0.48,326,46.63,,1846,1839,1846,1836,2563,2549,33.7983144,-118.2386785,29.86,
MFLCal,100,0.42,22+14,2164.31,735,ML Ext Cluster ,D17.83,28.80,17.83,U795.35,795.35,3769.54,0.277,17,42,1.95,1.53,356,46.63,,1763,1592,1802,1722,2502,2392,33.7983141,-118.2386787,29.86,
MFLCal,100,0.42,22+14,2164.24,736,ML Ext ,D17.91,28.72,17.91,U795.41,795.41,3769.48,0.277,14,34,0.27,0.52,313,46.63,,1847,1843,1847,1841,2565,2557,33.7983140,-118.2386787,29.86,
MFLCal,100,0.42,22+15,2165.11,737,ML Ext Cluster ,D17.03,29.60,17.03,U796.26,796.26,3768.63,0.277,19,39,0.9,5.22,244,46.63,,1818,1770,1822,1769,2531,2457,33.7983117,-118.2386796,29.87,
MFLCal,100,0.42,22+15,2165.24,738,ML Ext ,D16.9,29.73,16.90,U796.41,796.41,3768.48,0.277,10,30,0.31,0.76,288,46.63,,1848,1842,1847,1840,2566,2555,33.7983113,-118.2386797,29.87,
MFLCal,100,0.42,22+15,2165.43,739,ML Ext Cluster ,D16.72,29.91,16.72,U796.51,796.51,3768.38,0.277,12,27,1.76,2.27,341,46.63,,1798,1719,1814,1755,2519,2438,33.7983111,-118.2386798,29.87,
MFLCal,100,0.42,22+16,2165.53,740,ML Ext Cluster ,D16.61,30.01,16.61,U796.68,796.68,3768.21,0.277,17,32,0.86,2.16,148,46.63,,1824,1793,1825,1776,2534,2467,33.7983106,-118.2386800,29.87,
MFLCal,100,0.42,22+16,2165.80,741,ML Ext Cluster ,D16.35,30.28,16.35,U796.87,796.87,3768.02,0.277,20,35,2.07,3.03,292,46.63,,1739,1634,1777,1686,2469,2342,33.7983101,-118.2386802,29.87,
MFLCal,100,0.42,22+16,2165.79,742,ML Ext Cluster ,D16.36,30.27,16.36,U796.89,796.89,3768.00,0.277,14,34,3.17,6.72,136,46.63,,1739,1553,1754,1587,2437,2204,33.7983101,-118.2386802,29.87,
MFLCal,100,0.42,22+16,2166.14,743,ML Ext Cluster ,D16.01,30.62,16.01,U797.16,797.16,3767.73,0.277,20,40,2.03,6.59,68,46.63,,1741,1598,1762,1637,2447,2273,33.7983094,-118.2386805,29.87,
MFLCal,100,0.42,22+16,2166.26,744,ML Ext Cluster ,D15.89,30.74,15.89,U797.21,797.21,3767.68,0.277,15,35,4.73,3.55,328,46.63,,1698,1470,1773,1666,2463,2314,33.7983092,-118.2386806,29.87,
MFLCal,100,0.42,22+16,2166.17,745,ML Ext Cluster ,D15.98,30.65,15.98,U797.28,797.28,3767.61,0.277,13,28,2.15,4.1,194,46.63,,1778,1679,1810,1748,2513,2428,33.7983091,-118.2386806,29.87,
MFLCal,100,0.42,22+16,2167.07,746,ML Ext Cluster ,D15.08,31.55,15.08,U797.53,797.53,3767.36,0.277,28,48,8.84,8.24,191,46.63,,1494,1212,1714,1504,2381,2089,33.7983084,-118.2386809,29.87,
MFLCal,100,0.42,22+17,2166.67,747,ML Ext Cluster ,D15.48,31.15,15.48,U797.83,797.83,3767.06,0.277,13,33,1.33,0.97,218,46.63,,1811,1733,1833,1803,2546,2504,33.7983076,-118.2386812,29.87,
MFLCal,100,0.42,22+17,2166.88,748,ML Ext ,D15.26,31.36,15.26,U798.04,798.04,3766.85,0.277,13,33,0.23,0.52,315,46.63,,1848,1845,1848,1843,2567,2560,33.7983071,-118.2386814,29.88,
MFLCal,100,0.42,22+17,2166.91,749,ML Ext ,D15.24,31.39,15.24,U798.07,798.07,3766.82,0.277,13,33,0.31,0.51,9,46.63,,1847,1841,1846,1838,2564,2553,33.7983070,-118.2386814,29.88,
MFLCal,100,0.42,22+17,2167.04,750,ML Ext ,D15.1,31.53,15.10,U798.19,798.19,3766.70,0.277,13,33,0.39,0.83,8,46.63,,1845,1836,1845,1832,2562,2545,33.7983067,-118.2386816,29.88,
MFLCal,100,0.42,22+17,2167.31,751,ML Ext Cluster ,D14.83,31.79,14.83,U798.37,798.37,3766.52,0.277,29,44,3.67,4.61,336,46.63,,1579,1408,1761,1684,2445,2339,33.7983062,-118.2386818,29.88,
MFLCal,100,0.42,22+17,2167.33,752,ML Ext ,D14.81,31.82,14.81,U798.5,798.50,3766.39,0.277,12,32,0.27,0.54,166,46.63,,1848,1843,1847,1841,2566,2558,33.7983059,-118.2386819,29.88,
MFLCal,100,0.42,22+17,2167.40,753,ML Ext ,D14.75,31.88,14.75,U798.55,798.55,3766.33,0.277,15,30,0.51,0.7,282,46.63,,1841,1830,1839,1825,2555,2534,33.7983057,-118.2386819,29.88,
MFLCal,100,0.42,22+18,2167.69,754,ML Ext ,D14.45,32.17,14.45,U798.84,798.84,3766.05,0.277,15,30,0.51,0.65,166,46.63,,1841,1830,1839,1825,2555,2534,33.7983050,-118.2386822,29.88,
MFLCal,100,0.42,22+18,2168.19,755,ML Ext ,D13.96,32.67,13.96,U799.35,799.35,3765.54,0.277,16,36,0.31,0.49,1,46.63,,1846,1840,1845,1837,2563,2551,33.7983036,-118.2386828,29.88,
MFLCal,100,0.42,22+18,2168.33,756,ML Ext ,D13.82,32.81,13.82,U799.49,799.49,3765.40,0.277,15,35,0.31,0.55,227,46.63,,1846,1840,1846,1837,2564,2552,33.7983032,-118.2386829,29.88,
MFLCal,100,0.42,22+18,2168.46,757,ML Ext Cluster ,D13.69,32.94,13.69,U799.59,799.59,3765.29,0.277,15,35,0.63,0.97,2,46.63,,1837,1813,1839,1815,2554,2521,33.7983030,-118.2386830,29.88,
MFLCal,100,0.42,22+19,2169.07,758,ML Ext Cluster ,D13.08,33.55,13.08,U800.2,800.20,3764.69,0.277,13,33,0.86,1.62,1,46.63,,1831,1791,1836,1804,2549,2505,33.7983014,-118.2386836,29.89,
MFLCal,100,0.42,22+19,2169.06,759,ML Ext ,D13.08,33.55,13.08,U800.22,800.22,3764.67,0.277,23,38,0.47,0.52,200,46.63,,1838,1826,1835,1819,2548,2526,33.7983013,-118.2386836,29.89,
MFLCal,100,0.42,22+19,2169.08,760,ML Ext ,D13.06,33.57,13.06,U800.25,800.25,3764.64,0.277,13,38,0.27,0.37,239,46.63,,1848,1841,1847,1839,2566,2554,33.7983013,-118.2386837,29.89,
MFLCal,100,0.42,22+19,2169.23,761,ML Ext ,D12.92,33.71,12.92,U800.39,800.39,3764.50,0.277,13,33,0.27,0.46,1,46.63,,1848,1843,1847,1841,2566,2557,33.7983009,-118.2386838,29.89,
MFLCal,100,0.42,22+19,2169.36,762,ML Ext ,D12.79,33.84,12.79,U800.53,800.53,3764.36,0.277,12,27,0.43,0.78,203,46.63,,1845,1837,1844,1834,2561,2547,33.7983005,-118.2386840,29.89,
MFLCal,100,0.42,22+20,2169.71,763,ML Ext Cluster ,D12.43,34.20,12.43,U800.83,800.83,3764.05,0.277,23,43,0.86,1.76,2,46.63,,1812,1764,1821,1779,2530,2471,33.7982997,-118.2386843,29.89,
MFLCal,100,0.42,22+20,2169.72,764,ML Ext ,D12.42,34.20,12.42,U800.88,800.88,3764.01,0.277,14,39,0.27,0.38,213,46.63,,1847,1841,1847,1838,2565,2553,33.7982996,-118.2386843,29.89,
MFLCal,100,0.42,22+20,2169.98,765,ML Ext Cluster ,D12.16,34.46,12.16,U801.09,801.09,3763.80,0.277,32,47,1.21,1.58,356,46.63,,1752,1682,1780,1717,2472,2384,33.7982990,-118.2386845,29.89,
MFLCal,100,0.42,22+20,2170.25,766,ML Ext ,D11.89,34.74,11.89,U801.41,801.41,3763.47,0.277,13,33,0.27,0.51,192,46.63,,1848,1843,1847,1841,2566,2557,33.7982982,-118.2386849,29.89,
MFLCal,100,0.42,22+20,2170.34,767,ML Ext Cluster ,D11.8,34.83,11.80,U801.49,801.49,3763.40,0.277,21,36,1.95,5.82,18,46.63,,1740,1639,1765,1665,2452,2312,33.7982980,-118.2386849,29.89,
MFLCal,100,0.42,22+21,2170.46,768,ML Ext ,D11.69,34.94,11.69,U801.62,801.62,3763.27,0.277,14,34,0.31,0.48,256,46.63,,1847,1840,1846,1838,2564,2553,33.7982976,-118.2386851,29.89,
MFLCal,100,0.42,22+21,2170.69,769,ML Ext ,D11.45,35.17,11.45,U801.85,801.85,3763.04,0.277,15,35,0.35,0.49,358,46.63,,1846,1838,1845,1834,2562,2547,33.7982971,-118.2386853,29.90,
MFLCal,100,0.42,22+21,2170.71,770,ML Ext ,D11.43,35.19,11.43,U801.88,801.88,3763.01,0.277,20,40,0.31,0.4,240,46.63,,1845,1838,1844,1834,2561,2548,33.7982970,-118.2386853,29.90,
MFLCal,100,0.42,22+21,2171.24,771,ML Ext Cluster ,D10.91,35.72,10.91,U802.34,802.34,3762.55,0.277,15,35,1.95,6.25,42,46.63,,1774,1646,1784,1666,2478,2314,33.7982958,-118.2386858,29.90,
MFLCal,100,0.42,22+21,2171.29,772,ML Ext Cluster ,D10.85,35.77,10.85,U802.44,802.44,3762.45,0.277,27,42,0.7,1.36,350,46.63,,1818,1791,1810,1774,2514,2464,33.7982955,-118.2386859,29.90,
MFLCal,100,0.42,22+22,2171.45,773,ML Ext ,D10.69,35.94,10.69,U802.61,802.61,3762.28,0.277,14,29,0.43,0.61,356,46.63,,1844,1836,1843,1832,2560,2545,33.7982950,-118.2386861,29.90,
MFLCal,100,0.42,22+22,2171.62,774,ML Ext Cluster ,D10.53,36.10,10.53,U802.77,802.77,3762.12,0.277,18,33,2.03,2.52,346,46.63,,1753,1653,1765,1650,2451,2292,33.7982946,-118.2386863,29.90,
MFLCal,100,0.42,22+22,2172.24,775,ML Ext Cluster ,D9.91,36.72,9.91,U803.2,803.20,3761.69,0.277,16,31,3.44,6.92,356,46.63,,1715,1568,1762,1635,2447,2271,33.7982935,-118.2386867,29.90,
MFLCal,100,0.42,22+23,2172.52,776,ML Ext ,D9.62,37.01,9.62,U803.69,803.69,3761.19,0.277,12,32,0.23,0.54,8,46.63,,1848,1845,1848,1844,2567,2561,33.7982922,-118.2386872,29.91,
MFLCal,100,0.42,22+23,2172.75,777,ML Ext Cluster ,D9.4,37.23,9.40,U803.91,803.91,3760.98,0.277,29,44,5.23,6.98,13,46.63,,1529,1338,1698,1518,2358,2108,33.7982916,-118.2386874,29.91,
MFLCal,100,0.42,22+23,2173.03,778,ML Ext ,D9.12,37.51,9.12,U804.19,804.19,3760.70,0.277,15,30,0.43,0.58,159,46.63,,1844,1835,1842,1832,2559,2544,33.7982909,-118.2386877,29.91,
MFLCal,100,0.42,22+23,2173.57,779,ML Ext Cluster ,D8.58,38.05,8.58,U804.3,804.30,3760.59,0.277,22,47,6.21,11.1,192,46.63,,1597,1269,1688,1435,2344,1993,33.7982906,-118.2386878,29.91,
MFLCal,100,0.42,22+23,2173.29,780,ML Ext ,D8.86,37.77,8.86,U804.44,804.44,3760.45,0.277,16,31,0.51,0.51,103,46.63,,1841,1829,1839,1823,2554,2533,33.7982902,-118.2386880,29.91,
MFLCal,100,0.42,22+23,2173.74,781,ML Ext Cluster ,D8.41,38.22,8.41,U804.49,804.49,3760.40,0.277,27,42,5.39,15.1,352,46.63,,1550,1360,1638,1448,2275,2012,33.7982901,-118.2386880,29.91,
MFLCal,100,0.42,22+24,2173.56,782,ML Ext ,D8.58,38.04,8.58,U804.73,804.73,3760.16,0.277,11,26,0.43,0.85,226,46.63,,1845,1838,1845,1835,2562,2548,33.7982895,-118.2386882,29.92,
MFLCal,100,0.42,22+24,2174.06,783,ML Ext Cluster ,D8.09,38.54,8.09,U805.04,805.04,3759.85,0.277,15,30,2.62,4.92,132,46.63,,1748,1627,1794,1708,2491,2372,33.7982887,-118.2386886,29.92,
MFLCal,100,0.42,22+24,2174.00,784,ML Ext Cluster ,D8.15,38.48,8.15,U805.07,805.07,3759.82,0.277,15,35,1.48,4.2,68,46.63,,1796,1703,1819,1765,2526,2451,33.7982886,-118.2386886,29.92,
MFLCal,100,0.42,22+24,2173.92,785,ML Ext Cluster ,D8.22,38.41,8.22,U805.09,805.09,3759.80,0.277,12,32,1.09,1.85,262,46.63,,1823,1766,1830,1791,2542,2487,33.7982885,-118.2386886,29.92,
MFLCal,100,0.42,22+24,2174.03,786,ML Ext Cluster ,D8.12,38.51,8.12,U805.13,805.13,3759.76,0.277,16,41,0.9,0.44,14,46.63,,1824,1764,1835,1804,2548,2505,33.7982884,-118.2386887,29.92,
MFLCal,100,0.42,22+24,2174.01,787,ML Ext Cluster ,D8.14,38.49,8.14,U805.17,805.17,3759.72,0.277,13,33,1.09,2.03,307,46.63,,1821,1762,1834,1798,2547,2497,33.7982883,-118.2386887,29.92,
MFLCal,100,0.42,22+24,2174.21,788,ML Ext Cluster ,D7.93,38.70,7.93,U805.26,805.26,3759.62,0.277,14,34,2.42,6.02,202,46.63,,1762,1608,1785,1673,2480,2324,33.7982881,-118.2386888,29.92,
MFLCal,100,0.42,22+24,2174.12,789,ML Ext Cluster ,D8.02,38.61,8.02,U805.29,805.29,3759.60,0.277,15,35,2.03,3.63,69,46.63,,1771,1638,1778,1664,2469,2311,33.7982880,-118.2386888,29.92,
MFLCal,100,0.42,22+24,2174.38,790,ML Ext Cluster ,D7.76,38.87,7.76,U805.54,805.54,3759.35,0.277,15,30,0.59,1.82,90,46.63,,1839,1824,1836,1817,2550,2524,33.7982873,-118.2386891,29.92,
MFLCal,100,0.42,22+25,2174.68,791,ML Ext Cluster ,D7.47,39.16,7.47,U805.6,805.60,3759.29,0.277,21,36,5.43,8.06,166,46.63,,1621,1437,1694,1473,2353,2046,33.7982872,-118.2386891,29.92,
MFLCal,100,0.42,22+25,2174.48,792,ML Ext ,D7.67,38.96,7.67,U805.64,805.64,3759.25,0.277,11,31,0.27,0.51,18,46.63,,1848,1843,1848,1842,2566,2558,33.7982871,-118.2386892,29.92,
MFLCal,100,0.42,22+25,2174.52,793,ML Ext ,D7.62,39.01,7.62,U805.69,805.69,3759.20,0.277,13,33,0.31,0.41,135,46.63,,1847,1841,1846,1838,2564,2553,33.7982869,-118.2386892,29.92,
MFLCal,100,0.42,22+25,2175.12,794,ML Ext Cluster ,D7.03,39.60,7.03,U806.28,806.28,3758.61,0.277,14,34,0.82,1.32,48,46.63,,1831,1793,1835,1807,2549,2509,33.7982854,-118.2386898,29.93,
MFLCal,100,0.42,22+25,2175.17,795,ML Ext ,D6.97,39.66,6.97,U806.33,806.33,3758.56,0.277,11,26,0.59,0.99,192,46.63,,1842,1828,1840,1823,2556,2532,33.7982853,-118.2386899,29.93,
MFLCal,100,0.42,22+26,2175.63,796,ML Ext ,D6.52,40.11,6.52,U806.79,806.79,3758.09,0.277,11,31,0.27,0.51,356,46.63,,1848,1843,1848,1842,2566,2558,33.7982841,-118.2386904,29.93,
MFLCal,100,0.42,22+26,2175.82,797,ML Ext Cluster ,D6.33,40.30,6.33,U806.97,806.97,3757.92,0.277,15,30,0.66,3.76,90,46.63,,1836,1817,1833,1809,2545,2512,33.7982836,-118.2386905,29.93,
MFLCal,100,0.42,22+26,2176.00,798,ML Ext ,D6.14,40.48,6.14,U807.17,807.17,3757.71,0.277,12,32,0.23,0.55,68,46.63,,1848,1845,1848,1844,2567,2561,33.7982831,-118.2386907,29.93,
MFLCal,100,0.42,22+26,2176.17,799,ML Ext Cluster ,D5.98,40.65,5.98,U807.3,807.30,3757.59,0.277,13,33,1.1,4.23,51,46.63,,1821,1762,1826,1774,2536,2464,33.7982827,-118.2386909,29.93,
MFLCal,100,0.42,22+26,2176.24,800,ML Ext Cluster ,D5.91,40.72,5.91,U807.35,807.35,3757.53,0.277,20,35,1.1,1.74,152,46.63,,1803,1755,1801,1743,2502,2421,33.7982826,-118.2386909,29.93,
MFLCal,100,0.42,22+26,2176.38,801,ML Ext Cluster ,D5.77,40.86,5.77,U807.46,807.46,3757.42,0.277,19,34,1.99,5.51,200,46.63,,1749,1649,1762,1651,2447,2293,33.7982823,-118.2386910,29.93,
MFLCal,100,0.42,22+27,2176.65,802,ML Ext Cluster ,D5.49,41.13,5.49,U807.63,807.63,3757.26,0.277,26,41,3.75,10.71,286,46.63,,1607,1439,1646,1468,2286,2039,33.7982819,-118.2386912,29.94,
MFLCal,100,0.42,22+27,2176.58,803,ML Ext ,D5.57,41.06,5.57,U807.74,807.74,3757.15,0.277,12,32,0.35,0.58,178,46.63,,1847,1839,1846,1836,2564,2550,33.7982816,-118.2386913,29.94,
MFLCal,100,0.42,22+27,2176.72,804,ML Ext ,D5.43,41.20,5.43,U807.88,807.88,3757.01,0.277,10,30,0.31,0.61,243,46.63,,1848,1842,1847,1840,2566,2555,33.7982812,-118.2386915,29.94,
MFLCal,100,0.42,22+27,2176.82,805,ML Ext ,D5.32,41.31,5.32,U807.97,807.97,3756.92,0.277,14,29,0.47,0.62,127,46.63,,1843,1833,1842,1829,2558,2541,33.7982810,-118.2386916,29.94,
MFLCal,100,0.42,22+27,2176.91,806,ML Ext ,D5.24,41.39,5.24,U808.08,808.08,3756.81,0.277,13,33,0.27,0.6,296,46.63,,1848,1843,1847,1841,2566,2557,33.7982807,-118.2386917,29.94,
MFLCal,100,0.42,22+27,2176.97,807,ML Ext Cluster ,D5.18,41.45,5.18,U808.08,808.08,3756.81,0.277,14,34,2.93,11.93,61,46.63,,1746,1568,1748,1566,2427,2176,33.7982807,-118.2386917,29.94,
MFLCal,100,0.42,22+27,2176.96,808,ML Ext Cluster ,D5.19,41.44,5.19,U808.11,808.11,3756.78,0.277,15,30,1.56,1.62,314,46.63,,1793,1721,1806,1736,2508,2411,33.7982806,-118.2386917,29.94,
MFLCal,100,0.42,22+27,2177.10,809,ML Ext Cluster ,D5.05,41.58,5.05,U808.24,808.24,3756.65,0.277,14,29,1.06,2.06,45,46.63,,1820,1780,1818,1762,2525,2448,33.7982803,-118.2386918,29.94,
MFLCal,100,0.42,22+27,2177.30,810,ML Ext Cluster ,D4.85,41.78,4.85,U808.46,808.46,3756.43,0.277,24,39,0.51,1.57,293,46.63,,1835,1821,1831,1812,2543,2517,33.7982797,-118.2386921,29.94,
MFLCal,100,0.42,22+27,2177.34,811,ML Ext Cluster ,D4.81,41.82,4.81,U808.46,808.46,3756.43,0.277,18,33,0.9,4.81,20,46.63,,1820,1786,1820,1776,2527,2466,33.7982797,-118.2386921,29.94,
MFLCal,100,0.42,22+27,2177.30,812,ML Ext ,D4.84,41.79,4.84,U808.48,808.48,3756.41,0.277,12,32,0.39,0.74,256,46.63,,1846,1837,1845,1833,2562,2546,33.7982796,-118.2386921,29.94,
MFLCal,100,0.42,22+27,2177.47,813,ML Ext Cluster ,D4.68,41.95,4.68,U808.52,808.52,3756.37,0.277,13,33,1.6,5.33,130,46.63,,1799,1700,1799,1696,2498,2355,33.7982795,-118.2386921,29.94,
MFLCal,100,0.42,22+28,2177.48,814,ML Ext ,D4.66,41.97,4.66,U808.65,808.65,3756.24,0.277,21,36,0.47,0.58,246,46.63,,1839,1828,1836,1821,2550,2530,33.7982792,-118.2386922,29.94,
MFLCal,100,0.42,22+28,2177.56,815,ML Ext Cluster ,D4.59,42.04,4.59,U808.66,808.66,3756.22,0.277,17,32,5.51,5.84,20,46.63,,1665,1486,1729,1562,2401,2170,33.7982791,-118.2386923,29.94,
MFLCal,100,0.42,22+28,2177.61,816,ML Ext Cluster ,D4.53,42.09,4.53,U808.75,808.75,3756.14,0.277,13,33,2.66,5.38,150,46.63,,1761,1598,1796,1697,2494,2357,33.7982789,-118.2386924,29.94,
MFLCal,100,0.42,22+28,2177.88,817,ML Ext ,D4.27,42.36,4.27,U809.04,809.04,3755.85,0.277,11,31,0.35,0.67,312,46.63,,1847,1839,1846,1837,2564,2551,33.7982782,-118.2386926,29.95,
MFLCal,100,0.42,22+28,2177.90,818,ML Ext ,D4.24,42.38,4.24,U809.06,809.06,3755.83,0.277,11,31,0.31,0.97,128,46.63,,1847,1842,1847,1839,2565,2555,33.7982781,-118.2386927,29.95,
MFLCal,100,0.42,22+28,2177.90,819,ML Ext ,D4.24,42.39,4.24,U809.07,809.07,3755.82,0.277,11,31,0.23,0.73,202,46.63,,1849,1845,1848,1844,2567,2561,33.7982781,-118.2386927,29.95,
MFLCal,100,0.42,22+28,2178.18,820,ML Ext Cluster ,D3.96,42.67,3.96,U809.25,809.25,3755.64,0.277,14,29,1.6,6.13,177,46.63,,1795,1722,1803,1731,2505,2405,33.7982776,-118.2386929,29.95,
MFLCal,100,0.42,22+28,2178.17,821,ML Ext Cluster ,D3.97,42.65,3.97,U809.33,809.33,3755.56,0.277,23,38,2.07,8.15,38,46.63,,1719,1610,1733,1569,2407,2179,33.7982774,-118.2386929,29.95,
