Global GW,Tool,Weld Number,Approx. Milepost (miles),"Approx. Map Station
 (ft)",Odometer (ft),Feature Number,Feature Description,"Distance to Nearest Weld 
(ft)","Distance to Upstream Weld 
(ft)","Distance to Downstream Weld 
(ft)","Distance to Nearest AGM 
(ft)","Distance to Upstream AGM
 (ft)","Distance to Downstream AGM  
(ft)","Wall Thickness of Joint or Boxed Metal Loss Anomaly (Median)
 (in)","Wall Thickness of Joint Only (Median) 
(in)",Max Depth (% from Joint Median),Max Depth +Tool Tolerance (% from Joint Median),"Dent Depth
 (%)",Length (in),"Width 
(in)",Orient. (deg),Pipe Lnth (ft),Long Seam Orient. (deg),"B31G mod Using Median Thickness Psafe 
(psi)","B31Gmod Using Median Thickness +Tool Tolerance Psafe 
(psi)","B31G Eff. Area Using Median Thickness Psafe 
(psi)","B31G Eff. Area Using Median Thickness +Tool Tolerance 
Psafe
 (psi)","B31G Eff. Area Using Median Thickness Pfailure 
(psi)","B31G Eff. Area Using Median Thickness +Tool Tolerance Pfailure 
(psi)",Lattitude NAD83,Longitude NAD83,"Elevation Above Mean Sea Level NAVD88
 (ft)",Comments,Valid Thickness Data Percent,Feature Type (Int/Ext/Mid),Depth of Feature (From Joint Median) (in),Depth Sizing Tolerance (in),Depth of Feature (From Joint Median +Tool Tolerance) (in),"Thickness Minimum Measured for Metal Loss (Minus Tool Tolerance) 
(in)","Thickness Minimum Measured (Tmm) 
(in)",API 579 MAOPr (psi),API 579 RSF,Piping Specifications,SMYS (ksi),MAOP Design (psi),"Nominal Pipe Diameter, OD 
(in)",T Median Measured (in),T Mean Measured (in),Distance from Launcher (ft),Station Position (ft),"Radius Inside (Median) 
(in)","Radius Inside (Mean)
 (in)","Radius Inside (Min)
 (in)",T Nominal (in),,,,,
120,InVista,16,0.025,1+31,6.12,BD,Bend; Air Entrainment from Tap at 12:00,D0.74,,,,,6.73,,,,,,,,,,,,,,,,,33.80030009,-118.23268761,42.0,Air Entrainment from Tap at 12:00,,,,,,,,,,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,,,,,6.12,131.35,,,,0.344,,,,,
130,InVista,17,0.025,1+32,6.86,GW150,Weld; Begin 0.322 in wall. API 5L (X-42) LongSeam,U1.51,1.51,8.14,,,5.99,0.313,0.313,,,,,,,8.14,322,,,,,,,33.80030060,-118.23268952,41.6,,98.1,,,,,,0.297,"2,258",0.955,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,"2,258",8.625,0.313,0.315,6.86,132.00,4.004,4.004,2.585,0.322,,,,,
130,InVista,17,0.026,1+37,12.85,AGM 1,"AGM 1
Description: T.O.P. @ GROUND 
Location: Kinder Morgan
Map: 4A-1558
(Above Descriptions from PSOMAS)",D2.15,5.99,2.15,,,"2,010.98",,,,,,,,,,,,,,,,,33.80030369,-118.23270273,37.9,"AGM 1
Description: T.O.P. @ GROUND 
Location: Kinder Morgan
Map: 4A-1558
(Above Descriptions from PSOMAS)
",,,,,,,,,,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,,,,,12.85,137.22,,,,0.322,,,,,
140,InVista,18,0.026,1+39,15.00,GW160,Weld; Begin 0.344 in wall. API 5L (X-42) Seamless,D1.52,8.14,1.52,U2.15,2.15,"2,008.82",0.352,0.352,,,,,,,1.52,,,,,,,,33.80030490,-118.23270777,36.7,,32.1,,,,,,0.323,"2,412",0.932,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,"2,412",8.625,0.352,0.417,15.00,139.11,3.938,3.938,3.187,0.344,,,,,
140,InVista,18,0.026,1+40,15.76,BD,Bend; Possible Bend Signatures,D0.76,,,U2.91,2.91,"2,008.06",,,,,,,,,,,,,,,,,33.80030489,-118.23270833,36.1,Possible Bend Signatures,,,,,,,,,,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,,,,,15.76,139.77,,,,0.344,,,,,
150,InVista,19,0.027,1+41,16.52,GW170,Weld; Begin 0.322 in wall. API 5L (X-42) LongSeam,U1.52,1.52,1.92,U3.67,3.67,"2,007.31",0.313,0.313,,,,,,,1.92,314,,,,,,,33.80030552,-118.23271043,36.0,,96.5,,,,,,0.306,"2,258",0.959,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,"2,258",8.625,0.313,0.315,16.52,140.53,4.006,4.005,3.096,0.322,,,,,
150,InVista,19,0.027,1+42,18.13,EQ,Equation EQ: 1+42.16 (BK),D0.30,1.61,0.30,U5.29,5.28,"2,005.69",,,,,,,,,,,,,,,,,33.80030709,-118.23271549,36.0,EQ: 1+42.16 (BK),,,,,,,,,,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,,,,,18.13,142.16,,,,0.322,,,,,
150,InVista,19,1.604,84+72,18.14,EQ,Equation EQ: 84+71.52 (AH),D0.30,1.62,0.30,U5.29,5.29,"2,005.69",,,,,,,,,,,,,,,,,33.80030709,-118.23271549,36.0,EQ: 84+71.52 (AH),,,,,,,,,,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,,,,,18.14,"8,471.52",,,,0.322,,,,,
160,InVista,20,1.605,84+72,18.44,GW180,Weld,U1.92,1.92,42.47,U5.59,5.59,"2,005.39",0.322,0.322,,,,,,,42.47,155,,,,,,,33.80030741,-118.23271650,36.0,,99.9,,,,,,0.305,"1,613",0.966,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.322,0.323,18.44,"8,471.82",4.008,4.008,2.852,0.322,,,,,
170,InVista,21,1.613,85+15,60.90,GW190,Weld,U42.47,42.47,43.22,U48.05,48.05,"1,962.93",0.319,0.319,,,,,,,43.22,102,,,,,,,33.80033910,-118.23285138,36.3,Metal Loss (<15.0%) in Joint,99.3,,,,,,0.216,"1,613",0.946,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.319,0.320,60.90,"8,514.55",4.013,4.012,3.192,0.322,,,,,
170,InVista,21,1.613,85+15,60.90,IML-190-01,Internal Metal Loss,U0.00,0.00,43.22,U48.06,48.06,"1,962.92",0.253,0.319,32,40,,0.14,0.40,286,,,"2,128","2,128","2,128","2,127","2,956","2,954",33.80033910,-118.23285138,36.3,Possible Lack of Penetration; In Girth Weld; WT Inferred from IR; Not Associated with Deposits;,100.0,Internal,0.103,0.025,0.128,0.191,0.216,"1,613",0.971,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.253,0.256,60.90,"8,514.55",4.073,4.056,4.011,0.322,,,,,
170,InVista,21,1.619,85+47,93.13,EML-190-02,External Metal Loss,D10.99,32.23,10.99,U80.29,80.29,"1,930.69",0.308,0.319,25,33,,1.18,1.53,256,,,"2,058","2,028","2,087","2,057","2,899","2,857",33.80036318,-118.23295407,36.6,,47.4,External,0.081,0.025,0.106,0.213,0.238,"1,613",0.946,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.308,0.305,93.13,"8,546.99",4.005,4.005,4.000,0.322,,,,,
