Global GW,Tool,Weld Number,Approx. Milepost (miles),"Approx. Map Station
 (ft)",Odometer (ft),Feature Number,Feature Description,"Distance to Nearest Weld 
(ft)","Distance to Upstream Weld 
(ft)","Distance to Downstream Weld 
(ft)","Distance to Nearest AGM 
(ft)","Distance to Upstream AGM
 (ft)","Distance to Downstream AGM  
(ft)","Wall Thickness of Joint or Boxed Metal Loss Anomaly (Median)
 (in)","Wall Thickness of Joint Only (Median) 
(in)",Max Depth (% from Joint Median),Max Depth +Tool Tolerance (% from Joint Median),"Dent Depth
 (%)",Length (in),"Width 
(in)",Orient. (deg),Pipe Lnth (ft),Long Seam Orient. (deg),"B31G mod Using Median Thickness Psafe 
(psi)","B31Gmod Using Median Thickness +Tool Tolerance Psafe 
(psi)","B31G Eff. Area Using Median Thickness Psafe 
(psi)","B31G Eff. Area Using Median Thickness +Tool Tolerance 
Psafe
 (psi)","B31G Eff. Area Using Median Thickness Pfailure 
(psi)","B31G Eff. Area Using Median Thickness +Tool Tolerance Pfailure 
(psi)",Lattitude NAD83,Longitude NAD83,"Elevation Above Mean Sea Level NAVD88
 (ft)",Comments,Valid Thickness Data Percent,Feature Type (Int/Ext/Mid),Depth of Feature (From Joint Median) (in),Depth Sizing Tolerance (in),Depth of Feature (From Joint Median +Tool Tolerance) (in),"Thickness Minimum Measured for Metal Loss (Minus Tool Tolerance) 
(in)","Thickness Minimum Measured (Tmm) 
(in)",API 579 MAOPr (psi),API 579 RSF,Piping Specifications,SMYS (ksi),MAOP Design (psi),"Nominal Pipe Diameter, OD 
(in)",T Median Measured (in),T Mean Measured (in),Distance from Launcher (ft),Station Position (ft),"Radius Inside (Median) 
(in)","Radius Inside (Mean)
 (in)","Radius Inside (Min)
 (in)",T Nominal (in),,,,,
8640,InVista,868,3.260,172+11,"27,657.63",GW8660,Weld,U40.32,40.32,40.40,U639.80,639.80,"2,423.00",0.319,0.319,,,,,,,40.40,186,,,,,,,33.83575739,-118.27919888,22.1,,99.9,,,,,,0.307,"2,258",0.989,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,"2,258",8.625,0.319,0.323,"27,657.63","17,211.32",3.994,3.993,2.832,0.322,,,,,
8650,InVista,869,3.252,171+71,"27,698.04",GW8670,Weld,D40.31,40.40,40.31,U680.21,680.21,"2,382.59",0.321,0.321,,,,,,,40.31,274,,,,,,,33.83586566,-118.27922759,21.1,,99.9,,,,,,0.294,"2,258",0.973,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,"2,258",8.625,0.321,0.324,"27,698.04","17,170.94",3.991,3.991,2.860,0.322,,,,,
8660,InVista,870,3.244,171+31,"27,738.35",GW8680,Weld,D39.89,40.31,39.89,U720.52,720.52,"2,342.28",0.320,0.320,,,,,,,39.89,158,,,,,,,33.83597370,-118.27925625,20.0,,99.8,,,,,,0.313,"2,258",0.987,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,"2,258",8.625,0.320,0.323,"27,738.35","17,130.65",3.993,3.992,2.911,0.322,,,,,
8670,InVista,871,3.237,170+91,"27,778.24",GW8690,Weld,U39.89,39.89,39.96,U760.41,760.41,"2,302.39",0.318,0.318,,,,,,,39.96,251,,,,,,,33.83608063,-118.27928462,19.0,,99.9,,,,,,0.312,"2,258",0.991,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,"2,258",8.625,0.318,0.320,"27,778.24","17,090.79",3.994,3.994,2.800,0.322,,,,,
8670,InVista,871,3.233,170+72,"27,796.64",Clarion St,Street C/L,U18.40,18.40,21.56,U778.81,778.80,"2,283.99",,,,,,0.06,0.08,360,,,,,,,,,33.83612992,-118.27929768,18.5,"Clarion St
170+72
(Alignment Sheet D4A-3147)",,,,,,,,,,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,,,,,"27,796.64","17,072.41",3.993,3.993,3.993,0.322,,,,,
8680,InVista,872,3.229,170+51,"27,818.20",GW8700,Weld,U39.96,39.96,40.41,U800.36,800.36,"2,262.44",0.320,0.320,,,,,,,40.41,13,,,,,,,33.83618773,-118.27931303,18.0,,99.9,,,,,,0.311,"2,258",0.988,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,"2,258",8.625,0.320,0.322,"27,818.20","17,050.86",3.992,3.992,2.849,0.322,,,,,
8690,InVista,873,3.222,170+10,"27,858.61",GW8710,Weld,D40.35,40.41,40.35,U840.78,840.78,"2,222.02",0.322,0.322,,,,,,,40.35,149,,,,,,,33.83629587,-118.27934254,18.6,,99.8,,,,,,0.313,"2,258",0.983,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,"2,258",8.625,0.322,0.326,"27,858.61","17,010.47",3.992,3.992,2.812,0.322,,,,,
8700,InVista,874,3.214,169+70,"27,898.96",GW8720,Weld,U40.35,40.35,40.41,U881.12,881.12,"2,181.68",0.324,0.324,,,,,,,40.41,255,,,,,,,33.83640400,-118.27937205,19.3,,99.9,,,,,,0.312,"2,258",0.981,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,"2,258",8.625,0.324,0.325,"27,898.96","16,970.15",3.986,3.986,2.818,0.322,,,,,
8710,InVista,875,3.206,169+30,"27,939.36",GW8730,Weld,D26.23,40.41,26.23,U921.53,921.53,"2,141.27",0.323,0.323,,,,,,,26.23,262,,,,,,,33.83651214,-118.27940156,19.9,Long Seam Axially Aligned Across Girth Weld,99.9,,,,,,0.316,"2,473",0.987,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.323,0.323,"27,939.36","16,929.77",3.989,3.988,2.853,0.322,,,,,
8720,InVista,876,3.201,169+04,"27,965.59",GW8740,Weld,U26.23,26.23,31.85,U947.76,947.76,"2,115.04",0.322,0.322,,,,,,,31.85,340,,,,,,,33.83658246,-118.27942075,20.3,,99.9,,,,,,0.310,"2,473",0.983,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.322,0.323,"27,965.59","16,903.56",3.99,3.990,2.836,0.322,,,,,
8730,InVista,877,3.195,168+72,"27,997.45",GW8750,Weld,U31.86,31.85,39.85,U979.62,979.62,"2,083.18",0.324,0.324,,,,,,,39.85,266,,,,,,,33.83666773,-118.27944403,20.8,,99.9,,,,,,0.316,"2,473",0.986,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.324,0.324,"27,997.45","16,871.72",3.987,3.987,2.890,0.322,,,,,
8740,InVista,878,3.188,168+32,"28,037.30",GW8760,Weld,U39.85,39.85,40.42,U1019.47,"1,019.47","2,043.33",0.321,0.321,,,,,,,40.42,225,,,,,,,33.83677427,-118.27947288,18.9,,99.5,,,,,,0.314,"2,473",0.989,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.321,0.323,"28,037.30","16,831.90",3.989,3.989,2.857,0.322,,,,,
8750,InVista,879,3.180,167+92,"28,077.72",GW8770,Weld,U40.42,40.42,40.51,U1059.89,"1,059.89","2,002.91",0.320,0.320,,,,,,,40.51,164,,,,,,,33.83688255,-118.27950221,17.0,,99.5,,,,,,0.313,"2,473",0.988,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.320,0.322,"28,077.72","16,791.50",3.991,3.991,2.927,0.322,,,,,
8760,InVista,880,3.173,167+51,"28,118.23",GW8780,Weld,D40.40,40.51,40.40,U1100.40,"1,100.40","1,962.40",0.320,0.320,,,,,,,40.40,207,,,,,,,33.83699133,-118.27953024,16.5,,99.7,,,,,,0.314,"2,473",0.988,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.320,0.322,"28,118.23","16,751.02",3.992,3.992,2.866,0.322,,,,,
8770,InVista,881,3.165,167+11,"28,158.63",GW8790,Weld,D40.36,40.40,40.36,U1140.80,"1,140.80","1,922.00",0.323,0.323,,,,,,,40.36,127,,,,,,,33.83709927,-118.27955922,18.4,,99.9,,,,,,0.316,"2,473",0.989,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.323,0.323,"28,158.63","16,710.64",3.989,3.988,2.813,0.322,,,,,
8780,InVista,882,3.157,166+70,"28,198.99",GW8800,Weld,D40.19,40.36,40.19,U1181.16,"1,181.16","1,881.64",0.323,0.323,,,,,,,40.19,7,,,,,,,33.83720772,-118.27958594,21.4,,99.5,,,,,,0.315,"2,473",0.990,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.323,0.324,"28,198.99","16,670.31",3.99,3.989,2.852,0.322,,,,,
8790,InVista,883,3.150,166+30,"28,239.18",GW8810,Weld,D40.07,40.19,40.07,U1221.35,"1,221.35","1,841.45",0.321,0.321,,,,,,,40.07,340,,,,,,,33.83731681,-118.27960544,21.2,,99.8,,,,,,0.312,"2,473",0.982,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.321,0.322,"28,239.18","16,630.15",3.991,3.990,2.975,0.322,,,,,
8800,InVista,884,3.142,165+90,"28,279.25",GW8820,Weld,U40.07,40.07,40.36,U1261.42,"1,261.42","1,801.38",0.322,0.322,,,,,,,40.36,310,,,,,,,33.83742561,-118.27962487,20.9,,99.9,,,,,,0.298,"2,473",0.973,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.322,0.323,"28,279.25","16,590.11",3.99,3.990,2.810,0.322,,,,,
8810,InVista,885,3.134,165+50,"28,319.61",GW8830,Weld,U40.36,40.36,43.50,U1301.78,"1,301.78","1,761.02",0.324,0.324,,,,,,,43.50,257,,,,,,,33.83753532,-118.27964447,20.7,,99.9,,,,,,0.317,"2,473",0.982,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.324,0.324,"28,319.61","16,549.77",3.993,3.994,2.757,0.322,,,,,
8820,InVista,886,3.126,165+06,"28,363.11",GW8840,Weld,D40.05,43.50,40.05,U1345.28,"1,345.28","1,717.52",0.324,0.324,,,,,,,40.05,342,,,,,,,33.83765350,-118.27966558,20.4,,99.6,,,,,,0.316,"2,473",0.985,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.324,0.326,"28,363.11","16,506.30",3.988,3.987,2.771,0.322,,,,,
8830,InVista,887,3.119,164+66,"28,403.16",GW8850,Weld,U40.05,40.05,40.62,U1385.33,"1,385.33","1,677.47",0.320,0.320,,,,,,,40.62,298,,,,,,,33.83776208,-118.27968497,20.2,,99.9,,,,,,0.306,"2,473",0.988,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.320,0.321,"28,403.16","16,466.28",3.993,3.992,2.963,0.322,,,,,
8840,InVista,888,3.111,164+26,"28,443.78",GW8860,Weld,D40.55,40.62,40.55,U1425.94,"1,425.94","1,636.85",0.322,0.322,,,,,,,40.55,312,,,,,,,33.83787245,-118.27970469,19.9,,99.9,,,,,,0.315,"2,473",0.984,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.322,0.323,"28,443.78","16,425.69",3.988,3.988,2.800,0.322,,,,,
8850,InVista,889,3.103,163+85,"28,484.32",GW8870,Weld,D40.09,40.55,40.08,U1466.49,"1,466.49","1,596.31",0.323,0.323,,,,,,,40.08,195,,,,,,,33.83798261,-118.27972436,19.7,,99.7,,,,,,0.316,"2,473",0.986,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.323,0.325,"28,484.32","16,385.16",3.989,3.988,2.812,0.322,,,,,
8860,InVista,890,3.096,163+45,"28,524.41",GW8880,Weld,U40.09,40.08,40.45,U1506.58,"1,506.58","1,556.22",0.322,0.322,,,,,,,40.45,26,,,,,,,33.83809228,-118.27973505,20.5,,99.7,,,,,,0.314,"2,473",0.987,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.322,0.324,"28,524.41","16,345.10",3.989,3.988,2.888,0.322,,,,,
8870,InVista,891,3.088,163+05,"28,564.86",GW8890,Weld,U40.45,40.45,40.51,D1515.77,"1,547.03","1,515.77",0.320,0.320,,,,,,,40.51,21,,,,,,,33.83820316,-118.27974495,20.5,,99.6,,,,,,0.313,"2,473",0.988,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.320,0.321,"28,564.86","16,304.68",3.992,3.991,2.796,0.322,,,,,
8880,InVista,892,3.080,162+64,"28,605.38",GW8900,Weld,D40.18,40.51,40.18,D1475.25,"1,587.55","1,475.25",0.321,0.321,,,,,,,40.18,7,,,,,,,33.83831422,-118.27975346,19.9,,99.7,,,,,,0.315,"2,473",0.986,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.321,0.324,"28,605.38","16,264.19",3.991,3.991,2.827,0.322,,,,,
8890,InVista,893,3.073,162+24,"28,645.56",GW8910,Weld,U40.18,40.18,40.47,D1435.07,"1,627.73","1,435.07",0.323,0.323,,,,,,,40.47,329,,,,,,,33.83842423,-118.27976187,19.2,,99.7,,,,,,0.314,"2,473",0.982,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.323,0.326,"28,645.56","16,224.03",3.99,3.988,2.854,0.322,,,,,
8900,InVista,894,3.065,161+84,"28,686.02",GW8920,Weld,U40.47,40.47,40.51,D1394.61,"1,668.19","1,394.61",0.321,0.321,,,,,,,40.51,357,,,,,,,33.83853517,-118.27976896,18.8,,99.7,,,,,,0.313,"2,473",0.988,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.321,0.323,"28,686.02","16,183.60",3.991,3.991,3.151,0.322,,,,,
8910,InVista,895,3.057,161+43,"28,726.53",GW8930,Weld,D40.41,40.51,40.41,D1354.10,"1,708.70","1,354.10",0.322,0.322,,,,,,,40.41,50,,,,,,,33.83864637,-118.27977605,18.3,,99.9,,,,,,0.314,"2,473",0.986,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.322,0.322,"28,726.53","16,143.11",3.991,3.990,3.048,0.322,,,,,
8920,InVista,896,3.050,161+03,"28,766.94",GW8940,Weld,U40.41,40.41,41.49,D1313.69,"1,749.11","1,313.69",0.322,0.322,,,,,,,41.49,289,,,,,,,33.83875713,-118.27978311,17.9,,99.9,,,,,,0.311,"2,473",0.985,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.322,0.323,"28,766.94","16,102.73",3.996,3.997,2.949,0.322,,,,,
8930,InVista,897,3.042,160+61,"28,808.44",GW8950,Weld,D40.62,41.49,40.62,D1272.20,"1,790.60","1,272.19",0.320,0.320,,,,,,,40.62,322,,,,,,,33.83887105,-118.27979005,17.8,,99.9,,,,,,0.312,"2,473",0.987,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.320,0.321,"28,808.44","16,061.26",3.993,3.993,3.023,0.322,,,,,
8940,InVista,898,3.034,160+21,"28,849.05",GW8960,Weld,D40.51,40.62,40.51,D1231.58,"1,831.22","1,231.57",0.320,0.320,,,,,,,40.51,340,,,,,,,33.83898227,-118.27979683,17.7,,99.7,,,,,,0.307,"2,473",0.985,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.320,0.322,"28,849.05","16,020.67",3.991,3.991,2.871,0.322,,,,,
8950,InVista,899,3.027,159+80,"28,889.56",GW8970,Weld,D40.40,40.51,40.40,D1191.07,"1,871.73","1,191.07",0.321,0.321,,,,,,,40.40,25,,,,,,,33.83909349,-118.27980361,17.6,,99.8,,,,,,0.314,"2,473",0.985,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.321,0.324,"28,889.56","15,980.19",3.99,3.989,2.882,0.322,,,,,
8960,InVista,900,3.019,159+40,"28,929.96",GW8980,Weld,D38.33,40.40,38.33,D1150.67,"1,912.13","1,150.67",0.325,0.325,,,,,,,38.33,315,,,,,,,33.83920427,-118.27981036,17.5,,99.9,,,,,,0.315,"2,473",0.982,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.325,0.325,"28,929.96","15,939.82",3.994,3.995,3.419,0.322,,,,,
8970,InVista,901,3.012,159+02,"28,968.29",GW8990,Weld,U38.33,38.33,41.52,D1112.34,"1,950.46","1,112.34",0.323,0.323,,,,,,,41.52,356,,,,,,,33.83930941,-118.27981677,17.5,,99.9,,,,,,0.310,"2,473",0.984,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.323,0.324,"28,968.29","15,901.51",3.997,3.997,3.594,0.322,,,,,
8980,InVista,902,3.004,158+60,"29,009.80",GW9000,Weld,D40.18,41.52,40.17,D1070.83,"1,991.97","1,070.82",0.321,0.321,,,,,,,40.17,280,,,,,,,33.83942334,-118.27982371,17.4,,99.6,,,,,,0.308,"2,473",0.988,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.321,0.323,"29,009.80","15,860.02",3.99,3.989,3.369,0.322,,,,,
8990,InVista,903,2.996,158+20,"29,049.98",GW9010,Weld,D40.04,40.17,40.04,D1030.65,"2,032.15","1,030.65",0.319,0.319,,,,,,,40.04,240,,,,,,,33.83953344,-118.27983042,17.3,,99.5,,,,,,0.311,"2,473",0.988,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.319,0.321,"29,049.98","15,819.87",3.993,3.992,3.813,0.322,,,,,
9000,InVista,904,2.989,157+80,"29,090.02",GW9020,Weld,U40.04,40.04,40.43,D990.61,"2,072.19",990.61,0.324,0.324,,,,,,,40.43,116,,,,,,,33.83964331,-118.27983712,17.2,,99.7,,,,,,0.315,"2,473",0.979,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.324,0.325,"29,090.02","15,779.86",3.988,3.988,2.978,0.322,,,,,
9010,InVista,905,2.981,157+39,"29,130.45",GW9030,Weld,D38.20,40.43,38.20,D950.18,"2,112.62",950.18,0.327,0.327,,,,,,,38.20,355,,,,,,,33.83975422,-118.27984383,17.4,,99.9,,,,,,0.315,"2,473",0.972,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.327,0.326,"29,130.45","15,739.46",3.988,3.988,3.510,0.322,,,,,
9020,InVista,906,2.974,157+01,"29,168.65",GW9040,Weld,U38.20,38.20,40.54,D911.98,"2,150.82",911.98,0.322,0.322,,,,,,,40.54,284,,,,,,,33.83985892,-118.27985018,17.6,,99.9,,,,,,0.315,"2,473",0.987,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.322,0.323,"29,168.65","15,701.28",3.993,3.993,3.495,0.322,,,,,
9030,InVista,907,2.966,156+61,"29,209.19",GW9050,Weld,D40.41,40.54,40.41,D871.44,"2,191.36",871.44,0.322,0.322,,,,,,,40.41,37,,,,,,,33.83997013,-118.27985691,17.8,,99.6,,,,,,0.315,"2,473",0.986,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.322,0.324,"29,209.19","15,660.76",3.99,3.989,3.225,0.322,,,,,
9040,InVista,908,2.958,156+20,"29,249.60",GW9060,Weld,D35.60,40.41,35.60,D831.03,"2,231.77",831.03,0.322,0.322,,,,,,,35.60,358,,,,,,,33.84008084,-118.27986345,16.4,,99.9,,,,,,0.316,"2,473",0.986,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.322,0.324,"29,249.60","15,620.38",3.997,3.996,3.165,0.322,,,,,
9050,InVista,909,2.952,155+85,"29,285.20",GW9070,Weld,U35.60,35.60,40.57,D795.43,"2,267.37",795.43,0.319,0.319,,,,,,,40.57,61,,,,,,,33.84017850,-118.27986921,15.2,,99.6,,,,,,0.313,"2,473",0.991,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.319,0.322,"29,285.20","15,584.81",3.992,3.992,3.452,0.322,,,,,
9060,InVista,910,2.944,155+44,"29,325.77",GW9080,Weld,D28.14,40.57,28.14,D754.86,"2,307.94",754.86,0.322,0.322,,,,,,,28.14,318,,,,,,,33.84028966,-118.27987577,13.8,,99.9,,,,,,0.316,"2,473",0.985,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.322,0.322,"29,325.77","15,544.26",3.99,3.990,2.821,0.322,,,,,
9070,InVista,911,2.939,155+16,"29,353.91",GW9090,Weld,U28.14,28.14,38.39,D726.72,"2,336.07",726.72,0.320,0.320,,,,,,,38.39,258,,,,,,,33.84036685,-118.27988033,12.8,,99.9,,,,,,0.310,"2,473",0.980,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.320,0.320,"29,353.91","15,516.15",3.999,4.000,3.512,0.322,,,,,
9080,InVista,912,2.931,154+78,"29,392.29",GW9100,Weld,U38.39,38.39,40.18,D688.33,"2,374.47",688.33,0.318,0.318,,,,,,,40.18,202,,,,,,,33.84047220,-118.27988680,13.1,,99.9,,,,,,0.303,"2,473",0.975,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.318,0.318,"29,392.29","15,477.78",3.992,3.992,3.287,0.322,,,,,
9090,InVista,913,2.924,154+38,"29,432.47",GW9110,Weld,D36.96,40.18,36.96,D648.16,"2,414.64",648.16,0.320,0.320,,,,,,,36.96,203,,,,,,,33.84058230,-118.27989359,13.5,Long Seam Axially Aligned Across Girth Weld,99.9,,,,,,0.310,"2,473",0.981,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.320,0.320,"29,432.47","15,437.63",3.991,3.991,3.389,0.322,,,,,
9100,InVista,914,2.917,154+01,"29,469.43",GW9120,Weld,U36.96,36.96,40.41,D611.20,"2,451.60",611.20,0.321,0.321,,,,,,,40.41,278,,,,,,,33.84068361,-118.27989982,13.8,,99.8,,,,,,0.312,"2,473",0.986,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.321,0.323,"29,469.43","15,400.70",3.99,3.990,3.492,0.322,,,,,
9110,InVista,915,2.909,153+60,"29,509.84",GW9130,Weld,U40.41,40.41,40.56,D570.79,"2,492.00",570.79,0.320,0.320,,,,,,,40.56,328,,,,,,,33.84079460,-118.27990665,14.1,,99.8,,,,,,0.313,"2,473",0.981,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.320,0.322,"29,509.84","15,360.32",3.991,3.990,2.768,0.322,,,,,
9120,InVista,916,2.901,153+20,"29,550.40",GW9140,Weld,D40.54,40.56,40.54,D530.23,"2,532.57",530.23,0.326,0.326,,,,,,,40.54,89,,,,,,,33.84090582,-118.27991350,14.5,,99.6,,,,,,0.312,"2,473",0.973,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.326,0.328,"29,550.40","15,319.78",3.985,3.985,3.682,0.322,,,,,
9130,InVista,917,2.894,152+79,"29,590.94",GW9150,Weld,D36.12,40.54,36.12,D489.69,"2,573.10",489.69,0.323,0.323,,,,,,,36.12,58,,,,,,,33.84101680,-118.27992033,14.8,,99.9,,,,,,0.316,"2,473",0.987,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.323,0.323,"29,590.94","15,279.27",3.987,3.986,3.582,0.322,,,,,
9140,InVista,918,2.887,152+43,"29,627.06",GW9160,Weld,U36.12,36.12,40.41,D453.57,"2,609.23",453.57,0.321,0.321,,,,,,,40.41,90,,,,,,,33.84111610,-118.27992645,15.2,,99.9,,,,,,0.313,"2,473",0.989,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.321,0.322,"29,627.06","15,243.17",3.992,3.991,3.437,0.322,,,,,
9150,InVista,919,2.879,152+03,"29,667.46",GW9170,Weld,D39.21,40.41,39.21,D413.17,"2,649.63",413.17,0.323,0.323,,,,,,,39.21,318,,,,,,,33.84122686,-118.27993327,15.5,,99.7,,,,,,0.315,"2,473",0.981,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.323,0.325,"29,667.46","15,202.79",3.987,3.986,2.841,0.322,,,,,
9160,InVista,920,2.872,151+64,"29,706.67",GW9180,Weld,U39.21,39.21,39.72,D373.96,"2,688.84",373.96,0.321,0.321,,,,,,,39.72,289,,,,,,,33.84133424,-118.27993988,15.9,,99.9,,,,,,0.287,"2,473",0.964,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.321,0.322,"29,706.67","15,163.61",3.988,3.988,2.772,0.322,,,,,
9170,InVista,921,2.864,151+24,"29,746.39",GW9190,Weld,D34.47,39.72,34.47,D334.24,"2,728.56",334.24,0.322,0.322,,,,,,,34.47,37,,,,,,,33.84144321,-118.27994659,16.2,,99.8,,,,,,0.304,"2,473",0.979,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.322,0.324,"29,746.39","15,123.92",3.988,3.987,2.832,0.322,,,,,
9180,InVista,922,2.858,150+89,"29,780.86",GW9200,Weld,U34.47,34.47,40.05,D299.77,"2,763.03",299.77,0.324,0.324,,,,,,,40.05,337,,,,,,,33.84153783,-118.27995246,15.9,,99.0,,,,,,0.316,"2,473",0.987,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.324,0.326,"29,780.86","15,089.47",3.985,3.984,2.770,0.322,,,,,
9190,InVista,923,2.850,150+49,"29,820.90",GW9210,Weld,D37.41,40.05,37.41,D259.73,"2,803.07",259.73,0.323,0.323,,,,,,,37.41,316,,,,,,,33.84164769,-118.27995929,15.6,,99.9,,,,,,0.314,"2,473",0.990,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.323,0.324,"29,820.90","15,049.45",3.986,3.986,2.806,0.322,,,,,
9200,InVista,924,2.843,150+12,"29,858.31",GW9220,Weld,U37.41,37.41,40.62,D222.32,"2,840.48",222.32,0.321,0.321,,,,,,,40.62,71,,,,,,,33.84175013,-118.27996565,15.3,,99.9,,,,,,0.312,"2,473",0.987,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.321,0.322,"29,858.31","15,012.07",3.991,3.990,3.504,0.322,,,,,
9210,InVista,925,2.836,149+71,"29,898.93",GW9230,Weld,D12.96,40.62,12.96,D181.70,"2,881.10",181.70,0.325,0.325,,,,,,,12.96,314,,,,,,,33.84186156,-118.27997257,15.0,,99.6,,,,,,0.311,"2,473",0.984,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.325,0.325,"29,898.93","14,971.47",3.985,3.984,3.511,0.322,,,,,
9220,InVista,926,2.833,149+59,"29,911.89",GW9240,Weld,U12.96,12.96,40.72,D168.74,"2,894.06",168.74,0.327,0.327,,,,,,,40.72,25,,,,,,,33.84189714,-118.27997478,14.9,,99.9,,,,,,0.317,"2,473",0.935,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.327,0.328,"29,911.89","14,958.53",3.986,3.988,3.570,0.322,,,,,
