Feature Number (sequential order),Pipeline Feature,INT/ EXT (ID/OD),Odometer,Station Number,Distance to U/S weld,Distance to D/S weld,Joint Length,Defect Joint Number,Upstream (U/S) Reference Name,UpStreamDistanceFrom,DownstreamName,DownstreamDistanceTo,Diameter,Nominal Wall Thickness,Measured Wall Thickness,Pipe Grade (SMYS),Long Seam Orientation,Metal Loss Depth,Metal Loss Depth,Deformation Depth,Deformation Depth,Crack Depth,Crack Depth,Length,Width,Orientation,MOP,Modified B31.G PBURST,Modified B31.G PSAFE,Design Pressure (72% SMYS),ERF_MOP_SAFE,RPR_PBURST_100_SMYS,Effective Area P Burst,Effective Area P Safe,Group Number,Group Category,NAD 83 Latitude,NAD 83 Longitude,NAVD 88,Comments,POF Classification,Excavation/ Repair Required,SPLC Notes,Tool Type/ Technology,Length/A (x),Width/A (y)
46,Weld,,572.62,148+44,39.98,40.05,40.05,260,Bakersfield Station (142+76),572.62,Block Valve #4.46 (232+30),8355.30,10.75,0.203,,52000, 11:12,,,,,,,,,,1402,,,,,,,,,,35.37600069,-119.08483184,112.127,GIRTH WELD,,,,MFL/CLP,,
47,Anomaly - Corrosion,EXT,572.77,148+44,0.15,39.90,40.05,260,Bakersfield Station (142+76),572.77,Block Valve #4.46 (232+30),8355.14,10.75,0.203,,52000, 11:12,17,0.03,,,,,0.5,0.5, 05:30,1402,2328,1676,1414,0.837,1.185,2324.6,1673.7,,,35.37600069,-119.08483234,112.128,EXT ML,Pitting,,,MFL/CLP,,
48,Weld,,612.67,148+84,40.05,36.69,36.69,270,Bakersfield Station (142+76),612.67,Block Valve #4.46 (232+30),8315.24,10.75,0.203,,52000, 01:44,,,,,,,,,,1402,,,,,,,,,,35.37600071,-119.08496605,112.398,GIRTH WELD,,,,MFL/CLP,,
49,Weld,,649.36,149+20,36.69,39.88,39.88,280,Bakersfield Station (142+76),649.36,Block Valve #4.46 (232+30),8278.56,10.75,0.203,,52000, 11:08,,,,,,,,,,1402,,,,,,,,,,35.37600055,-119.08508898,112.302,GIRTH WELD,,,,MFL/CLP,,
50,Weld,,689.24,149+60,39.88,7.48,7.48,290,Bakersfield Station (142+76),689.24,Block Valve #4.46 (232+30),8238.68,10.75,0.203,,52000, 02:44,,,,,,,,,,1402,,,,,,,,,,35.37600099,-119.08522263,112.011,GIRTH WELD,,,,MFL/CLP,,
51,Weld,,696.71,149+67,7.48,6.39,6.39,300,Bakersfield Station (142+76),696.71,Block Valve #4.46 (232+30),8231.20,10.75,0.203,,52000, 12:08,,,,,,,,,,1402,,,,,,,,,,35.37600108,-119.08524769,111.960,GIRTH WELD,,,,MFL/CLP,,
52,Weld,,703.10,149+73,6.39,26.10,26.10,310,Bakersfield Station (142+76),703.10,Block Valve #4.46 (232+30),8224.82,10.75,0.203,,52000, 10:08,,,,,,,,,,1402,,,,,,,,,,35.37600124,-119.08526907,111.917,GIRTH WELD,,,,MFL/CLP,,
53,Weld,,729.20,149+99,26.10,40.11,40.11,320,Bakersfield Station (142+76),729.20,Block Valve #4.46 (232+30),8198.72,10.75,0.203,,52000, 02:00,,,,,,,,,,1402,,,,,,,,,,35.37600194,-119.08535654,111.923,GIRTH WELD,,,,MFL/CLP,,
54,Weld,,769.31,150+39,40.11,40.00,40.00,330,Bakersfield Station (142+76),769.31,Block Valve #4.46 (232+30),8158.61,10.75,0.203,,52000, 09:56,,,,,,,,,,1402,,,,,,,,,,35.37600270,-119.08549096,111.750,GIRTH WELD,,,,MFL/CLP,,
55,Weld,,809.31,150+79,40.00,40.03,40.03,340,Bakersfield Station (142+76),809.31,Block Valve #4.46 (232+30),8118.60,10.75,0.203,,52000, 12:56,,,,,,,,,,1402,,,,,,,,,,35.37600208,-119.08562502,111.494,GIRTH WELD,,,,MFL/CLP,,
