Feature Number (sequential order),Pipeline Feature,INT/ EXT (ID/OD),Odometer,Station Number,Distance to U/S weld,Distance to D/S weld,Joint Length,Defect Joint Number,Upstream (U/S) Reference Name,UpStreamDistanceFrom,DownstreamName,DownstreamDistanceTo,Diameter,Nominal Wall Thickness,Measured Wall Thickness,Pipe Grade (SMYS),Long Seam Orientation,Metal Loss Depth,Metal Loss Depth,Deformation Depth,Deformation Depth,Crack Depth,Crack Depth,Length,Width,Orientation,MOP,Modified B31.G PBURST,Modified B31.G PSAFE,Design Pressure (72% SMYS),ERF_MOP_SAFE,RPR_PBURST_100_SMYS,Effective Area P Burst,Effective Area P Safe,Group Number,Group Category,NAD 83 Latitude,NAD 83 Longitude,NAVD 88,Comments,POF Classification,Excavation/ Repair Required,SPLC Notes,Tool Type/ Technology,Length/A (x),Width/A (y)
2494,Anomaly - Corrosion,EXT,50573.74,651+95,7.32,32.70,40.02,14490,Block Valve #13 (625+92),2656.90,Block Valve #17.6 (932+02),27898.89,10.75,0.203,,52000,,15,0.03,,,,,0.2,0.2, 03:09,1402,2339,1684,1414,0.833,1.191,2338.3,1683.6,,,35.25651042,-119.07448616,103.895,EXT ML,Pinhole,,,MFL/CLP,,
2495,Anomaly - Corrosion,EXT,50577.37,651+99,10.95,29.08,40.02,14490,Block Valve #13 (625+92),2660.52,Block Valve #17.6 (932+02),27895.26,10.75,0.203,,52000,,18,0.04,,,,,0.2,0.2, 07:55,1402,2339,1684,1414,0.833,1.191,2338.7,1683.9,,,35.25650039,-119.07448622,103.910,EXT ML,Pinhole,,,MFL/CLP,,
2496,Anomaly - Corrosion,EXT,50577.84,651+99,11.42,28.61,40.02,14490,Block Valve #13 (625+92),2660.99,Block Valve #17.6 (932+02),27894.79,10.75,0.203,,52000,,17,0.03,,,,,0.2,0.2, 07:39,1402,2339,1684,1414,0.832,1.191,2338.9,1684.0,,,35.25649908,-119.07448622,103.914,EXT ML,Pinhole,,,MFL/CLP,,
2497,Anomaly - Corrosion,EXT,50578.35,652+00,11.92,28.10,40.02,14490,Block Valve #13 (625+92),2661.50,Block Valve #17.6 (932+02),27894.28,10.75,0.203,,52000,,15,0.03,,,,,0.3,0.2, 08:07,1402,2337,1683,1414,0.833,1.190,2335.8,1681.8,,,35.25649769,-119.07448623,103.915,EXT ML,Pinhole,,,MFL/CLP,,
2498,Anomaly - Corrosion,EXT,50578.54,652+00,12.12,27.90,40.02,14490,Block Valve #13 (625+92),2661.70,Block Valve #17.6 (932+02),27894.09,10.75,0.203,,52000,,22,0.04,,,,,0.2,0.2, 07:54,1402,2339,1684,1414,0.833,1.191,2337.9,1683.3,,,35.25649714,-119.07448623,103.915,EXT ML,Pinhole,,,MFL/CLP,,
2499,Anomaly - Corrosion,EXT,50589.51,652+11,23.08,16.94,40.02,14490,Block Valve #13 (625+92),2672.66,Block Valve #17.6 (932+02),27883.12,10.75,0.203,,52000,,15,0.03,,,,,0.2,0.2, 03:40,1402,2340,1685,1414,0.832,1.191,2339.3,1684.3,,,35.25646684,-119.07448631,103.986,EXT ML,Pinhole,,,MFL/CLP,,
2500,Anomaly - Corrosion,EXT,50592.21,652+14,25.78,14.24,40.02,14490,Block Valve #13 (625+92),2675.36,Block Valve #17.6 (932+02),27880.42,10.75,0.203,,52000,,16,0.03,,,,,0.4,0.2, 06:44,1402,2334,1680,1414,0.835,1.188,2332.0,1679.0,,,35.25645939,-119.07448631,104.006,EXT ML,Axial Slotting,,,MFL/CLP,,
2501,Anomaly - Corrosion,EXT,50600.83,652+22,34.41,5.61,40.02,14490,Block Valve #13 (625+92),2683.99,Block Valve #17.6 (932+02),27871.80,10.75,0.203,,52000,,18,0.04,,,,,0.2,0.2, 06:10,1402,2339,1684,1414,0.833,1.191,2338.7,1683.9,,,35.25643555,-119.07448635,104.058,EXT ML,Pinhole,,,MFL/CLP,,
2502,Anomaly - Corrosion,EXT,50603.07,652+25,36.65,3.37,40.02,14490,Block Valve #13 (625+92),2686.23,Block Valve #17.6 (932+02),27869.56,10.75,0.203,,52000,,21,0.04,,,,,0.4,0.4, 03:48,1402,2328,1677,1414,0.836,1.186,2325.6,1674.4,,,35.25642936,-119.07448637,104.067,EXT ML,Axial Slotting,,,MFL/CLP,,
2503,Anomaly - Corrosion,EXT,50603.58,652+25,37.15,2.87,40.02,14490,Block Valve #13 (625+92),2686.73,Block Valve #17.6 (932+02),27869.06,10.75,0.203,,52000,,20,0.04,,,,,0.2,0.2, 03:54,1402,2338,1683,1414,0.833,1.190,2337.0,1682.6,,,35.25642795,-119.07448637,104.071,EXT ML,Pinhole,,,MFL/CLP,,
2504,Anomaly - Corrosion Cluster,EXT,50603.67,652+25,37.24,2.78,40.02,14490,Block Valve #13 (625+92),2686.82,Block Valve #17.6 (932+02),27868.97,10.75,0.203,,52000,,15,0.03,,,,,2.3,0.8, 05:36,1402,2223,1601,1414,0.876,1.132,2288.3,1647.6,,,35.25642773,-119.07448637,104.071,EXT ML,Axial Grooving,,,MFL/CLP,,
2505,Repair - Welded Sleeve Begin,,50605.33,652+27,38.90,40.02,40.02,14490,Block Valve #13 (625+92),2688.48,Block Valve #17.6 (932+02),27867.30,10.75,0.203,,52000,,,,,,,,,,,1402,,,,,,,,,,35.25642312,-119.07448639,104.080,REPAIR-SHELL START,,,,MFL/CLP,,
2506,Weld,,50606.45,652+28,40.02,38.01,38.01,14500,Block Valve #13 (625+92),2689.60,Block Valve #17.6 (932+02),27866.18,10.75,0.203,,52000, 01:24,,,,,,,,,,1402,,,,,,,,,,35.25642004,-119.07448641,104.088,GIRTH WELD,,,,MFL/CLP,,
2507,Repair - Welded Sleeve End,,50607.41,652+29,0.96,38.01,38.01,14500,Block Valve #13 (625+92),2690.56,Block Valve #17.6 (932+02),27865.23,10.75,0.203,,52000, 01:24,,,,,,,,,,1402,,,,,,,,,,35.25641739,-119.07448643,104.096,REPAIR-SHELL END,,,,MFL/CLP,,
