J. no.,J. len [ft],t [in],to u/s w. [ft],to d/s w. [ft],o'clock,Log Distance,Severity Rule,event,depth [%],OD Reduction,length [in],width [in],internal,ERF - 0.85dl,RPR - 0.85dl,SMYS [psi],Comment,Latitude ,Longitude 
610,44.48,0.219,,,,1929.62,,Girth Weld,,,,,,,,52000,,47.73113417,-103.28380301
620,44.54,0.219,,,,1974.10,,Girth Weld,,,,,,,,52000,,47.73101096,-103.28380280
630,44.64,0.219,,,,2018.64,,Girth Weld,,,,,,,,52000,,47.73088761,-103.28380354
640,44.65,0.219,,,,2063.28,,Girth Weld,,,,,,,,52000,,47.73076410,-103.28380538
650,44.57,0.219,,,,2107.92,,Girth Weld,,,,,,,,52000,,47.73064046,-103.28380557
660,44.56,0.219,,,,2152.49,,Girth Weld,,,,,,,,52000,,47.73051733,-103.28380401
670,44.6,0.219,,,,2197.05,,Girth Weld,,,,,,,,52000,,47.73039395,-103.28380154
680,44.57,0.219,,,,2241.66,,Girth Weld,,,,,,,,52000,,47.73027033,-103.28380017
690,44.62,0.219,,,,2286.23,,Girth Weld,,,,,,,,52000,,47.73014686,-103.28379761
700,44.44,0.219,,,,2330.86,,Girth Weld,,,,,,,,52000,,47.73002329,-103.28379832
710,44.5,0.219,,,,2375.30,,Girth Weld,,,,,,,,52000,,47.72990034,-103.28379991
720,44.55,0.219,,,,2419.80,,Girth Weld,,,,,,,,52000,,47.72977710,-103.28380112
730,44.62,0.219,,,,2464.35,,Girth Weld,,,,,,,,52000,,47.72965373,-103.28380576
740,44.47,0.219,,,,2508.98,,Girth Weld,,,,,,,,52000,,47.72953033,-103.28381268
750,44.62,0.219,,,,2553.45,,Girth Weld,,,,,,,,52000,,47.72940737,-103.28382059
760,44.56,0.219,,,,2598.07,,Girth Weld,,,,,,,,52000,,47.72928408,-103.28382957
770,44.54,0.219,,,,2642.63,,Girth Weld,,,,,,,,52000,,47.72916087,-103.28383935
780,44.42,0.219,,,,2687.17,,Girth Weld,,,,,,,,52000,,47.72903791,-103.28384895
790,44.55,0.219,,,,2731.59,,Girth Weld,,,,,,,,52000,,47.72891509,-103.28385757
800,44.65,0.219,,,,2776.14,,Girth Weld,,,,,,,,52000,,47.72879194,-103.28386751
800,44.65,,,,,2801.03,,AGM,,,,,,,,,AGM 10,47.72872328,-103.28387510
810,31.19,0.219,,,,2820.79,,Girth Weld,,,,,,,,52000,,47.72866826,-103.28387941
820,2.64,0.322,,,,2851.99,,Girth Weld,,,,,,,,52000,,47.72858134,-103.28389127
820,2.64,,,,,2853.27,,Bend,,,,,,,,,3.0D -  80 deg - Right,47.72857833,-103.28389397
830,13.22,0.322,,,,2854.63,,Girth Weld,,,,,,,,52000,,47.72857697,-103.28389914
840,37.33,0.219,,,,2867.85,,Girth Weld,,,,,,,,52000,,47.72857456,-103.28395397
850,44.61,0.219,,,,2905.18,,Girth Weld,,,,,,,,52000,,47.72856860,-103.28410881
860,44.61,0.219,,,,2949.79,,Girth Weld,,,,,,,,52000,,47.72856029,-103.28429369
870,44.54,0.219,,,,2994.39,,Girth Weld,,,,,,,,52000,,47.72855139,-103.28447842
880,44.63,0.219,,,,3038.93,,Girth Weld,,,,,,,,52000,,47.72854259,-103.28466290
890,44.62,0.219,,,,3083.56,,Girth Weld,,,,,,,,52000,,47.72853320,-103.28484782
900,44.65,0.219,,,,3128.18,,Girth Weld,,,,,,,,52000,,47.72852405,-103.28503273
910,44.6,0.219,,,,3172.83,,Girth Weld,,,,,,,,52000,,47.72851621,-103.28521794
920,44.52,0.219,,,,3217.43,,Girth Weld,,,,,,,,52000,,47.72850925,-103.28540292
930,44.53,0.219,,,,3261.95,,Girth Weld,,,,,,,,52000,,47.72850288,-103.28558753
940,44.62,0.219,,,,3306.48,,Girth Weld,,,,,,,,52000,,47.72849565,-103.28577211
950,44.62,0.219,,,,3351.10,,Girth Weld,,,,,,,,52000,,47.72848820,-103.28595723
960,44.5,0.219,,,,3395.72,,Girth Weld,,,,,,,,52000,,47.72848105,-103.28614232
970,44.46,0.219,,,,3440.22,,Girth Weld,,,,,,,,52000,,47.72847298,-103.28632676
980,44.64,0.219,,,,3484.69,,Girth Weld,,,,,,,,52000,,47.72846532,-103.28651109
990,44.48,0.219,,,,3529.33,,Girth Weld,,,,,,,,52000,,47.72845768,-103.28669620
1000,44.64,0.219,,,,3573.81,,Girth Weld,,,,,,,,52000,,47.72845167,-103.28688076
1010,44.51,0.219,,,,3618.45,,Girth Weld,,,,,,,,52000,,47.72844572,-103.28706570
1020,44.46,0.219,,,,3662.96,,Girth Weld,,,,,,,,52000,,47.72844106,-103.28724975
1030,44.42,0.219,,,,3707.43,,Girth Weld,,,,,,,,52000,,47.72843761,-103.28743402
1040,44.38,0.219,,,,3751.85,,Girth Weld,,,,,,,,52000,,47.72843553,-103.28761832
1050,44.53,0.219,,,,3796.23,,Girth Weld,,,,,,,,52000,,47.72843233,-103.28780231
1060,44.6,0.219,,,,3840.76,,Girth Weld,,,,,,,,52000,,47.72842903,-103.28798723
1070,44.56,0.219,,,,3885.36,,Girth Weld,,,,,,,,52000,,47.72842542,-103.28817248
1080,44.51,0.219,,,,3929.92,,Girth Weld,,,,,,,,52000,,47.72842233,-103.28835759
1090,44.66,0.219,,,,3974.43,,Girth Weld,,,,,,,,52000,,47.72841987,-103.28854253
1100,44.66,0.219,,,,4019.09,,Girth Weld,,,,,,,,52000,,47.72841741,-103.28872794
1110,44.59,0.219,,,,4063.76,,Girth Weld,,,,,,,,52000,,47.72841515,-103.28891349
1120,44.51,0.219,,,,4108.35,,Girth Weld,,,,,,,,52000,,47.72841242,-103.28909878
1130,44.52,0.219,,,,4152.86,,Girth Weld,,,,,,,,52000,,47.72841014,-103.28928371
1140,44.65,0.219,,,,4197.38,,Girth Weld,,,,,,,,52000,,47.72840878,-103.28946862
1150,44.6,0.219,,,,4242.04,,Girth Weld,,,,,,,,52000,,47.72840754,-103.28965414
1160,44.51,0.219,,,,4286.64,,Girth Weld,,,,,,,,52000,,47.72840637,-103.28983950
1170,44.57,0.219,,,,4331.14,,Girth Weld,,,,,,,,52000,,47.72840478,-103.29002446
1180,44.58,0.219,,,,4375.72,,Girth Weld,,,,,,,,52000,,47.72840372,-103.29020971
1190,44.59,0.219,,,,4420.30,,Girth Weld,,,,,,,,52000,,47.72840336,-103.29039496
1200,44.61,0.219,,,,4464.89,,Girth Weld,,,,,,,,52000,,47.72840314,-103.29058014
1210,44.58,0.219,,,,4509.51,,Girth Weld,,,,,,,,52000,,47.72840207,-103.29076546
1220,44.53,0.219,,,,4554.09,,Girth Weld,,,,,,,,52000,,47.72840191,-103.29095061
1230,44.53,0.219,,,,4598.62,,Girth Weld,,,,,,,,52000,,47.72840134,-103.29113529
1240,44.64,0.219,,,,4643.15,,Girth Weld,,,,,,,,52000,,47.72839966,-103.29132027
1250,44.62,0.219,,,,4687.79,,Girth Weld,,,,,,,,52000,,47.72839785,-103.29150578
1260,44.61,0.219,,,,4732.41,,Girth Weld,,,,,,,,52000,,47.72838678,-103.29168972
1270,44.57,0.219,,,,4777.02,,Girth Weld,,,,,,,,52000,,47.72835242,-103.29186712
1280,44.64,0.219,,,,4821.59,,Girth Weld,,,,,,,,52000,,47.72831794,-103.29204315
1290,44.69,0.219,,,,4866.23,,Girth Weld,,,,,,,,52000,,47.72828429,-103.29222023
1300,44.65,0.219,,,,4910.92,,Girth Weld,,,,,,,,52000,,47.72825152,-103.29239844
1310,44.63,0.219,,,,4955.57,,Girth Weld,,,,,,,,52000,,47.72821872,-103.29257704
1320,44.7,0.219,,,,5000.20,,Girth Weld,,,,,,,,52000,,47.72818614,-103.29275598
1330,44.64,0.219,,,,5044.90,,Girth Weld,,,,,,,,52000,,47.72815008,-103.29293359
1340,31.82,0.219,,,,5089.54,,Girth Weld,,,,,,,,52000,,47.72808676,-103.29309325
1350,44.6,0.219,,,,5121.36,,Girth Weld,,,,,,,,52000,,47.72803293,-103.29319812
1360,44.42,0.219,,,,5165.96,,Girth Weld,,,,,,,,52000,,47.72794124,-103.29332410
1370,44.56,0.322,,,,5210.39,,Girth Weld,,,,,,,,52000,,47.72785176,-103.29345160
1380,44.78,0.322,,,,5254.95,,Girth Weld,,,,,,,,52000,,47.72776488,-103.29358158
1390,43.32,0.322,,,,5299.73,,Girth Weld,,,,,,,,52000,,47.72767786,-103.29371292
1400,44.81,0.322,,,,5343.05,,Girth Weld,,,,,,,,52000,,47.72759472,-103.29384347
1410,44.68,0.322,,,,5387.86,,Girth Weld,,,,,,,,52000,,47.72750670,-103.29397633
1420,44.66,0.322,,,,5432.54,,Girth Weld,,,,,,,,52000,,47.72741618,-103.29410149
1430,44.73,0.322,,,,5477.20,,Girth Weld,,,,,,,,52000,,47.72732847,-103.29422817
1440,44.35,0.322,,,,5521.93,,Girth Weld,,,,,,,,52000,,47.72724049,-103.29435913
1450,42.79,0.219,,,,5566.28,,Girth Weld,,,,,,,,52000,,47.72717805,-103.29451611
1460,44.71,0.219,,,,5609.07,,Girth Weld,,,,,,,,52000,,47.72716084,-103.29469042
1470,44.68,0.219,,,,5653.78,,Girth Weld,,,,,,,,52000,,47.72718020,-103.29487249
1480,44.69,0.219,,,,5698.45,,Girth Weld,,,,,,,,52000,,47.72721897,-103.29504889
1490,44.65,0.219,,,,5743.14,,Girth Weld,,,,,,,,52000,,47.72726543,-103.29522132
1500,44.61,0.219,,,,5787.79,,Girth Weld,,,,,,,,52000,,47.72731053,-103.29539440
1510,44.67,0.219,,,,5832.40,,Girth Weld,,,,,,,,52000,,47.72735485,-103.29556777
1520,44.69,0.219,,,,5877.07,,Girth Weld,,,,,,,,52000,,47.72740119,-103.29574020
1530,44.72,0.219,,,,5921.76,,Girth Weld,,,,,,,,52000,,47.72744885,-103.29591197
1540,44.59,0.219,,,,5966.48,,Girth Weld,,,,,,,,52000,,47.72749600,-103.29608419
1550,44.7,0.219,,,,6011.07,,Girth Weld,,,,,,,,52000,,47.72754335,-103.29625572
1560,44.74,0.219,,,,6055.78,,Girth Weld,,,,,,,,52000,,47.72759120,-103.29642744
1570,44.65,0.219,,,,6100.51,,Girth Weld,,,,,,,,52000,,47.72763871,-103.29659951
1580,44.73,0.219,,,,6145.16,,Girth Weld,,,,,,,,52000,,47.72768551,-103.29677162
1590,44.65,0.219,,,,6189.89,,Girth Weld,,,,,,,,52000,,47.72773151,-103.29694456
1600,44.64,0.219,,,,6234.54,,Girth Weld,,,,,,,,52000,,47.72777747,-103.29711716
1610,44.73,0.219,,,,6279.18,,Girth Weld,,,,,,,,52000,,47.72782390,-103.29728939
1620,44.72,0.219,,,,6323.91,,Girth Weld,,,,,,,,52000,,47.72787100,-103.29746167
1630,44.66,0.219,,,,6368.63,,Girth Weld,,,,,,,,52000,,47.72791898,-103.29763337
1640,44.72,0.219,,,,6413.29,,Girth Weld,,,,,,,,52000,,47.72796781,-103.29780424
1650,44.68,0.219,,,,6458.01,,Girth Weld,,,,,,,,52000,,47.72801665,-103.29797541
1660,44.59,0.219,,,,6502.69,,Girth Weld,,,,,,,,52000,,47.72806491,-103.29814676
1670,44.58,0.219,,,,6547.28,,Girth Weld,,,,,,,,52000,,47.72811205,-103.29831840
1680,44.66,0.219,,,,6591.86,,Girth Weld,,,,,,,,52000,,47.72815907,-103.29849004
1690,44.65,0.219,,,,6636.52,,Girth Weld,,,,,,,,52000,,47.72820794,-103.29866094
1700,44.69,0.219,,,,6681.17,,Girth Weld,,,,,,,,52000,,47.72824617,-103.29883742
1710,44.72,0.219,,,,6725.87,,Girth Weld,,,,,,,,52000,,47.72827875,-103.29901679
1720,44.71,0.219,,,,6770.58,,Girth Weld,,,,,,,,52000,,47.72830964,-103.29919692
