J. no.,J. len [ft],t [in],to u/s w. [ft],to d/s w. [ft],o'clock,Log Distance,Severity Rule,event,depth [%],OD Reduction,length [in],width [in],internal,ERF - 0.85dl,RPR - 0.85dl,SMYS [psi],Comment,Latitude ,Longitude 
19900,44.64,0.219,,,,82393.38,,Girth Weld,,,,,,,,52000,,47.88419218,-103.40594255
19910,44.58,0.219,,,,82438.02,,Girth Weld,,,,,,,,52000,,47.88420988,-103.40612268
19920,44.45,0.219,,,,82482.59,,Girth Weld,,,,,,,,52000,,47.88422827,-103.40630166
19930,44.49,0.219,,,,82527.04,,Girth Weld,,,,,,,,52000,,47.88424629,-103.40648034
19940,44.22,0.219,,,,82571.53,,Girth Weld,,,,,,,,52000,,47.88426144,-103.40666173
19950,44.53,0.219,,,,82615.74,,Girth Weld,,,,,,,,52000,,47.88427034,-103.40684230
19960,44.48,0.219,,,,82660.27,,Girth Weld,,,,,,,,52000,,47.88426560,-103.40702418
19970,44.51,0.219,,,,82704.76,,Girth Weld,,,,,,,,52000,,47.88425930,-103.40720502
19980,44.5,0.219,,,,82749.26,,Girth Weld,,,,,,,,52000,,47.88425203,-103.40738644
19990,44.47,0.219,,,,82793.76,,Girth Weld,,,,,,,,52000,,47.88424413,-103.40756814
20000,44.45,0.219,,,,82838.23,,Girth Weld,,,,,,,,52000,,47.88423772,-103.40774984
20010,38.97,0.219,,,,82882.68,,Girth Weld,,,,,,,,52000,,47.88423248,-103.40793152
20020,44.94,0.322,,,,82921.65,,Girth Weld,,,,,,,,52000,,47.88422888,-103.40809131
20030,44.92,0.322,,,,82966.58,,Girth Weld,,,,,,,,52000,,47.88422284,-103.40827534
20040,44.81,0.322,,,,83011.51,,Girth Weld,,,,,,,,52000,,47.88421535,-103.40845927
20050,42.49,0.322,,,,83056.31,,Girth Weld,,,,,,,,52000,,47.88420666,-103.40864294
20060,44.38,0.219,,,,83098.80,,Girth Weld,,,,,,,,52000,,47.88419968,-103.40881724
20070,44.59,0.219,,,,83143.18,,Girth Weld,,,,,,,,52000,,47.88419640,-103.40899956
20080,44.57,0.219,,,,83187.77,,Girth Weld,,,,,,,,52000,,47.88419745,-103.40918272
20090,44.16,0.219,,,,83232.34,,Girth Weld,,,,,,,,52000,,47.88419994,-103.40936512
20100,44.02,0.219,,,,83276.50,,Girth Weld,,,,,,,,52000,,47.88420020,-103.40954546
20110,44.19,0.219,,,,83320.51,,Girth Weld,,,,,,,,52000,,47.88420034,-103.40972549
20120,44.77,0.219,,,,83364.71,,Girth Weld,,,,,,,,52000,,47.88420092,-103.40990709
20130,44.3,0.219,,,,83409.47,,Girth Weld,,,,,,,,52000,,47.88420155,-103.41009106
20140,44.45,0.219,,,,83453.77,,Girth Weld,,,,,,,,52000,,47.88420228,-103.41027301
20150,44.46,0.219,,,,83498.22,,Girth Weld,,,,,,,,52000,,47.88420364,-103.41045546
20160,44.5,0.219,,,,83542.68,,Girth Weld,,,,,,,,52000,,47.88420470,-103.41063811
20170,44.4,0.219,,,,83587.17,,Girth Weld,,,,,,,,52000,,47.88420495,-103.41082093
20180,43.87,0.219,,,,83631.57,,Girth Weld,,,,,,,,52000,,47.88420466,-103.41100328
20190,44.55,0.219,,,,83675.44,,Girth Weld,,,,,,,,52000,,47.88420547,-103.41118345
20200,44.48,0.219,,,,83719.99,,Girth Weld,,,,,,,,52000,,47.88420632,-103.41136650
20210,44.38,0.219,,,,83764.47,,Girth Weld,,,,,,,,52000,,47.88420700,-103.41154932
20220,44.58,0.219,,,,83808.85,,Girth Weld,,,,,,,,52000,,47.88420839,-103.41173159
20230,44.36,0.219,,,,83853.43,,Girth Weld,,,,,,,,52000,,47.88420952,-103.41191443
20240,44.24,0.219,,,,83897.79,,Girth Weld,,,,,,,,52000,,47.88420977,-103.41209639
20250,44.45,0.219,,,,83942.03,,Girth Weld,,,,,,,,52000,,47.88421023,-103.41227810
20260,44.56,0.219,,,,83986.48,,Girth Weld,,,,,,,,52000,,47.88421044,-103.41246074
20270,44.31,0.219,,,,84031.04,,Girth Weld,,,,,,,,52000,,47.88421048,-103.41264387
20280,43.83,0.219,,,,84075.34,,Girth Weld,,,,,,,,52000,,47.88421040,-103.41282598
20290,44.26,0.219,,,,84119.17,,Girth Weld,,,,,,,,52000,,47.88421106,-103.41300612
20300,43.8,0.219,,,,84163.43,,Girth Weld,,,,,,,,52000,,47.88421155,-103.41318802
20310,44.73,0.219,,,,84207.23,,Girth Weld,,,,,,,,52000,,47.88421216,-103.41336804
20320,44.75,0.219,,,,84251.96,,Girth Weld,,,,,,,,52000,,47.88421241,-103.41355189
20330,44.73,0.219,,,,84296.71,,Girth Weld,,,,,,,,52000,,47.88421315,-103.41373580
20340,39.46,0.219,,,,84341.44,,Girth Weld,,,,,,,,52000,,47.88421418,-103.41391962
20340,39.46,,,,,84363.04,,Attachment,,,,,,,,,,47.88421414,-103.41400832
20340,39.46,,,,03:00,84363.53,,Tap,,,,,,,,,,47.88421414,-103.41401036
20340,39.46,,,,,84363.97,,Attachment,,,,,,,,,,47.88421414,-103.41401214
20350,4.83,0.219,,,,84380.89,,Girth Weld,,,,,,,,52000,,47.88421444,-103.41408171
20360,44.34,0.219,,,,84385.73,,Girth Weld,,,,,,,,52000,,47.88421460,-103.41410156
20370,43.93,0.219,,,,84430.07,,Girth Weld,,,,,,,,52000,,47.88421561,-103.41428339
20380,44.29,0.219,,,,84474.00,,Girth Weld,,,,,,,,52000,,47.88421488,-103.41446347
20390,44.59,0.219,,,,84518.29,,Girth Weld,,,,,,,,52000,,47.88421420,-103.41464529
20400,44.23,0.219,,,,84562.88,,Girth Weld,,,,,,,,52000,,47.88421458,-103.41482854
20410,44.32,0.219,,,,84607.11,,Girth Weld,,,,,,,,52000,,47.88421535,-103.41501029
20420,44.09,0.219,,,,84651.43,,Girth Weld,,,,,,,,52000,,47.88421618,-103.41519243
20430,44.36,0.219,,,,84695.52,,Girth Weld,,,,,,,,52000,,47.88421642,-103.41537365
20440,44.41,0.219,,,,84739.88,,Girth Weld,,,,,,,,52000,,47.88421593,-103.41555593
20450,44.31,0.219,,,,84784.29,,Girth Weld,,,,,,,,52000,,47.88421603,-103.41573843
20460,44.18,0.219,,,,84828.60,,Girth Weld,,,,,,,,52000,,47.88421650,-103.41592048
20470,44.28,0.219,,,,84872.77,,Girth Weld,,,,,,,,52000,,47.88421699,-103.41610188
20480,44.21,0.219,,,,84917.05,,Girth Weld,,,,,,,,52000,,47.88421750,-103.41628380
20490,44.14,0.219,,,,84961.26,,Girth Weld,,,,,,,,52000,,47.88421810,-103.41646545
20500,44.12,0.219,,,,85005.40,,Girth Weld,,,,,,,,52000,,47.88421858,-103.41664679
20510,44.16,0.219,,,,85049.52,,Girth Weld,,,,,,,,52000,,47.88421895,-103.41682810
20520,43.54,0.219,,,,85093.67,,Girth Weld,,,,,,,,52000,,47.88421924,-103.41700959
20530,42.43,0.219,,,,85137.22,,Girth Weld,,,,,,,,52000,,47.88421957,-103.41718847
20540,44.49,0.219,,,,85179.65,,Girth Weld,,,,,,,,52000,,47.88421806,-103.41736271
20540,44.49,,,,,85181.26,,AGM,,,,,,,,,AGM 190,47.88421796,-103.41736932
20550,44.34,0.219,,,,85224.15,,Girth Weld,,,,,,,,52000,,47.88419922,-103.41754223
20560,44.4,0.219,,,,85268.48,,Girth Weld,,,,,,,,52000,,47.88416783,-103.41771711
20570,44.5,0.219,,,,85312.88,,Girth Weld,,,,,,,,52000,,47.88413553,-103.41789121
20580,44.35,0.219,,,,85357.38,,Girth Weld,,,,,,,,52000,,47.88410405,-103.41806587
20590,44.42,0.219,,,,85401.73,,Girth Weld,,,,,,,,52000,,47.88407210,-103.41823911
20600,44.28,0.219,,,,85446.15,,Girth Weld,,,,,,,,52000,,47.88403684,-103.41841176
20610,44.02,0.219,,,,85490.43,,Girth Weld,,,,,,,,52000,,47.88397058,-103.41856301
20620,44.14,0.219,,,,85534.46,,Girth Weld,,,,,,,,52000,,47.88390114,-103.41870931
20630,44.34,0.219,,,,85578.60,,Girth Weld,,,,,,,,52000,,47.88383078,-103.41885447
20640,44.29,0.219,,,,85622.94,,Girth Weld,,,,,,,,52000,,47.88376030,-103.41899910
20650,44.3,0.219,,,,85667.23,,Girth Weld,,,,,,,,52000,,47.88368841,-103.41914588
20660,44.13,0.219,,,,85711.53,,Girth Weld,,,,,,,,52000,,47.88361639,-103.41929273
20670,44.14,0.219,,,,85755.65,,Girth Weld,,,,,,,,52000,,47.88354541,-103.41943994
20680,44.05,0.219,,,,85799.79,,Girth Weld,,,,,,,,52000,,47.88347472,-103.41958731
20690,44.29,0.219,,,,85843.85,,Girth Weld,,,,,,,,52000,,47.88340438,-103.41973475
20700,44.53,0.219,,,,85888.13,,Girth Weld,,,,,,,,52000,,47.88333381,-103.41988344
20710,44.43,0.219,,,,85932.66,,Girth Weld,,,,,,,,52000,,47.88326269,-103.42003263
20720,44.3,0.219,,,,85977.09,,Girth Weld,,,,,,,,52000,,47.88319199,-103.42018141
20730,44.28,0.219,,,,86021.39,,Girth Weld,,,,,,,,52000,,47.88312157,-103.42032997
20740,44.44,0.219,,,,86065.67,,Girth Weld,,,,,,,,52000,,47.88305089,-103.42047829
20750,44.36,0.219,,,,86110.11,,Girth Weld,,,,,,,,52000,,47.88297931,-103.42062659
20760,44.35,0.219,,,,86154.47,,Girth Weld,,,,,,,,52000,,47.88290801,-103.42077475
20770,44.22,0.219,,,,86198.82,,Girth Weld,,,,,,,,52000,,47.88283678,-103.42092253
20780,44.25,0.219,,,,86243.04,,Girth Weld,,,,,,,,52000,,47.88276626,-103.42107004
20790,44.39,0.219,,,,86287.29,,Girth Weld,,,,,,,,52000,,47.88269626,-103.42121764
20800,44.41,0.219,,,,86331.68,,Girth Weld,,,,,,,,52000,,47.88262554,-103.42136612
20810,44.27,0.219,,,,86376.09,,Girth Weld,,,,,,,,52000,,47.88255463,-103.42151461
20820,44.06,0.219,,,,86420.36,,Girth Weld,,,,,,,,52000,,47.88248436,-103.42166285
20830,44.12,0.219,,,,86464.42,,Girth Weld,,,,,,,,52000,,47.88241432,-103.42180987
20840,44.18,0.219,,,,86508.54,,Girth Weld,,,,,,,,52000,,47.88234440,-103.42195727
20850,44.28,0.219,,,,86552.72,,Girth Weld,,,,,,,,52000,,47.88227400,-103.42210487
20860,44.22,0.219,,,,86597.00,,Girth Weld,,,,,,,,52000,,47.88220313,-103.42225252
20870,44.28,0.219,,,,86641.22,,Girth Weld,,,,,,,,52000,,47.88213215,-103.42239987
20880,44.08,0.219,,,,86685.50,,Girth Weld,,,,,,,,52000,,47.88206431,-103.42255084
20890,43.83,0.219,,,,86729.58,,Girth Weld,,,,,,,,52000,,47.88200899,-103.42271171
20900,44.08,0.219,,,,86773.40,,Girth Weld,,,,,,,,52000,,47.88195575,-103.42287302
20910,9.79,0.219,,,,86817.48,,Girth Weld,,,,,,,,52000,,47.88190271,-103.42303592
20920,44.31,0.219,,,,86827.27,,Girth Weld,,,,,,,,52000,,47.88189080,-103.42307198
20930,44.51,0.219,,,,86871.58,,Girth Weld,,,,,,,,52000,,47.88183690,-103.42323509
20940,44.45,0.219,,,,86916.09,,Girth Weld,,,,,,,,52000,,47.88180631,-103.42341053
20950,44.23,0.219,,,,86960.53,,Girth Weld,,,,,,,,52000,,47.88178841,-103.42359118
20960,44.21,0.219,,,,87004.76,,Girth Weld,,,,,,,,52000,,47.88176968,-103.42377071
20970,44.45,0.219,,,,87048.98,,Girth Weld,,,,,,,,52000,,47.88175065,-103.42395015
20980,44.22,0.219,,,,87093.42,,Girth Weld,,,,,,,,52000,,47.88175431,-103.42413070
20990,27.59,0.219,,,,87137.64,,Girth Weld,,,,,,,,52000,,47.88177688,-103.42430930
21000,44.24,0.219,,,,87165.23,,Girth Weld,,,,,,,,52000,,47.88179071,-103.42442076
21010,44.28,0.219,,,,87209.47,,Girth Weld,,,,,,,,52000,,47.88182880,-103.42459132
21020,44.23,0.219,,,,87253.75,,Girth Weld,,,,,,,,52000,,47.88188929,-103.42474943
21030,44.09,0.219,,,,87297.98,,Girth Weld,,,,,,,,52000,,47.88195039,-103.42490647
21040,44.09,0.219,,,,87342.07,,Girth Weld,,,,,,,,52000,,47.88201254,-103.42506191
21050,44.07,0.219,,,,87386.17,,Girth Weld,,,,,,,,52000,,47.88207462,-103.42521761
21060,44.15,0.219,,,,87430.24,,Girth Weld,,,,,,,,52000,,47.88213636,-103.42537374
21070,44.16,0.219,,,,87474.39,,Girth Weld,,,,,,,,52000,,47.88219772,-103.42553056
21080,44.11,0.219,,,,87518.54,,Girth Weld,,,,,,,,52000,,47.88225956,-103.42568703
21090,44.13,0.219,,,,87562.65,,Girth Weld,,,,,,,,52000,,47.88232212,-103.42584262
21100,43.91,0.219,,,,87606.78,,Girth Weld,,,,,,,,52000,,47.88238465,-103.42599818
21110,44.14,0.219,,,,87650.69,,Girth Weld,,,,,,,,52000,,47.88244659,-103.42615314
21120,44.2,0.219,,,,87694.83,,Girth Weld,,,,,,,,52000,,47.88250841,-103.42630954
21130,44.15,0.219,,,,87739.03,,Girth Weld,,,,,,,,52000,,47.88257058,-103.42646588
21140,44.07,0.219,,,,87783.17,,Girth Weld,,,,,,,,52000,,47.88263270,-103.42662200
21150,44.22,0.219,,,,87827.25,,Girth Weld,,,,,,,,52000,,47.88269478,-103.42677774
21160,44.16,0.219,,,,87871.47,,Girth Weld,,,,,,,,52000,,47.88275649,-103.42693452
21170,44.22,0.219,,,,87915.63,,Girth Weld,,,,,,,,52000,,47.88281811,-103.42709119
21180,44.37,0.219,,,,87959.85,,Girth Weld,,,,,,,,52000,,47.88287984,-103.42724805
21190,44.29,0.219,,,,88004.22,,Girth Weld,,,,,,,,52000,,47.88294230,-103.42740498
21200,44.22,0.219,,,,88048.51,,Girth Weld,,,,,,,,52000,,47.88300511,-103.42756124
21210,44.07,0.219,,,,88092.73,,Girth Weld,,,,,,,,52000,,47.88306779,-103.42771726
21220,44.16,0.219,,,,88136.80,,Girth Weld,,,,,,,,52000,,47.88313037,-103.42787264
21230,43.79,0.219,,,,88180.96,,Girth Weld,,,,,,,,52000,,47.88319295,-103.42802849
21240,43.92,0.219,,,,88224.75,,Girth Weld,,,,,,,,52000,,47.88325428,-103.42818361
21250,42.83,0.219,,,,88268.66,,Girth Weld,,,,,,,,52000,,47.88331504,-103.42833979
21260,44.13,0.219,,,,88311.49,,Girth Weld,,,,,,,,52000,,47.88337443,-103.42849206
21270,44.2,0.219,,,,88355.62,,Girth Weld,,,,,,,,52000,,47.88343618,-103.42864848
21280,44.08,0.219,,,,88399.82,,Girth Weld,,,,,,,,52000,,47.88349790,-103.42880527
21290,44.21,0.219,,,,88443.90,,Girth Weld,,,,,,,,52000,,47.88355925,-103.42896180
21300,44.28,0.219,,,,88488.11,,Girth Weld,,,,,,,,52000,,47.88362078,-103.42911881
21310,44.18,0.219,,,,88532.39,,Girth Weld,,,,,,,,52000,,47.88368263,-103.42927584
21320,44.46,0.219,,,,88576.57,,Girth Weld,,,,,,,,52000,,47.88374445,-103.42943247
21330,44.29,0.219,,,,88621.04,,Girth Weld,,,,,,,,52000,,47.88380659,-103.42959013
21340,44.27,0.219,,,,88665.33,,Girth Weld,,,,,,,,52000,,47.88386881,-103.42974680
21350,40.22,0.219,,,,88709.60,,Girth Weld,,,,,,,,52000,,47.88393092,-103.42990349
21360,44.43,0.219,,,,88749.82,,Girth Weld,,,,,,,,52000,,47.88398683,-103.43004629
21370,43.59,0.219,,,,88794.25,,Girth Weld,,,,,,,,52000,,47.88402478,-103.43021735
21380,44.23,0.219,,,,88837.84,,Girth Weld,,,,,,,,52000,,47.88404447,-103.43039410
21390,44.37,0.219,,,,88882.07,,Girth Weld,,,,,,,,52000,,47.88404715,-103.43057379
21400,44.29,0.219,,,,88926.45,,Girth Weld,,,,,,,,52000,,47.88402761,-103.43075369
21410,44.15,0.219,,,,88970.73,,Girth Weld,,,,,,,,52000,,47.88400751,-103.43093320
21420,44.29,0.219,,,,89014.88,,Girth Weld,,,,,,,,52000,,47.88398776,-103.43111197
21430,44.3,0.219,,,,89059.18,,Girth Weld,,,,,,,,52000,,47.88396787,-103.43129109
21440,44.33,0.219,,,,89103.48,,Girth Weld,,,,,,,,52000,,47.88394677,-103.43147024
21450,44.59,0.219,,,,89147.81,,Girth Weld,,,,,,,,52000,,47.88392541,-103.43164962
21460,44.53,0.219,,,,89192.40,,Girth Weld,,,,,,,,52000,,47.88390355,-103.43182997
21470,44.1,0.219,,,,89236.93,,Girth Weld,,,,,,,,52000,,47.88388223,-103.43201022
21480,44.39,0.219,,,,89281.03,,Girth Weld,,,,,,,,52000,,47.88386153,-103.43218883
21490,44.29,0.219,,,,89325.42,,Girth Weld,,,,,,,,52000,,47.88384120,-103.43236869
21500,44.34,0.219,,,,89369.71,,Girth Weld,,,,,,,,52000,,47.88382031,-103.43254793
21510,44.46,0.219,,,,89414.05,,Girth Weld,,,,,,,,52000,,47.88379859,-103.43272721
21520,44.24,0.219,,,,89458.50,,Girth Weld,,,,,,,,52000,,47.88377735,-103.43290717
21530,22.95,0.219,,,,89502.75,,Girth Weld,,,,,,,,52000,,47.88375613,-103.43308625
21540,4.94,0.219,,,,89525.70,,Girth Weld,,,,,,,,52000,,47.88374553,-103.43317920
21550,1.57,0.322,,,,89530.64,,Girth Weld,,,,,,,,52000,,47.88374314,-103.43319919
21550,1.57,,,,,89531.52,,Bend,,,,,,,,,3.2D -  48 deg - Sag,47.88374272,-103.43320256
21560,11.34,0.322,,,,89532.21,,Girth Weld,,,,,,,,52000,,47.88374245,-103.43320479
21570,1.63,0.322,,,,89543.55,,Girth Weld,,,,,,,,52000,,47.88373863,-103.43323689
21570,1.63,,,,,89544.34,,Bend,,,,,,,,,2.9D -  46 deg - Over,47.88373832,-103.43323964
21580,1.11,0.500,,,,89545.18,,Area Start Installation,,,,,,,,52000,,47.88373792,-103.43324298
21580,1.11,,,,09:00,89545.75,,Tee,,,,,,,,,,47.88373764,-103.43324528
21590,2.23,0.322,,,,89546.29,,Area End Installation,,,,,,,,52000,,47.88373741,-103.43324747
21590,2.23,,,,12:00,89546.79,,Tap,,,,,,,,,,47.88373720,-103.43324951
21590,2.23,,,,12:00,89547.34,,Tap,,,,,,,,,,47.88373695,-103.43325171
21600,0.44,0.500,,,,89548.52,,Area Start Installation,,,,,,,,52000,,47.88373640,-103.43325652
21610,2.17,0.322,,,,89548.96,,Flange,,,,,,,,52000,,47.88373620,-103.43325828
21610,2.17,,,,,89550.00,,Valve,,,,,,,,,Block Valve #2,47.88373572,-103.43326259
21620,0.42,0.322,,,,89551.12,,Flange,,,,,,,,52000,,47.88373530,-103.43326707
21630,2,0.322,,,,89551.54,,Area End Installation,,,,,,,,52000,,47.88373514,-103.43326878
21630,2,,,,12:00,89552.59,,Tap,,,,,,,,,,47.88373472,-103.43327303
21630,2,,,,12:00,89553.09,,Tap,,,,,,,,,,47.88373452,-103.43327507
21640,1.58,0.322,,,,89553.54,,Girth Weld,,,,,,,,52000,,47.88373434,-103.43327690
21640,1.58,,,,,89554.38,,Bend,,,,,,,,,2.8D -  47 deg - Over,47.88373401,-103.43328019
21650,11.98,0.322,,,,89555.12,,Girth Weld,,,,,,,,52000,,47.88373377,-103.43328259
21660,1.56,0.322,,,,89567.10,,Girth Weld,,,,,,,,52000,,47.88373042,-103.43331721
21660,1.56,,,,,89567.90,,Bend,,,,,,,,,3.2D -  46 deg - Sag,47.88373014,-103.43332003
21670,28.65,0.322,,,,89568.66,,Girth Weld,,,,,,,,52000,,47.88372985,-103.43332307
21680,44.28,0.219,,,,89597.31,,Girth Weld,,,,,,,,52000,,47.88371898,-103.43343957
21690,31.83,0.219,,,,89641.59,,Girth Weld,,,,,,,,52000,,47.88370268,-103.43361973
21700,44.24,0.219,,,,89673.42,,Girth Weld,,,,,,,,52000,,47.88369096,-103.43374922
21710,44.25,0.219,,,,89717.66,,Girth Weld,,,,,,,,52000,,47.88367507,-103.43392850
21720,44.37,0.219,,,,89761.91,,Girth Weld,,,,,,,,52000,,47.88365697,-103.43410728
21730,44.34,0.219,,,,89806.28,,Girth Weld,,,,,,,,52000,,47.88363843,-103.43428354
21740,44.4,0.219,,,,89850.63,,Girth Weld,,,,,,,,52000,,47.88361915,-103.43446283
21750,44.59,0.219,,,,89895.03,,Girth Weld,,,,,,,,52000,,47.88360043,-103.43464288
21760,44.33,0.219,,,,89939.62,,Girth Weld,,,,,,,,52000,,47.88358334,-103.43482401
21770,44.12,0.219,,,,89983.95,,Girth Weld,,,,,,,,52000,,47.88356608,-103.43500408
21780,44.36,0.219,,,,90028.07,,Girth Weld,,,,,,,,52000,,47.88354857,-103.43518324
21790,44.19,0.219,,,,90072.43,,Girth Weld,,,,,,,,52000,,47.88353074,-103.43536328
21800,44.16,0.219,,,,90116.62,,Girth Weld,,,,,,,,52000,,47.88351264,-103.43554235
21810,44.36,0.219,,,,90160.78,,Girth Weld,,,,,,,,52000,,47.88349468,-103.43572147
21820,44.42,0.219,,,,90205.15,,Girth Weld,,,,,,,,52000,,47.88347714,-103.43590138
21830,44.24,0.219,,,,90249.57,,Girth Weld,,,,,,,,52000,,47.88345924,-103.43607856
21840,44.47,0.219,,,,90293.81,,Girth Weld,,,,,,,,52000,,47.88344236,-103.43625400
21850,44.24,0.219,,,,90338.29,,Girth Weld,,,,,,,,52000,,47.88342613,-103.43643152
21860,44.34,0.219,,,,90382.53,,Girth Weld,,,,,,,,52000,,47.88340932,-103.43660949
21870,44.17,0.219,,,,90426.86,,Girth Weld,,,,,,,,52000,,47.88339146,-103.43678892
21880,22.3,0.219,,,,90471.03,,Girth Weld,,,,,,,,52000,,47.88337223,-103.43696763
21890,44.25,0.219,,,,90493.33,,Girth Weld,,,,,,,,52000,,47.88336267,-103.43705795
21900,44.36,0.219,,,,90537.59,,Girth Weld,,,,,,,,52000,,47.88336429,-103.43723795
21910,44.36,0.219,,,,90581.94,,Girth Weld,,,,,,,,52000,,47.88338188,-103.43741810
21920,44.39,0.219,,,,90626.30,,Girth Weld,,,,,,,,52000,,47.88340815,-103.43759538
21930,44.43,0.219,,,,90670.69,,Girth Weld,,,,,,,,52000,,47.88344748,-103.43776794
21940,43.89,0.219,,,,90715.11,,Girth Weld,,,,,,,,52000,,47.88348731,-103.43794030
21950,44.38,0.219,,,,90759.00,,Girth Weld,,,,,,,,52000,,47.88352725,-103.43810995
21960,44.39,0.219,,,,90803.38,,Girth Weld,,,,,,,,52000,,47.88356712,-103.43828170
21970,43.8,0.219,,,,90847.78,,Girth Weld,,,,,,,,52000,,47.88360650,-103.43845401
21980,22.05,0.219,,,,90891.58,,Girth Weld,,,,,,,,52000,,47.88363789,-103.43862667
21990,44.34,0.219,,,,90913.63,,Girth Weld,,,,,,,,52000,,47.88364690,-103.43871548
22000,44.48,0.219,,,,90957.97,,Girth Weld,,,,,,,,52000,,47.88366500,-103.43889394
22010,44.31,0.219,,,,91002.44,,Girth Weld,,,,,,,,52000,,47.88368287,-103.43907432
22020,44.53,0.219,,,,91046.75,,Girth Weld,,,,,,,,52000,,47.88369986,-103.43925387
22030,44.28,0.219,,,,91091.28,,Girth Weld,,,,,,,,52000,,47.88371668,-103.43943402
22040,44.24,0.219,,,,91135.56,,Girth Weld,,,,,,,,52000,,47.88373345,-103.43961338
22050,44.24,0.219,,,,91179.80,,Girth Weld,,,,,,,,52000,,47.88375095,-103.43979276
22060,44.2,0.219,,,,91224.05,,Girth Weld,,,,,,,,52000,,47.88376923,-103.43997203
22070,43.73,0.219,,,,91268.25,,Girth Weld,,,,,,,,52000,,47.88378751,-103.44015108
22080,44.13,0.219,,,,91311.98,,Girth Weld,,,,,,,,52000,,47.88380562,-103.44032821
22090,44.29,0.219,,,,91356.11,,Girth Weld,,,,,,,,52000,,47.88382354,-103.44050697
22100,44.37,0.219,,,,91400.40,,Girth Weld,,,,,,,,52000,,47.88384029,-103.44068665
22110,44.29,0.219,,,,91444.77,,Girth Weld,,,,,,,,52000,,47.88385775,-103.44086591
22120,44.26,0.219,,,,91489.06,,Girth Weld,,,,,,,,52000,,47.88387540,-103.44104533
22130,44.27,0.219,,,,91533.31,,Girth Weld,,,,,,,,52000,,47.88389343,-103.44122490
22140,44.28,0.219,,,,91577.58,,Girth Weld,,,,,,,,52000,,47.88391167,-103.44140444
22150,44.32,0.219,,,,91621.86,,Girth Weld,,,,,,,,52000,,47.88392907,-103.44158350
22160,44.27,0.219,,,,91666.19,,Girth Weld,,,,,,,,52000,,47.88394484,-103.44176343
22170,44.16,0.219,,,,91710.46,,Girth Weld,,,,,,,,52000,,47.88395320,-103.44194472
22180,44.31,0.219,,,,91754.62,,Girth Weld,,,,,,,,52000,,47.88396033,-103.44212560
22190,44.35,0.219,,,,91798.93,,Girth Weld,,,,,,,,52000,,47.88396708,-103.44230636
22200,44.42,0.219,,,,91843.28,,Girth Weld,,,,,,,,52000,,47.88397415,-103.44248697
22210,44.46,0.219,,,,91887.70,,Girth Weld,,,,,,,,52000,,47.88398079,-103.44266782
22220,44.23,0.219,,,,91932.16,,Girth Weld,,,,,,,,52000,,47.88398798,-103.44284944
22230,43.96,0.219,,,,91976.39,,Girth Weld,,,,,,,,52000,,47.88399575,-103.44303003
22240,44.6,0.219,,,,92020.35,,Girth Weld,,,,,,,,52000,,47.88400349,-103.44320965
22250,44.39,0.219,,,,92064.95,,Girth Weld,,,,,,,,52000,,47.88401104,-103.44339217
22260,44.27,0.219,,,,92109.34,,Girth Weld,,,,,,,,52000,,47.88401754,-103.44357411
22270,40.36,0.219,,,,92153.61,,Girth Weld,,,,,,,,52000,,47.88402405,-103.44375557
22280,44.35,0.219,,,,92193.97,,Girth Weld,,,,,,,,52000,,47.88403084,-103.44392063
22290,44.4,0.219,,,,92238.32,,Girth Weld,,,,,,,,52000,,47.88403933,-103.44410170
22300,44.35,0.219,,,,92282.72,,Girth Weld,,,,,,,,52000,,47.88404453,-103.44428281
22310,44.18,0.219,,,,92327.07,,Girth Weld,,,,,,,,52000,,47.88404237,-103.44446131
22320,44.12,0.219,,,,92371.25,,Girth Weld,,,,,,,,52000,,47.88403952,-103.44463878
22330,43.89,0.219,,,,92415.37,,Girth Weld,,,,,,,,52000,,47.88403718,-103.44481659
22340,43.74,0.219,,,,92459.26,,Girth Weld,,,,,,,,52000,,47.88403443,-103.44499469
22350,44.18,0.219,,,,92503.00,,Girth Weld,,,,,,,,52000,,47.88403191,-103.44517336
22360,44.31,0.219,,,,92547.18,,Girth Weld,,,,,,,,52000,,47.88402999,-103.44535406
22370,44.54,0.219,,,,92591.49,,Girth Weld,,,,,,,,52000,,47.88402810,-103.44553565
22380,44.2,0.219,,,,92636.03,,Girth Weld,,,,,,,,52000,,47.88402536,-103.44571836
22390,44.22,0.219,,,,92680.23,,Girth Weld,,,,,,,,52000,,47.88402343,-103.44589975
22400,44.53,0.219,,,,92724.45,,Girth Weld,,,,,,,,52000,,47.88402191,-103.44608105
22410,44.19,0.219,,,,92768.98,,Girth Weld,,,,,,,,52000,,47.88402075,-103.44626370
22420,43.48,0.219,,,,92813.17,,Girth Weld,,,,,,,,52000,,47.88401939,-103.44644502
22430,44.3,0.219,,,,92856.65,,Girth Weld,,,,,,,,52000,,47.88401788,-103.44662330
22440,44.27,0.219,,,,92900.95,,Girth Weld,,,,,,,,52000,,47.88401625,-103.44680384
22450,44.35,0.219,,,,92945.23,,Girth Weld,,,,,,,,52000,,47.88401505,-103.44698394
22460,44.4,0.219,,,,92989.58,,Girth Weld,,,,,,,,52000,,47.88401472,-103.44716455
22470,44.56,0.219,,,,93033.97,,Girth Weld,,,,,,,,52000,,47.88401420,-103.44734489
