Feature Number (sequential order),Pipeline Feature,Empty odl Standard featurename,INT/ EXT (ID/OD),Odometer,Station Number,Distance to U/S weld,Distance to D/S weld,Joint Length,Defect Joint Number,Upstream (U/S) Reference name,US Dist from,Downstream (D/S) Reference name ,ds distance to,Diameter,Nominal Wall Thickness,Measured Wall Thickness,Pipe Grade (SMYS),Long Seam Orientation,Metal Loss Depth,Metal Loss Depth,Deformation Depth,Deformation Depth,Crack Depth,Crack Depth,Length,Width,Orientation,MOP,Modified B31.G PBURST,Modified B31.G PSAFE,Design Pressure (72% SMYS),ERF MOP _SAFE,RPR PBURST    /      100% SMYS,Effective Area pburst,effsagepsafe,Group Number,Group Category,Nad 83 Latitude,NAD 83 Longitude,NAVD88 Elevation,Comments,POF classification,Excavation/ Repair Required,SPLC Notes,Tool Type/ Technology,Length/A (x),Width/A (y)
4731,Weld,,,97944.41,962+55,60.86,60.95,60.95,17120,Block Valve  BV 7.14 (377+16),60303.88,Block Valve - I-5 (1235+58),28126.56,16,0.25,,52000, 12:20,,,,,,,,,,1170,,,1170,,,,,,,35.5285861,-119.4807736,253,GIRTH WELD,,,,MFL/CLP,,
4732,Weld,,,98005.35,963+14,60.95,60.87,60.87,17130,Block Valve  BV 7.14 (377+16),60364.82,Block Valve - I-5 (1235+58),28065.61,16,0.25,,52000, 10:36,,,,,,,,,,1170,,,1170,,,,,,,35.5285862,-119.4809785,252.5,GIRTH WELD,,,,MFL/CLP,,
4733,Weld,,,98066.22,963+73,60.87,60.92,60.92,17140,Block Valve  BV 7.14 (377+16),60425.69,Block Valve - I-5 (1235+58),28004.74,16,0.25,,52000, 12:36,,,,,,,,,,1170,,,1170,,,,,,,35.5285863,-119.4811832,252.6,GIRTH WELD,,,,MFL/CLP,,
4734,Weld,,,98127.14,964+32,60.92,60.64,60.64,17150,Block Valve  BV 7.14 (377+16),60486.61,Block Valve - I-5 (1235+58),27943.82,16,0.25,,52000, 10:32,,,,,,,,,,1170,,,1170,,,,,,,35.5285853,-119.481388,252.7,GIRTH WELD,,,,MFL/CLP,,
4735,Weld,,,98187.79,964+91,60.64,59.46,59.46,17160,Block Valve  BV 7.14 (377+16),60547.25,Block Valve - I-5 (1235+58),27883.18,16,0.25,,52000, 12:56,,,,,,,,,,1170,,,1170,,,,,,,35.5285838,-119.4815919,252.3,GIRTH WELD,,,,MFL/CLP,,
4736,Weld,,,98247.24,965+49,59.46,60.88,60.88,17170,Block Valve  BV 7.14 (377+16),60606.71,Block Valve - I-5 (1235+58),27823.72,16,0.25,,52000, 10:44,,,,,,,,,,1170,,,1170,,,,,,,35.5285826,-119.4817918,252.6,GIRTH WELD,,,,MFL/CLP,,
4737,Weld,,,98308.12,966+08,60.88,60.84,60.84,17180,Block Valve  BV 7.14 (377+16),60667.59,Block Valve - I-5 (1235+58),27762.84,16,0.25,,52000, 12:44,,,,,,,,,,1170,,,1170,,,,,,,35.5285817,-119.4819965,252.6,GIRTH WELD,,,,MFL/CLP,,
4738,Weld,,,98368.96,966+67,60.84,60.85,60.85,17190,Block Valve  BV 7.14 (377+16),60728.43,Block Valve - I-5 (1235+58),27702,16,0.25,,52000, 10:44,,,,,,,,,,1170,,,1170,,,,,,,35.5285809,-119.4822009,252.8,GIRTH WELD,,,,MFL/CLP,,
4739,Weld,,,98429.81,967+26,60.85,60.77,60.77,17200,Block Valve  BV 7.14 (377+16),60789.28,Block Valve - I-5 (1235+58),27641.15,16,0.25,,52000, 01:16,,,,,,,,,,1170,,,1170,,,,,,,35.5285795,-119.4824055,252.9,GIRTH WELD,,,,MFL/CLP,,
4740,Weld,,,98490.59,967+85,60.77,60.51,60.51,17210,Block Valve  BV 7.14 (377+16),60850.06,Block Valve - I-5 (1235+58),27580.37,16,0.25,,52000, 11:08,,,,,,,,,,1170,,,1170,,,,,,,35.5285788,-119.4826097,252.8,GIRTH WELD,,,,MFL/CLP,,
4741,Weld,,,98551.1,968+44,60.51,53.31,53.31,17220,Block Valve  BV 7.14 (377+16),60910.57,Block Valve - I-5 (1235+58),27519.86,16,0.25,,52000, 01:44,,,,,,,,,,1170,,,1170,,,,,,,35.5285784,-119.4828131,252.9,GIRTH WELD,,,,MFL/CLP,,
4742,Weld,,,98604.41,968+95,53.31,60.89,60.89,17230,Block Valve  BV 7.14 (377+16),60963.88,Block Valve - I-5 (1235+58),27466.55,16,0.25,,52000, 11:20,,,,,,,,,,1170,,,1170,,,,,,,35.5285776,-119.4829923,253.1,GIRTH WELD,,,,MFL/CLP,,
4743,Weld,,,98665.31,969+55,60.89,60.89,60.89,17240,Block Valve  BV 7.14 (377+16),61024.77,Block Valve - I-5 (1235+58),27405.66,16,0.25,,52000, 01:24,,,,,,,,,,1170,,,1170,,,,,,,35.5285764,-119.4831969,253.4,GIRTH WELD,,,,MFL/CLP,,
4744,Weld,,,98726.2,970+14,60.89,60.15,60.15,17250,Block Valve  BV 7.14 (377+16),61085.67,Block Valve - I-5 (1235+58),27344.76,16,0.25,,52000, 11:12,,,,,,,,,,1170,,,1170,,,,,,,35.5285747,-119.4834016,254.1,GIRTH WELD,,,,MFL/CLP,,
4745,Weld,,,98786.35,970+72,60.15,60.87,60.87,17260,Block Valve  BV 7.14 (377+16),61145.82,Block Valve - I-5 (1235+58),27284.61,16,0.25,,52000, 01:12,,,,,,,,,,1170,,,1170,,,,,,,35.5285729,-119.4836037,254.6,GIRTH WELD,,,,MFL/CLP,,
4746,Weld,,,98847.22,971+31,60.87,60.93,60.93,17270,Block Valve  BV 7.14 (377+16),61206.68,Block Valve - I-5 (1235+58),27223.75,16,0.25,,52000, 11:04,,,,,,,,,,1170,,,1170,,,,,,,35.5285715,-119.4838083,254.6,GIRTH WELD,,,,MFL/CLP,,
4747,Weld,,,98908.15,971+90,60.93,60.91,60.91,17280,Block Valve  BV 7.14 (377+16),61267.62,Block Valve - I-5 (1235+58),27162.82,16,0.25,,52000, 12:40,,,,,,,,,,1170,,,1170,,,,,,,35.5285705,-119.4840131,254.5,GIRTH WELD,,,,MFL/CLP,,
4748,Weld,,,98969.06,972+49,60.91,60.53,60.53,17290,Block Valve  BV 7.14 (377+16),61328.53,Block Valve - I-5 (1235+58),27101.9,16,0.25,,52000, 11:20,,,,,,,,,,1170,,,1170,,,,,,,35.5285698,-119.4842178,255,GIRTH WELD,,,,MFL/CLP,,
4749,Weld,,,99029.58,973+08,60.53,60.93,60.93,17300,Block Valve  BV 7.14 (377+16),61389.05,Block Valve - I-5 (1235+58),27041.38,16,0.25,,52000, 12:48,,,,,,,,,,1170,,,1170,,,,,,,35.528569,-119.4844212,254.4,GIRTH WELD,,,,MFL/CLP,,
4750,Weld,,,99090.51,973+67,60.93,60.51,60.51,17310,Block Valve  BV 7.14 (377+16),61449.98,Block Valve - I-5 (1235+58),26980.45,16,0.25,,52000, 11:08,,,,,,,,,,1170,,,1170,,,,,,,35.5285689,-119.484626,254.3,GIRTH WELD,,,,MFL/CLP,,
4751,Weld,,,99151.02,974+26,60.51,60.55,60.55,17320,Block Valve  BV 7.14 (377+16),61510.49,Block Valve - I-5 (1235+58),26919.94,16,0.25,,52000, 01:16,,,,,,,,,,1170,,,1170,,,,,,,35.5285683,-119.4848293,254.7,GIRTH WELD,,,,MFL/CLP,,
4752,Weld,,,99211.57,974+85,60.55,58.96,58.96,17330,Block Valve  BV 7.14 (377+16),61571.04,Block Valve - I-5 (1235+58),26859.39,16,0.25,,52000, 10:44,,,,,,,,,,1170,,,1170,,,,,,,35.5285678,-119.4850328,254.4,GIRTH WELD,,,,MFL/CLP,,
4753,Weld,,,99270.53,975+42,58.96,60.92,60.92,17340,Block Valve  BV 7.14 (377+16),61630,Block Valve - I-5 (1235+58),26800.43,16,0.25,,52000, 01:04,,,,,,,,,,1170,,,1170,,,,,,,35.5285673,-119.485231,254.1,GIRTH WELD,,,,MFL/CLP,,
4754,Weld,,,99331.44,976+01,60.92,60.96,60.96,17350,Block Valve  BV 7.14 (377+16),61690.91,Block Valve - I-5 (1235+58),26739.52,16,0.25,,52000, 10:56,,,,,,,,,,1170,,,1170,,,,,,,35.528567,-119.4854357,254,GIRTH WELD,,,,MFL/CLP,,
4755,Weld,,,99392.41,976+60,60.96,60.97,60.97,17360,Block Valve  BV 7.14 (377+16),61751.87,Block Valve - I-5 (1235+58),26678.56,16,0.25,,52000, 12:52,,,,,,,,,,1170,,,1170,,,,,,,35.5285665,-119.4856406,254,GIRTH WELD,,,,MFL/CLP,,
4756,Weld,,,99453.37,977+20,60.97,60.91,60.91,17370,Block Valve  BV 7.14 (377+16),61812.84,Block Valve - I-5 (1235+58),26617.59,16,0.25,,52000, 10:56,,,,,,,,,,1170,,,1170,,,,,,,35.5285655,-119.4858455,255.1,GIRTH WELD,,,,MFL/CLP,,
4757,Weld,,,99514.28,977+79,60.91,60.95,60.95,17380,Block Valve  BV 7.14 (377+16),61873.75,Block Valve - I-5 (1235+58),26556.68,16,0.25,,52000, 01:00,,,,,,,,,,1170,,,1170,,,,,,,35.5285644,-119.4860501,253.8,GIRTH WELD,,,,MFL/CLP,,
4758,Weld,,,99575.23,978+38,60.95,60.89,60.89,17390,Block Valve  BV 7.14 (377+16),61934.7,Block Valve - I-5 (1235+58),26495.73,16,0.25,,52000, 10:36,,,,,,,,,,1170,,,1170,,,,,,,35.5285639,-119.486255,254,GIRTH WELD,,,,MFL/CLP,,
4759,Weld,,,99636.13,978+97,60.89,60.93,60.93,17400,Block Valve  BV 7.14 (377+16),61995.59,Block Valve - I-5 (1235+58),26434.84,16,0.25,,52000, 12:44,,,,,,,,,,1170,,,1170,,,,,,,35.5285633,-119.4864596,253.4,GIRTH WELD,,,,MFL/CLP,,
4760,Weld,,,99697.06,979+56,60.93,60.55,60.55,17410,Block Valve  BV 7.14 (377+16),62056.53,Block Valve - I-5 (1235+58),26373.9,16,0.25,,52000, 11:12,,,,,,,,,,1170,,,1170,,,,,,,35.5285636,-119.4866644,252.7,GIRTH WELD,,,,MFL/CLP,,
4761,Weld,,,99757.6,980+15,60.55,60.93,60.93,17420,Block Valve  BV 7.14 (377+16),62117.07,Block Valve - I-5 (1235+58),26313.36,16,0.25,,52000, 12:40,,,,,,,,,,1170,,,1170,,,,,,,35.5285627,-119.4868679,252.3,GIRTH WELD,,,,MFL/CLP,,
4762,Weld,,,99818.53,980+74,60.93,60.92,60.92,17430,Block Valve  BV 7.14 (377+16),62178,Block Valve - I-5 (1235+58),26252.43,16,0.25,,52000, 10:32,,,,,,,,,,1170,,,1170,,,,,,,35.5285611,-119.4870726,252.1,GIRTH WELD,,,,MFL/CLP,,
4763,Weld,,,99879.45,981+33,60.92,60.56,60.56,17440,Block Valve  BV 7.14 (377+16),62238.92,Block Valve - I-5 (1235+58),26191.51,16,0.25,,52000, 01:00,,,,,,,,,,1170,,,1170,,,,,,,35.5285602,-119.4872774,252.1,GIRTH WELD,,,,MFL/CLP,,
4764,Weld,,,99940.01,981+92,60.56,60.58,60.58,17450,Block Valve  BV 7.14 (377+16),62299.48,Block Valve - I-5 (1235+58),26130.95,16,0.25,,52000, 11:12,,,,,,,,,,1170,,,1170,,,,,,,35.5285598,-119.4874809,251.8,GIRTH WELD,,,,MFL/CLP,,
4765,Weld,,,100000.59,982+51,60.58,60.95,60.95,17460,Block Valve  BV 7.14 (377+16),62360.06,Block Valve - I-5 (1235+58),26070.37,16,0.25,,52000, 01:08,,,,,,,,,,1170,,,1170,,,,,,,35.5285599,-119.4876845,251.9,GIRTH WELD,,,,MFL/CLP,,
4766,Weld,,,100061.54,983+10,60.95,60.55,60.55,17470,Block Valve  BV 7.14 (377+16),62421.01,Block Valve - I-5 (1235+58),26009.42,16,0.25,,52000, 11:00,,,,,,,,,,1170,,,1170,,,,,,,35.5285597,-119.4878893,252.8,GIRTH WELD,,,,MFL/CLP,,
4767,Weld,,,100122.09,983+69,60.55,60.95,60.95,17480,Block Valve  BV 7.14 (377+16),62481.56,Block Valve - I-5 (1235+58),25948.87,16,0.25,,52000, 12:48,,,,,,,,,,1170,,,1170,,,,,,,35.5285582,-119.4880928,251.7,GIRTH WELD,,,,MFL/CLP,,
4768,Weld,,,100183.04,984+28,60.95,60.85,60.86,17490,Block Valve  BV 7.14 (377+16),62542.51,Block Valve - I-5 (1235+58),25887.92,16,0.25,,52000, 10:28,,,,,,,,,,1170,,,1170,,,,,,,35.5285569,-119.4882976,251.5,GIRTH WELD,,,,MFL/CLP,,
4769,Weld,,,100243.89,984+87,60.86,60.74,60.74,17500,Block Valve  BV 7.14 (377+16),62603.36,Block Valve - I-5 (1235+58),25827.07,16,0.25,,52000, 12:56,,,,,,,,,,1170,,,1170,,,,,,,35.5285559,-119.4885021,252.1,GIRTH WELD,,,,MFL/CLP,,
4770,Weld,,,100304.63,985+46,60.74,60.9,60.9,17510,Block Valve  BV 7.14 (377+16),62664.1,Block Valve - I-5 (1235+58),25766.33,16,0.25,,52000, 10:32,,,,,,,,,,1170,,,1170,,,,,,,35.5285548,-119.4887062,250.7,GIRTH WELD,,,,MFL/CLP,,
4771,Weld,,,100365.53,986+05,60.9,60.85,60.85,17520,Block Valve  BV 7.14 (377+16),62724.99,Block Valve - I-5 (1235+58),25705.44,16,0.25,,52000, 12:16,,,,,,,,,,1170,,,1170,,,,,,,35.5285541,-119.4889108,251.1,GIRTH WELD,,,,MFL/CLP,,
4772,Weld,,,100426.38,986+64,60.85,60.83,60.83,17530,Block Valve  BV 7.14 (377+16),62785.85,Block Valve - I-5 (1235+58),25644.58,16,0.25,,52000, 10:56,,,,,,,,,,1170,,,1170,,,,,,,35.5285529,-119.4891153,250.4,GIRTH WELD,,,,MFL/CLP,,
4773,Weld,,,100487.21,987+23,60.83,60.91,60.91,17540,Block Valve  BV 7.14 (377+16),62846.68,Block Valve - I-5 (1235+58),25583.75,16,0.25,,52000, 01:20,,,,,,,,,,1170,,,1170,,,,,,,35.5285513,-119.4893198,250,GIRTH WELD,,,,MFL/CLP,,
4774,Weld,,,100548.12,987+82,60.91,60.87,60.87,17550,Block Valve  BV 7.14 (377+16),62907.59,Block Valve - I-5 (1235+58),25522.84,16,0.25,,52000, 10:12,,,,,,,,,,1170,,,1170,,,,,,,35.5285496,-119.4895245,250.3,GIRTH WELD,,,,MFL/CLP,,
4775,Weld,,,100608.99,988+41,60.87,60.94,60.94,17560,Block Valve  BV 7.14 (377+16),62968.46,Block Valve - I-5 (1235+58),25461.98,16,0.25,,52000, 12:56,,,,,,,,,,1170,,,1170,,,,,,,35.5285484,-119.4897291,250.3,GIRTH WELD,,,,MFL/CLP,,
4776,Weld,,,100669.93,989+00,60.94,60.92,60.93,17570,Block Valve  BV 7.14 (377+16),63029.4,Block Valve - I-5 (1235+58),25401.03,16,0.25,,52000, 11:04,,,,,,,,,,1170,,,1170,,,,,,,35.5285479,-119.4899339,250.5,GIRTH WELD,,,,MFL/CLP,,
4777,Weld,,,100730.85,989+60,60.93,60.8,60.8,17580,Block Valve  BV 7.14 (377+16),63090.32,Block Valve - I-5 (1235+58),25340.11,16,0.25,,52000, 12:20,,,,,,,,,,1170,,,1170,,,,,,,35.5285472,-119.4901386,250.7,GIRTH WELD,,,,MFL/CLP,,
4778,Weld,,,100791.65,990+19,60.8,60.85,60.85,17590,Block Valve  BV 7.14 (377+16),63151.12,Block Valve - I-5 (1235+58),25279.31,16,0.25,,52000, 11:12,,,,,,,,,,1170,,,1170,,,,,,,35.5285466,-119.490343,250.8,GIRTH WELD,,,,MFL/CLP,,
4779,Weld,,,100852.5,990+78,60.85,60.87,60.87,17600,Block Valve  BV 7.14 (377+16),63211.97,Block Valve - I-5 (1235+58),25218.47,16,0.25,,52000, 12:48,,,,,,,,,,1170,,,1170,,,,,,,35.528547,-119.4905475,250.8,GIRTH WELD,,,,MFL/CLP,,
4780,Weld,,,100913.37,991+37,60.87,60.9,60.9,17610,Block Valve  BV 7.14 (377+16),63272.84,Block Valve - I-5 (1235+58),25157.59,16,0.25,,52000, 10:48,,,,,,,,,,1170,,,1170,,,,,,,35.5285467,-119.4907521,250.9,GIRTH WELD,,,,MFL/CLP,,
4781,Weld,,,100974.27,991+96,60.9,60.54,60.54,17620,Block Valve  BV 7.14 (377+16),63333.74,Block Valve - I-5 (1235+58),25096.69,16,0.25,,52000, 12:48,,,,,,,,,,1170,,,1170,,,,,,,35.5285462,-119.4909568,250.8,GIRTH WELD,,,,MFL/CLP,,
4782,Weld,,,101034.81,992+55,60.54,60.89,60.89,17630,Block Valve  BV 7.14 (377+16),63394.28,Block Valve - I-5 (1235+58),25036.16,16,0.25,,52000, 11:04,,,,,,,,,,1170,,,1170,,,,,,,35.5285451,-119.4911602,250.5,GIRTH WELD,,,,MFL/CLP,,
4783,Weld,,,101095.7,993+14,60.89,60.93,60.93,17640,Block Valve  BV 7.14 (377+16),63455.17,Block Valve - I-5 (1235+58),24975.26,16,0.25,,52000, 12:48,,,,,,,,,,1170,,,1170,,,,,,,35.5285447,-119.4913649,250.5,GIRTH WELD,,,,MFL/CLP,,
4784,Weld,,,101156.63,993+73,60.93,60.91,60.91,17650,Block Valve  BV 7.14 (377+16),63516.1,Block Valve - I-5 (1235+58),24914.33,16,0.25,,52000, 10:44,,,,,,,,,,1170,,,1170,,,,,,,35.5285447,-119.4915697,250.3,GIRTH WELD,,,,MFL/CLP,,
4785,Weld,,,101217.54,994+32,60.91,60.93,60.93,17660,Block Valve  BV 7.14 (377+16),63577.01,Block Valve - I-5 (1235+58),24853.42,16,0.25,,52000, 12:44,,,,,,,,,,1170,,,1170,,,,,,,35.528544,-119.4917744,250.3,GIRTH WELD,,,,MFL/CLP,,
4786,Weld,,,101278.47,994+91,60.93,60.88,60.88,17670,Block Valve  BV 7.14 (377+16),63637.94,Block Valve - I-5 (1235+58),24792.49,16,0.25,,52000, 11:00,,,,,,,,,,1170,,,1170,,,,,,,35.5285432,-119.4919792,250.1,GIRTH WELD,,,,MFL/CLP,,
4787,Weld,,,101339.35,995+50,60.88,60.95,60.95,17680,Block Valve  BV 7.14 (377+16),63698.82,Block Valve - I-5 (1235+58),24731.61,16,0.25,,52000, 11:48,,,,,,,,,,1170,,,1170,,,,,,,35.5285416,-119.4921838,249.7,GIRTH WELD,,,,MFL/CLP,,
4788,Weld,,,101400.3,996+09,60.95,60.85,60.85,17690,Block Valve  BV 7.14 (377+16),63759.77,Block Valve - I-5 (1235+58),24670.66,16,0.25,,52000, 10:04,,,,,,,,,,1170,,,1170,,,,,,,35.5285411,-119.4923886,250,GIRTH WELD,,,,MFL/CLP,,
4789,Weld,,,101461.15,996+69,60.85,60.87,60.87,17700,Block Valve  BV 7.14 (377+16),63820.62,Block Valve - I-5 (1235+58),24609.81,16,0.25,,52000, 12:16,,,,,,,,,,1170,,,1170,,,,,,,35.5285402,-119.4925931,250.5,GIRTH WELD,,,,MFL/CLP,,
4790,Weld,,,101522.02,997+28,60.87,60.88,60.88,17710,Block Valve  BV 7.14 (377+16),63881.49,Block Valve - I-5 (1235+58),24548.94,16,0.25,,52000, 11:20,,,,,,,,,,1170,,,1170,,,,,,,35.5285392,-119.4927977,249.9,GIRTH WELD,,,,MFL/CLP,,
4791,Weld,,,101582.9,997+87,60.88,60.82,60.82,17720,Block Valve  BV 7.14 (377+16),63942.37,Block Valve - I-5 (1235+58),24488.06,16,0.25,,52000, 01:12,,,,,,,,,,1170,,,1170,,,,,,,35.5285386,-119.4930023,249.4,GIRTH WELD,,,,MFL/CLP,,
4792,Weld,,,101643.72,998+46,60.82,60.84,60.84,17730,Block Valve  BV 7.14 (377+16),64003.19,Block Valve - I-5 (1235+58),24427.24,16,0.25,,52000, 11:16,,,,,,,,,,1170,,,1170,,,,,,,35.5285375,-119.4932067,249.2,GIRTH WELD,,,,MFL/CLP,,
4793,Weld,,,101704.56,999+05,60.84,60.91,60.91,17740,Block Valve  BV 7.14 (377+16),64064.03,Block Valve - I-5 (1235+58),24366.4,16,0.25,,52000, 01:20,,,,,,,,,,1170,,,1170,,,,,,,35.5285365,-119.4934112,249.2,GIRTH WELD,,,,MFL/CLP,,
4794,Weld,,,101765.47,999+64,60.91,60.89,60.89,17750,Block Valve  BV 7.14 (377+16),64124.94,Block Valve - I-5 (1235+58),24305.49,16,0.25,,52000, 11:20,,,,,,,,,,1170,,,1170,,,,,,,35.5285354,-119.4936159,249,GIRTH WELD,,,,MFL/CLP,,
4795,Weld,,,101826.36,1000+23,60.89,60.76,60.76,17760,Block Valve  BV 7.14 (377+16),64185.83,Block Valve - I-5 (1235+58),24244.6,16,0.25,,52000, 12:52,,,,,,,,,,1170,,,1170,,,,,,,35.5285338,-119.4938205,249.1,GIRTH WELD,,,,MFL/CLP,,
4796,Weld,,,101887.12,1000+82,60.76,60.78,60.78,17770,Block Valve  BV 7.14 (377+16),64246.59,Block Valve - I-5 (1235+58),24183.84,16,0.25,,52000, 11:48,,,,,,,,,,1170,,,1170,,,,,,,35.528533,-119.4940247,249.3,GIRTH WELD,,,,MFL/CLP,,
4797,Weld,,,101947.9,1001+41,60.78,60.78,60.78,17780,Block Valve  BV 7.14 (377+16),64307.37,Block Valve - I-5 (1235+58),24123.06,16,0.25,,52000, 01:36,,,,,,,,,,1170,,,1170,,,,,,,35.5285328,-119.494229,249.7,GIRTH WELD,,,,MFL/CLP,,
4798,Weld,,,102008.68,1002+00,60.78,60.61,60.61,17790,Block Valve  BV 7.14 (377+16),64368.15,Block Valve - I-5 (1235+58),24062.28,16,0.25,,52000, 11:28,,,,,,,,,,1170,,,1170,,,,,,,35.5285321,-119.4944333,249.8,GIRTH WELD,,,,MFL/CLP,,
4799,Weld,,,102069.3,1002+59,60.61,60.28,60.28,17800,Block Valve  BV 7.14 (377+16),64428.76,Block Valve - I-5 (1235+58),24001.67,16,0.25,,52000, 01:28,,,,,,,,,,1170,,,1170,,,,,,,35.5285314,-119.494637,249.9,GIRTH WELD,,,,MFL/CLP,,
4800,Weld,,,102129.57,1003+17,60.28,60.92,60.92,17810,Block Valve  BV 7.14 (377+16),64489.04,Block Valve - I-5 (1235+58),23941.39,16,0.25,,52000, 11:36,,,,,,,,,,1170,,,1170,,,,,,,35.5285309,-119.4948396,250.1,GIRTH WELD,,,,MFL/CLP,,
4801,Weld,,,102190.49,1003+77,60.92,60.56,60.56,17820,Block Valve  BV 7.14 (377+16),64549.96,Block Valve - I-5 (1235+58),23880.47,16,0.25,,52000, 01:28,,,,,,,,,,1170,,,1170,,,,,,,35.5285311,-119.4950443,250.2,GIRTH WELD,,,,MFL/CLP,,
4802,Weld,,,102251.05,1004+35,60.56,60.53,60.53,17830,Block Valve  BV 7.14 (377+16),64610.52,Block Valve - I-5 (1235+58),23819.92,16,0.25,,52000, 11:24,,,,,,,,,,1170,,,1170,,,,,,,35.5285306,-119.4952479,250,GIRTH WELD,,,,MFL/CLP,,
4803,Weld,,,102311.58,1004+94,60.53,60.54,60.54,17840,Block Valve  BV 7.14 (377+16),64671.05,Block Valve - I-5 (1235+58),23759.38,16,0.25,,52000, 01:04,,,,,,,,,,1170,,,1170,,,,,,,35.5285303,-119.4954513,250.1,GIRTH WELD,,,,MFL/CLP,,
4804,Weld,,,102372.11,1005+53,60.54,60.49,60.49,17850,Block Valve  BV 7.14 (377+16),64731.58,Block Valve - I-5 (1235+58),23698.85,16,0.25,,52000, 11:20,,,,,,,,,,1170,,,1170,,,,,,,35.5285297,-119.4956547,250.5,GIRTH WELD,,,,MFL/CLP,,
4805,Weld,,,102432.61,1006+12,60.49,60.9,60.9,17860,Block Valve  BV 7.14 (377+16),64792.07,Block Valve - I-5 (1235+58),23638.36,16,0.25,,52000, 01:32,,,,,,,,,,1170,,,1170,,,,,,,35.5285293,-119.4958581,250.6,GIRTH WELD,,,,MFL/CLP,,
4806,Weld,,,102493.5,1006+71,60.9,60.92,60.92,17870,Block Valve  BV 7.14 (377+16),64852.97,Block Valve - I-5 (1235+58),23577.46,16,0.25,,52000, 11:36,,,,,,,,,,1170,,,1170,,,,,,,35.5285294,-119.4960627,250.1,GIRTH WELD,,,,MFL/CLP,,
4807,Weld,,,102554.42,1007+30,60.92,60.56,60.56,17880,Block Valve  BV 7.14 (377+16),64913.89,Block Valve - I-5 (1235+58),23516.54,16,0.25,,52000, 01:08,,,,,,,,,,1170,,,1170,,,,,,,35.5285291,-119.4962675,250.2,GIRTH WELD,,,,MFL/CLP,,
4808,Weld,,,102614.98,1007+89,60.56,60.52,60.53,17890,Block Valve  BV 7.14 (377+16),64974.45,Block Valve - I-5 (1235+58),23455.98,16,0.25,,52000, 11:40,,,,,,,,,,1170,,,1170,,,,,,,35.528529,-119.496471,249.9,GIRTH WELD,,,,MFL/CLP,,
4809,Weld,,,102675.5,1008+47,60.53,58.13,58.13,17900,Block Valve  BV 7.14 (377+16),65034.97,Block Valve - I-5 (1235+58),23395.46,16,0.25,,52000, 01:20,,,,,,,,,,1170,,,1170,,,,,,,35.5285276,-119.4966744,249.3,GIRTH WELD,,,,MFL/CLP,,
4810,Weld - Change in wall thickness,,,102733.64,1009+04,58.13,3.07,3.07,17910,Block Valve  BV 7.14 (377+16),65093.1,Block Valve - I-5 (1235+58),23337.33,16,0.312,,60000, 12:00,,,,,,,,,,1170,,,1685,,,,,,,35.5285259,-119.4968698,249.5,GIRTH WELD NWT 0.250/0.312IN,,,,MFL/CLP,,
4811,Weld - Change in wall thickness,,,102736.7,1009+07,3.07,60.88,60.88,17920,Block Valve  BV 7.14 (377+16),65096.17,Block Valve - I-5 (1235+58),23334.26,16,0.25,,52000, 10:44,,,,,,,,,,1170,,,1170,,,,,,,35.5285259,-119.4968801,249.5,GIRTH WELD NWT 0.312/0.250IN,,,,MFL/CLP,,
4812,Weld,,,102797.58,1009+66,60.88,60.9,60.9,17930,Block Valve  BV 7.14 (377+16),65157.05,Block Valve - I-5 (1235+58),23273.38,16,0.25,,52000, 12:44,,,,,,,,,,1170,,,1170,,,,,,,35.5285255,-119.4970847,249.1,GIRTH WELD,,,,MFL/CLP,,
4813,Weld,,,102858.48,1010+25,60.9,60.85,60.85,17940,Block Valve  BV 7.14 (377+16),65217.95,Block Valve - I-5 (1235+58),23212.48,16,0.25,,52000, 10:52,,,,,,,,,,1170,,,1170,,,,,,,35.528525,-119.4972894,248.8,GIRTH WELD,,,,MFL/CLP,,
4814,Weld,,,102919.33,1010+84,60.85,60.42,60.42,17950,Block Valve  BV 7.14 (377+16),65278.8,Block Valve - I-5 (1235+58),23151.63,16,0.25,,52000, 12:40,,,,,,,,,,1170,,,1170,,,,,,,35.5285244,-119.4974939,248.8,GIRTH WELD,,,,MFL/CLP,,
4815,Weld,,,102979.75,1011+43,60.42,60.82,60.82,17960,Block Valve  BV 7.14 (377+16),65339.22,Block Valve - I-5 (1235+58),23091.21,16,0.25,,52000, 11:04,,,,,,,,,,1170,,,1170,,,,,,,35.528524,-119.497697,248.6,GIRTH WELD,,,,MFL/CLP,,
4816,Weld,,,103040.58,1012+02,60.82,60.83,60.82,17970,Block Valve  BV 7.14 (377+16),65400.05,Block Valve - I-5 (1235+58),23030.38,16,0.25,,52000, 12:48,,,,,,,,,,1170,,,1170,,,,,,,35.5285236,-119.4979014,248.5,GIRTH WELD,,,,MFL/CLP,,
4817,Weld,,,103101.4,1012+61,60.82,60.81,60.81,17980,Block Valve  BV 7.14 (377+16),65460.87,Block Valve - I-5 (1235+58),22969.56,16,0.25,,52000, 10:52,,,,,,,,,,1170,,,1170,,,,,,,35.5285227,-119.4981058,248.6,GIRTH WELD,,,,MFL/CLP,,
