Feature Number (sequential order),Pipeline Feature,Empty odl Standard featurename,INT/ EXT (ID/OD),Odometer,Station Number,Distance to U/S weld,Distance to D/S weld,Joint Length,Defect Joint Number,Upstream (U/S) Reference name,US Dist from,Downstream (D/S) Reference name ,ds distance to,Diameter,Nominal Wall Thickness,Measured Wall Thickness,Pipe Grade (SMYS),Long Seam Orientation,Metal Loss Depth,Metal Loss Depth,Deformation Depth,Deformation Depth,Crack Depth,Crack Depth,Length,Width,Orientation,MOP,Modified B31.G PBURST,Modified B31.G PSAFE,Design Pressure (72% SMYS),ERF MOP _SAFE,RPR PBURST    /      100% SMYS,Effective Area pburst,effsagepsafe,Group Number,Group Category,Nad 83 Latitude,NAD 83 Longitude,NAVD88 Elevation,Comments,POF classification,Excavation/ Repair Required,SPLC Notes,Tool Type/ Technology,Length/A (x),Width/A (y)
30,Repair - Welded sleeve begin,,,167.48,01+68,33.32,27.06,60.37,60,Launch Valve - Rio Bravo Station (0+00),167.48,Block Valve  BV 7.14 (377+16),37473.05,16,0.25,,52000,,,,,,,,,,,1170,,,1170,,,,,,,35.4344847,-119.2699816,318.6,REPAIR-SHELL START,,,,MFL/CLP,,
31,Repair - Welded sleeve end,,,194.13,01+95,59.97,0.4,60.37,60,Launch Valve - Rio Bravo Station (0+00),194.13,Block Valve  BV 7.14 (377+16),37446.4,16,0.25,,52000,,,,,,,,,,,1170,,,1170,,,,,,,35.4344851,-119.2698919,319.3,REPAIR-SHELL END,,,,MFL/CLP,,
32,Weld,,,194.53,01+95,60.37,60.38,60.38,70,Launch Valve - Rio Bravo Station (0+00),194.53,Block Valve  BV 7.14 (377+16),37446,16,0.25,,52000, 09:24,,,,,,,,,,1170,,,1170,,,,,,,35.4344851,-119.2698906,319.3,GIRTH WELD,,,,MFL/CLP,,
33,Off take,,,236.02,02+36,41.49,18.89,60.38,70,Launch Valve - Rio Bravo Station (0+00),236.02,Block Valve  BV 7.14 (377+16),37404.51,16,0.25,,52000,,,,,,,,,, 12:00,1170,,,1170,,,,,,,35.4344857,-119.2697509,320,1.0 IN OFFTAKE-WELDOLET,,,,MFL/CLP,,
34,Casing Begin,,,250.29,02+51,55.76,4.63,60.38,70,Launch Valve - Rio Bravo Station (0+00),250.29,Block Valve  BV 7.14 (377+16),37390.24,16,0.25,,52000,,,,,,,,,,,1170,,,1170,,,,,,,35.4344858,-119.2697029,320.4,CASING START,,,,MFL/CLP,,
35,Weld,,,254.92,02+55,60.38,60.13,60.13,80,Launch Valve - Rio Bravo Station (0+00),254.92,Block Valve  BV 7.14 (377+16),37385.62,16,0.25,,52000,,,,,,,,,,,1170,,,1170,,,,,,,35.4344859,-119.2696873,320.5,GIRTH WELD,,,,MFL/CLP,,
36,Casing End,,,307.48,03+08,52.57,7.57,60.13,80,Launch Valve - Rio Bravo Station (0+00),307.48,Block Valve  BV 7.14 (377+16),37333.05,16,0.25,,52000,,,,,,,,,,,1170,,,1170,,,,,,,35.434486,-119.2695104,320.4,CASING END,,,,MFL/CLP,,
37,Repair - Welded sleeve begin,,,309.72,03+10,54.8,5.33,60.13,80,Launch Valve - Rio Bravo Station (0+00),309.72,Block Valve  BV 7.14 (377+16),37330.81,16,0.25,,52000,,,,,,,,,,,1170,,,1170,,,,,,,35.4344859,-119.2695028,320.3,REPAIR-SHELL START,,,,MFL/CLP,,
38,Weld - Change in wall thickness,,,315.05,03+16,60.13,15.19,15.19,90,Launch Valve - Rio Bravo Station (0+00),315.05,Block Valve  BV 7.14 (377+16),37325.49,16,0.344,,52000,,,,,,,,,,,1170,,,1610,,,,,,,35.4344857,-119.2694849,320.1,GIRTH WELD NWT 0.250/0.344IN,,,,MFL/CLP,,
39,Bend,,,323.04,03+24,7.99,7.2,15.19,90,Launch Valve - Rio Bravo Station (0+00),323.04,Block Valve  BV 7.14 (377+16),37317.5,16,0.344,,52000,,,,,,,,,,,1170,,,1610,,,,,,,35.4344923,-119.2694603,319.9,7.0D 75 DEG BEND-HOT PULLED LEFT,,,,MFL/CLP,,
