Feature Number (sequential order),Vendor-Specific Feature Name,Standard Feature Name,INT/ EXT (ID/OD),Odometer,Station Number,Distance to U/S weld,Distance to D/S weld,Joint Length,Defect Joint Number,Upstream (U/S) Reference Name,Upstream (U/S) Reference Distance From,Downstream (D/S) Reference Name,Downstream (D/S) Reference Distance To,Diameter,Nominal Wall Thickness,Measured Wall Thickness,Pipe Grade (SMYS),Long Seam Orientation,Metal Loss Depth,Metal Loss Depth,Deformation Depth,Deformation Depth,Crack Depth,Crack Depth,Length,Width,Orientation,MOP,Modified B31.G Pburst,Modified B31.G Psafe,Design Pressure (72% SMYS),ERF,RPR,Effective Area Pburst,Effective Area Psafe,Group Number,Group Category,NAD 83 Latittude,NAD 83 Longititude,NAVD 88 elevation,Comments,POF classification,Excavation/ Repair Required,SPLC Notes,Tool Type/ Technology,Length/A (x),Width/A (y)
200,Weld,Weld - Longitudinal seam,,76.76,484+34,,,40.44,190,"Valve (Launcher), Sta. 485+11, Lost Hill 2",76.76,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,742.66",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6500598,-119.7453803,,,,,,MFL+DEF (xHD),,
210,Weld,Weld - Longitudinal seam,,117.2,483+94,,,40.78,200,"Valve (Launcher), Sta. 485+11, Lost Hill 2",117.2,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,702.22",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6500617,-119.7453821,,,,,,MFL+DEF (xHD),,
220,Weld,Weld - Longitudinal seam,,157.98,483+53,,,40.26,210,"Valve (Launcher), Sta. 485+11, Lost Hill 2",157.98,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,661.44",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6501433,-119.7454767,,,,,,MFL+DEF (xHD),,
230,Weld,Weld - Longitudinal seam,,198.24,483+13,,,40.83,220,"Valve (Launcher), Sta. 485+11, Lost Hill 2",198.24,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,621.18",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6502256,-119.7455727,,,,,,MFL+DEF (xHD),,
240,Weld,Weld - Longitudinal seam,,239.07,482+73,,,40.75,230,"Valve (Launcher), Sta. 485+11, Lost Hill 2",239.07,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,580.36",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6503083,-119.7456682,,,,,,MFL+DEF (xHD),,
250,Weld,Weld - Longitudinal seam,,279.82,482+32,,,40.66,240,"Valve (Launcher), Sta. 485+11, Lost Hill 2",279.82,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,539.61",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.65039,-119.7457632,,,,,,MFL+DEF (xHD),,
260,Weld,Weld - Longitudinal seam,,320.48,481+91,,,40.72,250,"Valve (Launcher), Sta. 485+11, Lost Hill 2",320.48,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,498.95",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6504714,-119.7458578,,,,,,MFL+DEF (xHD),,
40000000,Metal Loss,Anomaly - Corrosion cluster,External,320.51,481+91,0.06,40.66,40.72,260,"Valve (Launcher), Sta. 485+11, Lost Hill 2",320.51,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,498.91",8.625,0.25,,56000,,24,0.061,,,,,0.567,0.603,4:30,1440,3783,2724,2337,0.529,1.165,3773,2716,,,35.6504715,-119.7458579,,Metal Loss,PITT,,,MFL+DEF (xHD),,
40000001,Metal Loss,Anomaly - Corrosion cluster,External,320.56,481+91,0.14,40.58,40.72,260,"Valve (Launcher), Sta. 485+11, Lost Hill 2",320.56,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,498.86",8.625,0.25,,56000,,15,0.038,,,,,1.304,1.611,7:15,1440,3727,2683,2337,0.537,1.148,3707,2669,,,35.6504716,-119.745858,,Metal Loss,GENE,,,MFL+DEF (xHD),,
270,Weld,Weld - Longitudinal seam,,361.19,481+51,,,40.7,260,"Valve (Launcher), Sta. 485+11, Lost Hill 2",361.19,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,458.23",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6505535,-119.7459519,,,,,,MFL+DEF (xHD),,
280,Weld,Weld - Longitudinal seam,,401.9,481+10,,,40.76,270,"Valve (Launcher), Sta. 485+11, Lost Hill 2",401.9,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,417.52",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6506355,-119.7460442,,,,,,MFL+DEF (xHD),,
290,Weld,Weld - Longitudinal seam,,442.66,480+70,,,40.71,280,"Valve (Launcher), Sta. 485+11, Lost Hill 2",442.66,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,376.76",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6507172,-119.7461375,,,,,,MFL+DEF (xHD),,
