ILI Tool,PBF_ID,Adjstd Weld Number,Adjstd Milepost,Adjstd Sta,STA Diff,ODO Diff,Multiplier,Odometer (ft),Odometer Distance to Start of Box (ft),Feature Number,Feature Description,Distance to Nearest Weld (ft),Distance to Upstream Weld (ft),Distance to Downstream Weld (ft),Distance From Top of Pipe (ft),Distance to Nearest AGM (ft),Distance to Upstream AGM (ft),Distance to Downstream AGM (ft),WT (in),Max Depth (%),Max Depth + Tolerance (%),Length (in),Width (in),Oreintation (Degrees),Pipe Length (ft),Long Seam Orient. (Degrees),0.85DL Safe MAOP Rating (psig),0.85DL Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Safe MAOP Rating (psig),Eff. Area B31G of API579 Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Burst Press. Rating (psig),Eff. Area B31G of API579 Burst Press. Rating + Tolerance (psig),Latitude NAD83,Longitude NAD83,Elevation Above Mean Sea Level NAVD88 (ft),Comments,Pipe Size (in),Pipe Grade ,Pipe Type,MOP (psi)
MFL,648,217,2.058,108+85.5,,,,10863.66,10863.65,647,ML Ext,U0.81,0.81,52.70,1.98,D1319.11,2811.78,1319.11,0.344,12,22,0.27,0.75,170,53.51,,1919,1918,1918,1917,2664,2663,39.6194280,-75.6391811,43.1,,16.000,X52,ERW,960
MFL,649,217,2.067,109+38.8,,,,10915.88,10915.86,648,ML Ext Seam Adjacent,D0.48,53.03,0.48,4.15,D1266.89,2864.00,1266.89,0.344,18,28,0.43,0.40,357,53.51,,1916,1913,1915,1912,2660,2655,39.6195029,-75.6393397,43.8,Seam Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X52,ERW,960
MFL,650,218,2.067,109+39.3,,,,10916.36,,649,Weld,D52.79,53.51,52.79,,D1266.41,2864.48,1266.41,0.344,,,,,,52.79,252,,,,,,,39.6195036,-75.6393411,43.8,,16.000,X52,ERW,960
MFL,651,218,2.068,109+40.1,,,,10917.12,10917.09,650,ML Ext,U0.76,0.76,52.04,3.62,D1265.65,2865.24,1265.65,0.344,18,28,0.47,0.47,311,52.79,,1915,1912,1914,1910,2659,2653,39.6195047,-75.6393434,43.8,,16.000,X52,ERW,960
MFL,652,218,2.077,109+93.1,,,,10969.00,10968.97,651,ML Ext Weld Adjacent,D0.16,52.63,0.16,0.37,D1213.78,2917.12,1213.78,0.344,25,35,0.55,0.51,32,52.79,,1911,1906,1909,1902,2651,2642,39.6195803,-75.6394999,44.6,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X52,ERW,960
MFL,653,219,2.077,109+93.2,,,,10969.15,,652,Weld,D29.46,52.79,29.46,,D1213.62,2917.27,1213.62,0.344,,,,,,29.46,302,,,,,,,39.6195806,-75.6395005,44.6,,16.000,X52,ERW,960
MFL,654,220,2.083,110+23.3,,,,10998.61,,653,Weld,D26.67,29.46,26.67,,D1184.16,2946.73,1184.16,0.344,,,,,,26.67,132,,,,,,,39.6196238,-75.6395892,44.7,,16.000,X52,ERW,960
MFL,655,220,2.085,110+31.5,,,,11006.65,,654,Manufacturing Indication Int,U8.04,8.04,18.62,0.64,D1176.12,2954.77,1176.12,0.344,,,1.92,0.70,55,26.67,,,,,,,,39.6196356,-75.6396135,44.7,,16.000,X52,ERW,960
MFL,656,221,2.088,110+50.6,,,,11025.28,,655,Weld,U26.67,26.67,29.24,,D1157.49,2973.40,1157.49,0.344,,,,,,29.24,60,,,,,,,39.6196628,-75.6396696,44.7,,16.000,X52,ERW,960
MFL,657,221,2.094,110+80.2,,,,11054.26,11054.25,656,ML Ext Seam & Weld Adjacent,D0.26,28.98,0.26,0.24,D1128.51,3002.38,1128.51,0.344,12,22,0.35,0.45,21,29.24,,1918,1916,1918,1916,2663,2661,39.6197047,-75.6397575,44.3,Seam & Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X52,ERW,960
MFL,658,222,2.094,110+80.4,,,,11054.52,,657,Weld,D28.17,29.24,28.17,,D1128.26,3002.64,1128.26,0.344,,,,,,28.17,308,,,,,,,39.6197050,-75.6397583,44.2,,16.000,X52,ERW,960
MFL,659,223,2.099,111+09.2,,,,11082.69,,658,Weld,U28.17,28.17,34.94,,D1100.08,3030.81,1100.08,0.344,,,,,,34.94,351,,,,,,,39.6197460,-75.6398433,43.8,,16.000,X52,ERW,960
MFL,660,224,2.106,111+44.9,,,,11117.62,,659,Weld,U34.94,34.94,40.13,,D1065.15,3065.74,1065.15,0.344,,,,,,40.13,70,,,,,,,39.6197972,-75.6399486,43.4,,16.000,X52,ERW,960
MFL,661,225,2.113,111+85.9,,,,11157.75,,660,Weld,D35.70,40.13,35.70,,D1025.02,3105.87,1025.02,0.344,,,,,,35.70,75,,,,,,,39.6198553,-75.6400701,43.5,,16.000,X52,ERW,960
MFL,662,225,2.113,111+86.4,,,,11158.23,,661,Hard Spot,U0.48,0.48,35.22,0.54,D1024.54,3106.35,1024.54,0.344,,,1.88,14.63,46,35.70,,,,,,,,39.6198560,-75.6400716,43.5,,16.000,X52,ERW,960
MFL,663,226,2.120,112+22.3,,,,11193.45,,662,Weld,D5.08,35.70,5.08,,D989.32,3141.57,989.32,0.344,,,,,,5.08,312,,,,,,,39.6199069,-75.6401781,43.4,,16.000,X52,ERW,960
MFL,664,227,2.121,112+27.5,,,,11198.53,,663,Weld,U5.08,5.08,38.51,,D984.24,3146.65,984.24,0.344,,,,,,38.51,313,,,,,,,39.6199142,-75.6401936,43.4,,16.000,X52,ERW,960
MFL,665,228,2.128,112+66.9,,,,11237.04,,664,Weld,D6.40,38.51,6.40,,D945.73,3185.16,945.73,0.344,,,,,,6.40,,,,,,,,39.6199699,-75.6403103,43.9,,16.000,X52,Elbow,960
MFL,666,228,2.129,112+70.0,696.00,686.01,1.01,11240.10,,665,90° 3D Right Forged Bend,U3.06,3.06,3.34,,D942.67,3188.22,942.67,0.344,,,,,91,6.40,,,,,,,,39.6199767,-75.6403161,44.0,,16.000,X52,Elbow,960
MFL,667,229,2.129,112+72.9,,,,11243.44,,666,Weld,U6.40,6.40,21.24,,D939.33,3191.56,939.33,0.344,,,,,,21.24,26,,,,,,,39.6199855,-75.6403140,44.1,,16.000,X52,ERW,960
MFL,668,229,2.132,112+85.9,,,,11258.74,,667,Tap,D5.94,15.30,5.94,0.00,D924.03,3206.86,924.03,0.344,,,,,0,21.24,,,,,,,,39.6200214,-75.6402862,44.3,,16.000,X52,ERW,960
MFL,669,230,2.133,112+91.0,,,,11264.68,,668,Weld; Begin 0.250in Wall API 5L X56 - ERW,D16.45,21.24,16.45,,D918.09,3212.80,918.09,0.250,,,,,,16.45,1,,,,,,,39.6200356,-75.6402752,44.4,,16.000,X56,ERW,960
MFL,670,230,2.136,113+02.2,,,,11275.88,,669,Stopple,D5.25,11.20,5.25,0.16,D906.89,3224.00,906.89,0.250,,,,,14,16.45,,,,,,,,39.6200619,-75.6402550,44.7,,16.000,X56,ERW,960
MFL,671,231,2.137,113+07.4,,,,11281.13,,670,Weld,U16.45,16.45,54.31,,D901.64,3229.25,901.64,0.250,,,,,,54.31,298,,,,,,,39.6200744,-75.6402454,44.9,,16.000,X56,ERW,960
MFL,672,232,2.147,113+61.6,,,,11335.44,,671,Weld,D50.68,54.31,50.68,,D847.33,3283.56,847.33,0.250,,,,,,50.68,18,,,,,,,39.6202028,-75.6401462,45.8,,16.000,X56,ERW,960
MFL,673,232,2.147,113+64.3,,,,11338.14,11338.11,672,ML Ext,U2.71,2.71,47.98,2.89,D844.63,3286.26,844.63,0.250,17,27,0.63,0.46,249,50.68,,1478,1472,1476,1469,2050,2040,39.6202092,-75.6401413,45.8,,16.000,X56,ERW,960
MFL,674,232,2.151,113+85.2,,,,11359.03,11359.00,673,ML Ext,U23.59,23.59,27.09,3.04,D823.74,3307.15,823.74,0.250,12,22,0.67,0.51,262,50.68,,1479,1474,1478,1471,2053,2043,39.6202584,-75.6401028,46.1,,16.000,X56,ERW,960
MFL,675,232,2.152,113+86.8,,,,11360.68,11360.64,674,ML Ext,U25.24,25.24,25.44,3.32,D822.09,3308.80,822.09,0.250,10,20,0.75,0.56,285,50.68,,1479,1473,1478,1470,2053,2042,39.6202623,-75.6400997,46.1,,16.000,X56,ERW,960
MFL,676,232,2.154,113+97.1,,,,11370.97,11370.95,675,ML Ext,D15.16,35.53,15.16,3.17,D811.81,3319.09,811.81,0.250,25,35,0.55,0.46,273,50.68,,1476,1471,1474,1467,2047,2037,39.6202866,-75.6400808,46.2,,16.000,X56,ERW,960
MFL,677,233,2.156,114+12.2,,,,11386.12,,676,Weld,U50.68,50.68,61.25,,D796.65,3334.24,796.65,0.250,,,,,,61.25,311,,,,,,,39.6203223,-75.6400532,46.5,,16.000,X56,ERW,960
MFL,678,233,2.164,114+51.7,,,,11425.61,11423.94,677,ML Cluster Ext Manufacturing Related; Seam Adjacent,D21.76,39.49,21.76,2.86,D757.16,3373.73,757.16,0.250,15,25,30.86,17.70,246,61.25,,1311,1193,1283,1145,1782,1590,39.6204158,-75.6399812,46.9,Seam & Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X56,ERW,960
MFL,679,234,2.168,114+73.4,,,,11447.37,,678,Weld,U61.25,61.25,61.32,,D735.40,3395.50,735.40,0.250,,,,,,61.32,24,,,,,,,39.6204673,-75.6399416,47.2,,16.000,X56,ERW,960
MFL,680,234,2.169,114+79.5,,,,11453.50,,679,Manufacturing Indication Int,U6.13,6.13,55.20,2.91,D729.27,3401.62,729.27,0.250,,,2.78,0.96,250,61.32,,,,,,,,39.6204818,-75.6399305,47.3,,16.000,X56,ERW,960
MFL,681,235,2.180,115+34.6,,,,11508.70,,680,Weld,U61.32,61.32,61.37,,D674.07,3456.82,674.07,0.250,,,,,,61.37,290,,,,,,,39.6206126,-75.6398309,48.1,,16.000,X56,ERW,960
MFL,682,236,2.191,115+95.9,,,,11570.07,,681,Weld,D61.30,61.37,61.30,,D612.70,3518.19,612.70,0.250,,,,,,61.30,,,,,,,,39.6207586,-75.6397212,49.7,,16.000,X56,ERW,960
MFL,683,237,2.203,116+57.1,,,,11631.37,,682,Weld,D60.98,61.30,60.98,,D551.40,3579.49,551.40,0.250,,,,,,60.98,6,,,,,,,39.6209045,-75.6396116,51.8,,16.000,X56,ERW,960
MFL,684,238,2.214,117+18.0,,,,11692.35,,683,Weld,U60.98,60.98,61.00,,D490.42,3640.47,490.42,0.250,,,,,,61.00,,,,,,,,39.6210486,-75.6395001,52.1,,16.000,X56,ERW,960
MFL,685,239,2.226,117+78.9,,,,11753.35,,684,Weld,D6.35,61.00,6.35,,D429.42,3701.47,429.42,0.250,,,,,,6.35,,,,,,,,39.6211911,-75.6393855,51.8,,16.000,X56,Elbow,960
MFL,686,239,2.227,117+82.0,512.00,516.39,0.99,11756.49,,685,90° 3D Left Forged Bend,U3.14,3.14,3.21,,D426.28,3704.61,426.28,0.250,,,,,268,6.35,,,,,,,,39.6211994,-75.6393841,51.7,,16.000,X56,Elbow,960
MFL,687,240,2.227,117+85.2,,,,11759.70,,686,Weld,U6.35,6.35,24.26,,D423.07,3707.82,423.07,0.250,,,,,,24.26,286,,,,,,,39.6212062,-75.6393907,51.5,,16.000,X56,ERW,960
MFL,688,241,2.232,118+09.8,,,,11783.96,,687,Weld,U24.26,24.26,61.02,,D398.81,3732.08,398.81,0.250,,,,,,61.02,,,,,,,,39.6212414,-75.6394641,50.5,,16.000,X56,ERW,960
MFL,689,241,2.239,118+50.8,,,,11824.54,11824.52,688,ML Int,D20.43,40.59,20.43,3.18,D358.23,3772.66,358.23,0.250,12,22,0.51,0.51,273,61.02,,1482,1478,1481,1477,2057,2051,39.6213000,-75.6395870,48.8,,16.000,X56,ERW,960
MFL,690,241,2.242,118+61.9,,,,11835.61,11835.60,689,ML Int,D9.37,51.65,9.37,3.46,D347.16,3783.73,347.16,0.250,12,22,0.39,0.51,298,61.02,,1483,1481,1483,1480,2059,2056,39.6213159,-75.6396204,48.3,,16.000,X56,ERW,960
MFL,691,242,2.243,118+71.4,,,,11844.98,,690,Weld,U61.02,61.02,61.03,,D337.80,3793.10,337.80,0.250,,,,,,61.03,,,,,,,,39.6213294,-75.6396487,47.9,,16.000,X56,ERW,960
MFL,692,243,2.255,119+33.1,,,,11906.01,,691,Weld,D55.69,61.03,55.69,,D276.76,3854.13,276.76,0.250,,,,,,55.69,,,,,,,,39.6214174,-75.6398336,46.3,,16.000,X56,ERW,960
MFL,693,243,2.265,119+88.8,,,,11961.18,11961.16,692,ML Cluster Ext,D0.52,55.17,0.52,2.78,D221.59,3909.30,221.59,0.250,12,22,0.35,2.59,239,55.69,,1483,1482,1483,1481,2060,2057,39.6214958,-75.6400020,45.8,,16.000,X56,ERW,960
MFL,694,243,2.265,119+89.0,,,,11961.33,11961.29,693,ML Cluster Ext Weld Adjacent,D0.36,55.33,0.36,2.80,D221.44,3909.45,221.44,0.250,12,22,0.90,2.33,241,55.69,,1475,1465,1474,1461,2047,2030,39.6214960,-75.6400025,45.8,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X56,ERW,960
MFL,695,243,2.265,119+89.2,,,,11961.57,11961.55,694,ML Ext Weld Adjacent,D0.13,55.56,0.13,2.80,D221.20,3909.69,221.20,0.250,12,22,0.47,0.51,241,55.69,,1482,1479,1482,1478,2058,2053,39.6214964,-75.6400032,45.8,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X56,ERW,960
MFL,696,244,2.265,119+89.3,,,,11961.70,,695,Weld,U55.69,55.69,61.18,,D221.08,3909.82,221.08,0.250,,,,,,61.18,336,,,,,,,39.6214965,-75.6400036,45.8,,16.000,X56,ERW,960
MFL,697,244,2.265,119+89.4,,,,11961.80,11961.79,696,ML Ext Weld Adjacent,U0.11,0.11,61.07,0.53,D220.97,3909.92,220.97,0.250,11,21,0.31,0.66,46,61.18,,1484,1483,1484,1482,2061,2058,39.6214967,-75.6400039,45.8,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X56,ERW,960
MFL,698,244,2.266,119+89.6,,,,11961.90,11961.88,697,ML Cluster Ext Weld Adjacent,U0.21,0.21,60.97,2.80,D220.87,3910.02,220.87,0.250,11,21,1.88,3.30,241,61.18,,1455,1424,1462,1439,2031,1998,39.6214968,-75.6400042,45.8,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X56,ERW,960
MFL,699,244,2.266,119+89.9,,,,11962.25,11962.22,698,ML Cluster Ext,U0.55,0.55,60.62,2.96,D220.52,3910.37,220.52,0.250,18,28,0.55,2.43,254,61.18,,1479,1474,1478,1473,2053,2045,39.6214973,-75.6400053,45.8,,16.000,X56,ERW,960
MFL,700,245,2.277,120+51.2,,,,12022.87,,699,Weld,U61.18,61.18,61.22,,D159.90,3970.99,159.90,0.250,,,,,,61.22,45,,,,,,,39.6215837,-75.6401899,46.0,,16.000,X56,ERW,960
MFL,701,245,2.287,121+03.9,,,,12075.11,12073.59,700,ML Cluster Ext Manufacturing Related; Seam Adjacent,D8.99,52.24,8.99,1.01,D107.66,4023.23,107.66,0.250,14,24,18.98,2.03,87,61.22,,1334,1222,1307,1174,1815,1631,39.6216582,-75.6403488,46.8,Seam & Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X56,ERW,960
MFL,702,245,2.289,121+12.4,,,,12083.50,12083.47,701,ML Cluster Ext,D0.59,60.63,0.59,2.91,D99.27,4031.63,99.27,0.250,14,24,0.71,3.85,250,61.22,,1478,1471,1477,1469,2051,2040,39.6216702,-75.6403745,46.9,,16.000,X56,ERW,960
MFL,703,245,2.289,121+12.5,,,,12083.55,12083.52,702,ML Ext,D0.54,60.68,0.54,1.77,D99.22,4031.67,99.22,0.250,10,20,0.47,0.76,153,61.22,,1483,1480,1482,1479,2059,2054,39.6216702,-75.6403746,46.9,,16.000,X56,ERW,960
MFL,704,245,2.289,121+12.7,,,,12083.76,12083.68,703,ML Cluster Ext Weld Adjacent,D0.34,60.89,0.34,1.73,D99.02,4031.88,99.02,0.250,11,21,1.88,1.52,149,61.22,,1455,1424,1467,1448,2037,2011,39.6216705,-75.6403752,46.9,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X56,ERW,960
MFL,705,245,2.289,121+12.9,,,,12083.98,12083.96,704,ML Cluster Ext Weld Adjacent,D0.11,61.11,0.11,2.86,D98.79,4032.10,98.79,0.250,23,33,0.47,2.42,246,61.22,,1479,1475,1478,1474,2053,2047,39.6216708,-75.6403758,47.0,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X56,ERW,960
MFL,706,246,2.289,121+13.0,,,,12084.09,,705,Weld,U61.22,61.22,61.37,,D98.68,4032.21,98.68,0.250,,,,,,61.37,333,,,,,,,39.6216710,-75.6403762,47.0,,16.000,X56,ERW,960
MFL,707,246,2.289,121+13.3,,,,12084.39,12084.21,706,ML Cluster Ext Weld Adjacent,U0.30,0.30,61.07,2.71,D98.38,4032.51,98.38,0.250,34,44,2.51,2.18,233,61.37,,1329,1266,1415,1378,1966,1914,39.6216714,-75.6403771,47.0,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X56,ERW,960
MFL,708,246,2.289,121+13.5,,,,12084.54,12084.52,707,ML Ext Weld Adjacent,U0.45,0.45,60.92,1.76,D98.23,4032.66,98.23,0.250,15,25,0.39,0.51,151,61.37,,1482,1480,1482,1479,2058,2054,39.6216716,-75.6403776,47.0,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X56,ERW,960
MFL,709,247,2.300,121+75.0,,,,12145.46,,708,Weld,D61.12,61.37,61.12,,D37.31,4093.58,37.31,0.250,,,,,,61.12,20,,,,,,,39.6217589,-75.6405628,47.4,,16.000,X56,ERW,960
MFL,710,247,2.307,122+12.7,,,,12182.77,,709,AGM 6,D23.81,37.31,23.81,,U4130.89,4130.89,10125.38,0.250,,,,,,61.12,,,,,,,,39.6218122,-75.6406763,47.6,,16.000,X52,ERW,960
MFL,711,248,2.312,122+36.8,,,,12206.58,,710,Weld,D6.13,61.12,6.13,,U23.81,23.81,10101.57,0.250,,,,,,6.13,,,,,,,,39.6218457,-75.6407490,48.0,,16.000,X56,Elbow,960
MFL,712,248,2.312,122+40.0,458.00,453.27,1.01,12209.76,,711,90° 3D Right Forged Bend,D2.94,3.19,2.94,,U26.99,26.99,10098.39,0.250,,,,,90,6.13,,,,,,,,39.6218528,-75.6407553,48.0,,16.000,X56,Elbow,960
MFL,713,249,2.313,122+42.9,,,,12212.71,,712,Weld,U6.13,6.13,61.27,,U29.94,29.94,10095.44,0.250,,,,,,61.27,346,,,,,,,39.6218605,-75.6407535,48.1,,16.000,X56,ERW,960
MFL,714,249,2.325,123+04.0,,,,12273.67,12273.65,713,ML Cluster Ext Weld Adjacent,D0.30,60.97,0.30,2.21,U90.90,90.90,10034.48,0.250,11,21,0.78,1.52,190,61.27,,1478,1471,1477,1467,2051,2038,39.6220049,-75.6406432,49.1,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X56,ERW,960
MFL,715,250,2.325,123+04.3,,,,12273.98,,714,Weld,D61.21,61.27,61.21,,U91.21,91.21,10034.17,0.250,,,,,,61.21,23,,,,,,,39.6220056,-75.6406427,49.1,,16.000,X56,ERW,960
MFL,716,250,2.325,123+04.6,,,,12274.21,12274.13,715,ML Cluster Ext Weld Adjacent,U0.23,0.23,60.98,2.27,U91.44,91.44,10033.94,0.250,17,27,1.96,8.37,196,61.21,,1434,1398,1442,1405,2003,1952,39.6220061,-75.6406423,49.1,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X56,ERW,960
MFL,717,250,2.325,123+04.6,,,,12274.24,12274.15,716,ML Cluster Ext Weld Adjacent,U0.27,0.27,60.95,3.50,U91.47,91.47,10033.91,0.250,12,22,1.29,2.89,301,61.21,,1467,1448,1465,1443,2035,2005,39.6220062,-75.6406422,49.1,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X56,ERW,960
MFL,718,250,2.325,123+05.3,,,,12274.99,12274.91,717,ML Cluster Ext,U1.01,1.01,60.21,2.47,U92.22,92.22,10033.16,0.250,12,22,1.37,9.69,212,61.21,,1465,1445,1462,1438,2031,1997,39.6220080,-75.6406409,49.1,,16.000,X56,ERW,960
MFL,719,251,2.336,123+65.7,,,,12335.19,,718,Weld,D61.19,61.21,61.19,,U152.42,152.42,9972.96,0.250,,,,,,61.19,,,,,,,,39.6221513,-75.6405337,49.1,,16.000,X56,ERW,960
MFL,720,252,2.348,124+26.9,,,,12396.38,,719,Weld,D61.04,61.19,61.04,,U213.61,213.61,9911.77,0.250,,,,,,61.04,350,,,,,,,39.6222976,-75.6404252,49.3,,16.000,X56,ERW,960
MFL,721,252,2.348,124+27.6,,,,12397.04,12396.73,720,ML Cluster Ext Weld Adjacent,U0.66,0.66,60.38,1.98,U214.27,214.27,9911.11,0.250,15,25,3.84,12.38,171,61.04,,1394,1325,1405,1325,1952,1840,39.6222992,-75.6404240,49.3,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X56,ERW,960
MFL,722,252,2.351,124+46.2,,,,12415.56,,721,Manufacturing Indication Int,U19.18,19.18,41.86,1.88,U232.79,232.79,9892.59,0.250,,,2.27,0.96,162,61.04,,,,,,,,39.6223432,-75.6403912,49.3,,16.000,X56,ERW,960
MFL,723,252,2.353,124+57.0,,,,12426.35,,722,MCP,U29.97,29.97,31.07,3.57,U243.58,243.58,9881.80,0.250,,,1.14,1.32,307,61.04,,,,,,,,39.6223688,-75.6403720,49.3,Close Metal Object,16.000,X56,ERW,960
MFL,724,252,2.356,124+70.0,,,,12439.32,12439.23,723,ML Cluster Ext,D18.10,42.94,18.10,3.53,U256.55,256.55,9868.83,0.250,19,29,1.18,0.60,304,61.04,,1459,1441,1472,1461,2045,2029,39.6223997,-75.6403489,49.2,,16.000,X56,ERW,960
MFL,725,252,2.357,124+73.2,,,,12442.57,12442.56,724,ML Ext Seam Adjacent,D14.85,46.19,14.85,3.68,U259.80,259.80,9865.58,0.250,27,37,0.43,0.39,316,61.04,,1479,1475,1477,1473,2052,2045,39.6224074,-75.6403431,49.2,Seam Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X56,ERW,960
MFL,726,252,2.359,124+87.6,,,,12456.96,,725,Marker Band Start,D0.46,60.58,0.46,,U274.19,274.19,9851.19,0.250,,,,,,61.04,,,,,,,,39.6224418,-75.6403176,49.2,,16.000,X56,ERW,960
MFL,727,252,2.359,124+87.7,,,,12457.01,12456.99,726,ML Ext Weld Adjacent; Between Marker Bands,D0.41,60.63,0.41,2.11,U274.24,274.24,9851.14,0.250,34,44,0.51,0.50,181,61.04,,1473,1468,1470,1462,2042,2031,39.6224419,-75.6403175,49.2,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X56,ERW,960
MFL,728,253,2.359,124+88.1,,,,12457.42,,727,Weld Between Marker Bands,U61.04,61.04,61.24,,U274.65,274.65,9850.73,0.250,,,,,,61.24,313,,,,,,,39.6224428,-75.6403168,49.2,Between Marker Bands,16.000,X56,ERW,960
MFL,729,253,2.359,124+88.4,,,,12457.69,,728,Marker Band End,U0.28,0.28,60.96,,U274.92,274.92,9850.46,0.250,,,,,,61.24,,,,,,,,39.6224435,-75.6403163,49.2,,16.000,X56,ERW,960
MFL,730,253,2.368,125+35.0,,,,12504.29,12504.28,729,ML Ext Seam Adjacent,D14.37,46.87,14.37,3.60,U321.52,321.52,9803.86,0.250,12,22,0.39,0.56,309,61.24,,1483,1481,1483,1480,2059,2056,39.6225545,-75.6402330,49.2,Seam Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X56,ERW,960
MFL,731,253,2.371,125+48.3,,,,12517.52,,730,Marker Band Start,D1.13,60.10,1.13,,U334.75,334.75,9790.63,0.250,,,,,,61.24,,,,,,,,39.6225858,-75.6402091,49.1,,16.000,X56,ERW,960
MFL,732,253,2.371,125+48.4,,,,12517.63,12517.61,731,ML Cluster Ext Seam Adjacent; Between Marker Bands,D1.03,60.21,1.03,4.08,U334.86,334.86,9790.52,0.250,23,33,1.65,1.95,351,61.24,,1429,1397,1465,1451,2035,2016,39.6225861,-75.6402089,49.1,Seam Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X56,ERW,960
MFL,733,253,2.371,125+49.0,,,,12518.24,12518.18,732,ML Cluster Ext Weld Adjacent; Between Marker Bands,D0.42,60.82,0.42,2.30,U335.47,335.47,9789.91,0.250,43,53,3.84,6.75,198,61.24,,1181,1087,1373,1321,1908,1835,39.6225875,-75.6402078,49.1,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X56,ERW,960
MFL,734,253,2.371,125+49.4,,,,12518.62,,733,Marker Band End,D0.04,61.20,0.04,,U335.85,335.85,9789.53,0.250,,,,,,61.24,,,,,,,,39.6225884,-75.6402071,49.1,,16.000,X56,ERW,960
MFL,735,254,2.371,125+49.4,,,,12518.66,,734,Weld,D58.41,61.24,58.41,,U335.89,335.89,9789.49,0.250,,,,,,58.41,17,,,,,,,39.6225886,-75.6402070,49.1,,16.000,X56,ERW,960
MFL,736,255,2.382,126+08.0,,,,12577.07,,735,Weld,U58.41,58.41,61.40,,U394.30,394.30,9731.08,0.250,,,,,,61.40,,,,,,,,39.6227262,-75.6400998,49.4,,16.000,X56,ERW,960
MFL,737,255,2.382,126+08.4,,,,12577.53,,736,MCP,U0.46,0.46,60.94,2.71,U394.76,394.76,9730.62,0.250,,,2.16,3.40,233,61.40,,,,,,,,39.6227273,-75.6400989,49.4,Close Metal Object,16.000,X56,ERW,960
MFL,738,255,2.384,126+17.4,,,,12586.45,12586.42,737,ML Ext,U9.38,9.38,52.02,1.37,U403.68,403.68,9721.70,0.250,19,29,0.55,0.41,118,61.40,,1479,1474,1477,1471,2052,2043,39.6227483,-75.6400825,49.7,,16.000,X56,ERW,960
MFL,739,255,2.384,126+19.0,,,,12588.04,,738,MCP,U10.97,10.97,50.43,3.61,U405.27,405.27,9720.11,0.250,,,2.00,2.08,310,61.40,,,,,,,,39.6227520,-75.6400797,49.7,Close Metal Object,16.000,X56,ERW,960
MFL,740,255,2.389,126+45.7,,,,12614.73,12614.70,739,ML Ext,D23.73,37.67,23.73,0.23,U431.96,431.96,9693.42,0.250,17,27,1.06,0.66,20,61.40,,1466,1451,1462,1444,2030,2005,39.6228149,-75.6400307,50.7,,16.000,X56,ERW,960
MFL,741,256,2.394,126+69.5,,,,12638.47,,740,Weld,D61.14,61.40,61.14,,U455.70,455.70,9669.68,0.250,,,,,,61.14,89,,,,,,,39.6228706,-75.6399865,51.0,,16.000,X56,ERW,960
MFL,742,256,2.405,127+28.8,,,,12697.67,12697.65,741,ML Cluster Ext,D1.93,59.20,1.93,0.17,U514.90,514.90,9610.48,0.250,17,27,0.59,1.27,15,61.14,,1478,1474,1477,1471,2052,2043,39.6230097,-75.6398773,51.5,,16.000,X56,ERW,960
MFL,743,257,2.405,127+30.7,,,,12699.61,,742,Weld,D61.03,61.14,61.03,,U516.83,516.83,9608.55,0.250,,,,,,61.03,,,,,,,,39.6230143,-75.6398737,51.5,,16.000,X56,ERW,960
MFL,744,257,2.413,127+73.0,,,,12741.83,12741.82,743,ML Cluster Ext,D18.80,42.23,18.80,4.03,U559.06,559.06,9566.32,0.250,23,33,0.71,0.58,347,61.03,,1472,1464,1474,1466,2047,2036,39.6231138,-75.6397959,51.9,,16.000,X56,ERW,960
