Tool,"Weld
Number","Approx.
Milepost
(miles)","Approx. 
Map Station 
(ft)","Odometer
(ft)","Feature
Number",Feature Description,"Distance to
Nearest
Weld
(ft)","Distance
to
Upstream
Weld
(ft)","Distance
to
Down-
Stream
Weld
(ft)","Distance
to
Nearest
AGM
(ft)","Distance
to
Upstream
AGM
(ft)","Distance
to Down-
Stream
AGM
(ft)","WT
(in)","Max
Depth
(%)","Seam Weld
Interaction","Length
(in)","Width
(in)","Orient
(deg)","Pipe
Length
(ft)","Long
Seam
Orient
(deg)",Adjacent to Long Seam,"0.85DL 
B31.G 
Safe MAOP 
Rating 
(psig)","Eff. Area 
Safe MAOP 
Rating 
(psig)","Eff. Area 
Burst Press. 
Rating 
(psig)","Max
Depth w/ Tolerance 
(%)","0.85DL
B31.G
Safe MAOP
Rating w/
Tolerance
(psig)","Eff. Area
Safe MAOP
Rating w/
Tolerance
(psig)","Eff. Area
Burst Press.
Rating w/
Tolerance
(psig)","Latitude 
NAD83","Longitude 
NAD83","Elevation 
Above Sea Level 
(ft) NAVD88",Comments/Rationale,Multiple Apex Dent
MFL,,2.809,149+68,14832.55,40001454,ml-int,U1.42,1.42,57.39,U1573.24,1573.24,3092.16,0.219,10,N,0.80,0.51,20,,,N,2248,2244,3117,20,2225,2216,3078,35.0762719,-119.3618956,589.7,,
MFL,,2.813,149+90,14854.18,40001455,ml-ext,U23.05,23.05,35.76,U1594.87,1594.87,3070.53,0.219,10,N,0.48,0.52,259,,,N,2259,2258,3136,20,2250,2247,3121,35.0762722,-119.3618236,589.4,,
MFL,,2.813,149+90,14854.51,40001456,ml-ext,U23.38,23.38,35.43,U1595.20,1595.20,3070.20,0.219,16,N,0.78,0.98,84,,,N,2236,2230,3097,26,2212,2199,3054,35.0762722,-119.3618225,589.4,,
MFL,,2.813,149+91,14855.17,10000075,u/s marker band,U24.04,24.04,34.77,U1595.85,1595.85,3069.54,0.219,,,,,,,,,,,,,,,,35.0762724,-119.3617966,589.4,,
MFL,,2.814,149+91,14855.53,40001457,ml-ext - between marker bands,U24.39,24.39,34.41,U1596.21,1596.21,3069.18,0.219,10,N,0.41,0.38,319,,,N,2261,2260,3139,20,2255,2252,3128,35.0762722,-119.3618191,589.4,,
MFL,,2.814,149+93,14857.29,40001459,ml-ext - between marker bands,U26.15,26.15,32.65,U1597.97,1597.97,3067.42,0.219,14,N,0.59,0.55,329,,,N,2251,2248,3122,24,2237,2230,3097,35.0762722,-119.3618133,589.4,,
MFL,,2.814,149+93,14857.39,40001458,ml-ext - between marker bands,U26.25,26.25,32.56,U1598.07,1598.07,3067.32,0.219,23,N,3.05,0.90,289,,,N,2017,2179,3026,33,1893,2050,2847,35.0762722,-119.3618130,589.4,,
MFL,,2.814,149+93,14857.80,40001460,ml-ext - between marker bands,U26.67,26.67,32.14,U1598.48,1598.48,3066.91,0.219,40,N,1.87,1.54,299,,,N,1948,2124,2950,50,1836,2024,2810,35.0762722,-119.3618116,589.4,,
MFL,,2.814,149+94,14858.06,40001461,ml-ext - between marker bands,U26.93,26.93,31.88,U1598.75,1598.75,3066.65,0.219,16,N,0.75,0.43,284,,,N,2238,2232,3099,26,2215,2203,3059,35.0762722,-119.3618107,589.4,,
MFL,,2.814,149+94,14858.65,40001462,ml-ext - between marker bands,U27.51,27.51,31.29,U1599.33,1599.33,3066.06,0.219,16,N,1.10,2.11,304,,,N,2213,2202,3058,26,2172,2150,2986,35.0762723,-119.3618088,589.4,,
MFL,,2.815,150+01,14865.23,40001463,ml-ext - between marker bands,D24.71,34.10,24.71,U1605.91,1605.91,3059.48,0.219,31,N,2.35,1.62,339,,,N,1979,2079,2887,41,1862,1955,2715,35.0762724,-119.3617868,589.4,,
MFL,,2.816,150+03,14866.80,40001464,ml-ext - between marker bands,D23.14,35.67,23.14,U1607.48,1607.48,3057.91,0.219,10,N,0.46,0.33,244,,,N,2260,2259,3137,20,2252,2248,3123,35.0762725,-119.3617816,589.4,,
MFL,,2.816,150+04,14868.68,40001465,ml-ext - between marker bands,D21.26,37.54,21.26,U1609.36,1609.36,3056.03,0.219,19,N,0.92,1.02,204,,,N,2216,2205,3062,29,2182,2162,3002,35.0762726,-119.3617754,589.4,,
MFL,,2.816,150+05,14869.46,10000075,d/s marker band,D20.49,38.32,20.49,U1610.14,1610.14,3055.26,0.219,,,,,,,,,,,,,,,,35.0762724,-119.3617966,589.4,,
MFL,318,2.820,150+26,14889.94,,WELD,,,,,,,0.219,,,,,,58.94,,,,,,,,,,35.0762734,-119.3617046,589.6,,
MFL,319,2.831,150+85,14948.89,,WELD,,,,,,,0.219,,,,,,59.43,,,,,,,,,,35.0762768,-119.3615084,590.1,,
MFL,320,2.842,151+44,15008.31,,WELD,,,,,,,0.219,,,,,,59.04,,,,,,,,,,35.0762720,-119.3613108,589.9,,
MFL,,2.844,151+52,15017.45,10000076,"Bend left - 10 deg., 23D ",U9.14,9.14,49.90,U1758.13,1758.13,2907.26,0.219,,,,,,,,,,,,,,,,35.0762708,-119.3612804,589.7,,
MFL,,2.849,151+78,15041.33,40001466,ml-ext,D26.02,33.02,26.02,U1782.02,1782.02,2883.38,0.219,10,N,0.99,1.74,277,,,N,2239,2234,3103,20,2207,2194,3048,35.0762706,-119.3612009,589.4,,
MFL,,2.849,151+78,15041.70,40001467,ml-ext,D25.65,33.39,25.65,U1782.39,1782.39,2883.01,0.219,13,N,0.72,0.64,342,,,N,2245,2240,3111,23,2224,2215,3076,35.0762706,-119.3611996,589.4,,
MFL,,2.849,151+80,15043.51,40001468,ml-ext,D23.85,35.20,23.85,U1784.19,1784.19,2881.20,0.219,10,N,0.95,0.71,347,,,N,2242,2237,3106,20,2212,2200,3055,35.0762705,-119.3611936,589.4,,
MFL,,2.849,151+80,15044.20,40001469,ml-ext,D23.16,35.89,23.16,U1784.88,1784.88,2880.51,0.219,15,N,0.78,0.55,12,,,N,2239,2234,3102,25,2216,2204,3061,35.0762705,-119.3611913,589.4,,
MFL,321,2.854,152+04,15067.35,,WELD,,,,,,,0.219,,,,,,58.65,,,,,,,,,,35.0762704,-119.3611142,589.6,,
MFL,322,2.865,152+63,15126.00,,WELD,,,,,,,0.219,,,,,,59.43,,,,,,,,,,35.0762708,-119.3609190,589.5,,
MFL,,2.868,152+78,15141.03,40001470,ml-int,U15.02,15.02,44.40,U1881.71,1881.71,2783.68,0.219,14,N,0.64,0.64,148,,,N,2248,2244,3116,24,2231,2223,3087,35.0762708,-119.3608690,589.3,,
MFL,323,2.876,153+22,15185.43,,WELD,,,,,,,0.219,,,,,,59.46,,,,,,,,,,35.0762705,-119.3607212,588.6,,
MFL,,2.878,153+33,15195.93,40001471,ml-ext,U10.50,10.50,48.96,U1936.61,1936.61,2728.78,0.219,13,N,0.68,0.50,322,,,N,2247,2243,3115,23,2229,2220,3083,35.0762705,-119.3606862,588.7,,
MFL,,2.883,153+58,15221.37,40001472,ml-int,D23.52,35.94,23.52,U1962.05,1962.05,2703.34,0.219,11,N,0.48,0.47,147,,,N,2258,2257,3134,21,2249,2245,3118,35.0762705,-119.3606015,589.0,,
MFL,324,2.887,153+82,15244.89,,WELD,,,,,,,0.219,,,,,,59.08,,,,,,,,,,35.0762709,-119.3605232,589.1,,
MFL,,2.891,154+01,15263.92,40001473,ml-ext,U19.03,19.03,40.06,U2004.60,2004.60,2660.79,0.219,15,N,0.63,0.56,188,,,N,2248,2244,3116,25,2231,2223,3088,35.0762713,-119.3604599,589.5,,
MFL,325,2.898,154+41,15303.97,,WELD,,,,,,,0.219,,,,,,59.44,,,,,,,,,,35.0762722,-119.3603269,591.8,,
MFL,326,2.910,155+01,15363.41,,WELD,,,,,,,0.219,,,,,,56.38,,,,,,,,,,35.0762734,-119.3601302,598.0,,
MFL,,2.911,155+07,15369.43,40001474,ml-int,U6.02,6.02,50.37,U2110.11,2110.11,2555.28,0.219,10,N,0.41,0.41,142,,,N,2261,2260,3139,20,2255,2252,3128,35.0762735,-119.3601103,598.6,,
MFL,,2.911,155+07,15369.91,40001475,ml-int,U6.50,6.50,49.88,U2110.59,2110.59,2554.80,0.219,12,N,0.15,0.33,142,,,N,2266,2266,3147,22,2265,2264,3145,35.0762735,-119.3601087,598.7,,
MFL,,2.911,155+08,15370.36,40001476,ml-int,U6.95,6.95,49.43,U2111.04,2111.04,2554.35,0.219,14,N,0.39,0.33,142,,,N,2260,2258,3137,24,2253,2250,3125,35.0762735,-119.3601072,598.7,,
MFL,,2.911,155+08,15371.12,40001477,ml-int,U7.71,7.71,48.67,U2111.81,2111.81,2553.59,0.219,10,N,0.37,0.33,142,,,N,2262,2261,3141,20,2257,2254,3131,35.0762735,-119.3601047,598.8,,
MFL,327,2.920,155+57,15419.79,,WELD,,,,,,,0.219,,,,,,58.67,,,,,,,,,,35.0762741,-119.3599430,600.1,,
MFL,328,2.932,156+16,15478.46,,WELD,,,,,,,0.219,,,,,,59.54,,,,,,,,,,35.0762733,-119.3597477,599.5,,
MFL,329,2.943,156+76,15538.00,,WELD,,,,,,,0.219,,,,,,59.24,,,,,,,,,,35.0762729,-119.3595496,600.7,,
MFL,330,2.954,157+35,15597.24,,WELD,,,,,,,0.219,,,,,,59.41,,,,,,,,,,35.0762739,-119.3593530,596.0,,
MFL,,2.955,157+39,15600.67,13000008,MCP,U3.43,3.43,55.97,D2324.04,2341.36,2324.04,,,,3,4,221,,,,,,,,,,,35.0762740,-119.3593416,595.6,,
MFL,331,2.965,157+95,15656.65,,WELD,,,,,,,0.219,,,,,,59.16,,,,,,,,,,35.0762748,-119.3591563,589.6,,
MFL,332,2.976,158+54,15715.81,,WELD,,,,,,,0.219,,,,,,59.33,,,,,,,,,,35.0762751,-119.3589596,586.7,,
MFL,333,2.988,159+14,15775.13,,WELD,,,,,,,0.219,,,,,,59.46,,,,,,,,,,35.0762746,-119.3587621,585.7,,
MFL,334,2.999,159+73,15834.60,,WELD,,,,,,,0.219,,,,,,59.44,,,,,,,,,,35.0762739,-119.3585644,588.4,,
MFL,,3.000,159+77,15838.20,40001478,ml-int,U3.60,3.60,55.83,D2086.51,2578.88,2086.51,0.219,10,N,0.41,0.41,131,,,N,2261,2260,3139,20,2254,2251,3127,35.0762739,-119.3585525,588.6,,
MFL,335,3.010,160+33,15894.03,,WELD,,,,,,,0.219,,,,,,59.39,,,,,,,,,,35.0762739,-119.3583668,591.0,,
MFL,336,3.021,160+93,15953.42,,WELD,,,,,,,0.219,,,,,,59.25,,,,,,,,,,35.0762750,-119.3581693,590.8,,
MFL,,3.028,161+28,15989.09,13000009,MCP,D23.57,35.67,23.57,D1935.62,2729.78,1935.62,,,,6,3,317,,,,,,,,,,,35.0762751,-119.3580509,587.6,,
MFL,337,3.033,161+52,16012.67,,WELD,,,,,,,0.219,,,,,,58.68,,,,,,,,,,35.0762747,-119.3579729,585.1,,
MFL,338,3.044,162+11,16071.35,,WELD,,,,,,,0.219,,,,,,59.52,,,,,,,,,,35.0762725,-119.3577783,579.9,,
MFL,339,3.055,162+71,16130.87,,WELD,,,,,,,0.219,,,,,,59.29,,,,,,,,,,35.0762708,-119.3575802,578.5,,
MFL,340,3.066,163+30,16190.16,,WELD,,,,,,,0.219,,,,,,59.44,,,,,,,,,,35.0762699,-119.3573829,579.6,,
MFL,,3.070,163+46,16208.56,10000077,"Bend left-down - 10 deg., 49D ",U18.40,18.40,41.03,D1716.15,2949.25,1716.15,0.219,,,,,,,,,,,,,,,,35.0762699,-119.3573217,580.3,,
MFL,341,3.078,163+90,16249.59,,WELD,,,,,,,0.219,,,,,,59.48,,,,,,,,,,35.0762700,-119.3571855,577.3,,
MFL,,3.079,163+98,16257.97,13000010,MCP,U8.37,8.37,51.11,D1666.74,2998.65,1666.74,,,,6,4,279,,,,,,,,,,,35.0762701,-119.3571577,576.5,,
MFL,,3.084,164+26,16285.38,13000011,MCP,D23.70,35.79,23.70,D1639.33,3026.06,1639.33,,,,2,4,244,,,,,,,,,,,35.0762704,-119.3570668,574.1,,
MFL,342,3.089,164+49,16309.08,,WELD,,,,,,,0.219,,,,,,59.50,,,,,,,,,,35.0762703,-119.3569882,571.8,,
MFL,,3.099,165+03,16362.49,40001479,ml-ext,D6.09,53.42,6.09,D1562.22,3103.18,1562.22,0.219,10,N,1.13,0.94,233,,,N,2234,2227,3093,20,2195,2179,3027,35.0762699,-119.3568111,566.8,,
MFL,343,3.100,165+09,16368.58,,WELD,,,,,,,0.219,,,,,,36.10,,,,,,,,,,35.0762697,-119.3567909,566.5,,
MFL,,3.106,165+42,16401.30,40001480,ml-ext,D3.37,32.72,3.37,D1523.41,3141.99,1523.41,0.219,10,N,0.58,0.47,137,,,N,2256,2254,3130,20,2243,2238,3108,35.0762688,-119.3566820,566.0,,
MFL,344,3.107,165+45,16404.68,,WELD - WT Change - Begin 0.322 ERW,,,,,,,0.322,,,,,,1.12,,,,,,,,,,35.0762687,-119.3566707,566.0,,
MFL,345,3.107,165+46,16405.79,,WELD,,,,,,,0.322,,,,,,1.15,,,,,,,,,,35.0762687,-119.3566670,566.0,,
MFL,,3.107,165+47,16406.35,10000078,Tee at 270 deg.,U0.55,0.55,0.60,D1518.36,3147.03,1518.36,0.322,,,8,4,313,,,,,,,,,,,35.0762687,-119.3566652,566.0,,
MFL,346,3.107,165+47,16406.95,,WELD,,,,,,,0.322,,,,,,1.07,,,,,,,,,,35.0762687,-119.3566632,566.0,,
MFL,347,3.108,165+49,16408.02,,WELD - WT Change - Begin 0.219 ERW,,,,,,,0.219,,,,,,22.58,,,,,,,,,,35.0762687,-119.3566596,566.0,,
MFL,,3.109,165+54,16413.16,40001481,ml-int,U5.14,5.14,17.44,D1511.55,3153.84,1511.55,0.219,10,N,0.29,0.36,143,,,N,2264,2264,3144,20,2261,2259,3138,35.0762686,-119.3566425,566.0,,
MFL,348,3.112,165+71,16430.60,,WELD,,,,,,,0.219,,,,,,58.67,,,,,,,,,,35.0762687,-119.3565844,566.2,,
MFL,349,3.123,166+30,16489.27,,WELD,,,,,,,0.219,,,,,,58.62,,,,,,,,,,35.0762690,-119.3563891,566.6,,
MFL,350,3.134,166+89,16547.89,,WELD,,,,,,,0.219,,,,,,59.27,,,,,,,,,,35.0762699,-119.3561940,567.6,,
MFL,,3.138,167+12,16570.78,13000012,MCP,U22.89,22.89,36.38,D1353.93,3311.46,1353.93,,,,2,2,236,,,,,,,,,,,35.0762701,-119.3561179,567.0,,
MFL,351,3.145,167+48,16607.16,,WELD,,,,,,,0.219,,,,,,59.48,,,,,,,,,,35.0762702,-119.3559968,565.8,,
MFL,352,3.157,168+08,16666.64,,WELD,,,,,,,0.219,,,,,,50.24,,,,,,,,,,35.0762700,-119.3557991,562.4,,
MFL,,3.157,168+10,16668.82,10000079,Sleeve Begin,U2.18,2.18,48.06,D1255.89,3409.50,1255.89,0.219,,,,,,,,,,,,,,,,35.0762699,-119.3557784,562.1,,
MFL,,3.158,168+18,16676.88,10000079,Sleeve End  ,U10.24,10.24,40.00,D1247.83,3417.56,1247.83,0.219,,,,,,,,,,,,,,,,35.0762699,-119.3557784,562.1,,
MFL,,3.159,168+19,16677.54,40001482,ml-ext,U10.90,10.90,39.34,D1247.17,3418.22,1247.17,0.219,27,N,1.00,0.65,141,,,N,2179,2158,2998,37,2134,2100,2916,35.0762699,-119.3557628,561.9,,
MFL,,3.159,168+19,16677.91,10000080,Sleeve Begin,U11.27,11.27,38.97,D1246.80,3418.59,1246.80,0.219,,,,,,,,,,,,,,,,35.0762699,-119.3557448,561.8,,
MFL,,3.161,168+29,16688.00,10000080,Sleeve End  ,U21.36,21.36,28.88,D1236.72,3428.68,1236.72,0.219,,,,,,,,,,,,,,,,35.0762699,-119.3557448,561.8,,
MFL,,3.161,168+31,16689.98,40001483,ml-ext,U23.34,23.34,26.90,D1234.73,3430.66,1234.73,0.219,10,N,1.96,3.17,1,,,N,2198,2185,3035,20,2121,2091,2905,35.0762700,-119.3557214,561.6,,
MFL,,3.161,168+32,16690.32,40001484,ml-ext,U23.68,23.68,26.56,D1234.39,3431.00,1234.39,0.219,13,N,1.24,1.11,7,,,N,2215,2205,3062,23,2168,2146,2981,35.0762700,-119.3557203,561.6,,
MFL,,3.161,168+32,16690.52,10000081,Sleeve Begin,U23.88,23.88,26.36,D1234.19,3431.20,1234.19,0.219,,,,,,,,,,,,,,,,35.0762701,-119.3556903,561.5,,
MFL,,3.164,168+50,16708.12,10000081,Sleeve End  ,D8.76,41.48,8.76,D1216.59,3448.80,1216.59,0.219,,,,,,,,,,,,,,,,35.0762701,-119.3556903,561.5,,
MFL,,3.165,168+51,16709.38,40001485,ml-ext,D7.50,42.75,7.50,D1215.33,3450.07,1215.33,0.219,20,N,0.62,0.50,17,,,N,2240,2234,3103,30,2222,2211,3071,35.0762702,-119.3556568,561.4,,
MFL,353,3.166,168+58,16716.88,,WELD - WT Change - Begin 0.5 ERW,,,,,,,0.500,,,,,,1.18,,,,,,,,,,35.0762703,-119.3556318,561.3,,
MFL,354,3.166,168+60,16718.06,,WELD,,,,,,,0.500,,,,,,44.72,,,,,,,,,,35.0762703,-119.3556279,561.3,,
MFL,355,3.175,169+04,16762.78,,WELD,,,,,,,0.500,,,,,,1.42,,,,,,,,,,35.0762698,-119.3554793,563.8,,
MFL,356,3.175,169+06,16764.20,,WELD - WT Change - Begin 0.219 ERW,,,,,,,0.219,,,,,,18.89,,,,,,,,,,35.0762698,-119.3554746,563.9,,
MFL,,3.175,169+07,16765.65,10000082,Tap,U1.45,1.45,17.44,D1159.06,3506.33,1159.06,0.219,,,1,1,312,,,,,,,,,,,35.0762697,-119.3554698,564.0,,
MFL,357,3.179,169+25,16783.08,,WELD,,,,,,,0.219,,,,,,58.99,,,,,,,,,,35.0762689,-119.3554119,565.0,,
MFL,358,3.190,169+84,16842.08,,WELD,,,,,,,0.219,,,,,,58.64,,,,,,,,,,35.0762670,-119.3552155,565.8,,
MFL,359,3.201,170+43,16900.72,,WELD,,,,,,,0.219,,,,,,58.63,,,,,,,,,,35.0762651,-119.3550204,565.0,,
MFL,360,3.212,171+02,16959.35,,WELD,,,,,,,0.219,,,,,,59.13,,,,,,,,,,35.0762635,-119.3548252,563.3,,
MFL,,3.219,171+37,16994.33,40001486,ml-int,D24.15,34.98,24.15,D930.38,3735.01,930.38,0.219,10,N,0.57,0.52,134,,,N,2256,2254,3131,20,2244,2239,3110,35.0762630,-119.3547088,563.3,,
MFL,361,3.223,171+61,17018.48,,WELD,,,,,,,0.219,,,,,,59.67,,,,,,,,,,35.0762628,-119.3546284,563.9,,
MFL,,3.225,171+71,17028.29,20001757,ml-mill related - internal,U9.81,9.81,49.86,D896.42,3768.97,896.42,0.219,,N,1.31,2.26,181,,,N,,,,,,,,35.0762626,-119.3545958,564.1,,
MFL,362,3.234,172+21,17078.15,,WELD,,,,,,,0.219,,,,,,58.54,,,,,,,,,,35.0762616,-119.3544298,565.1,,
MFL,363,3.246,172+80,17136.69,,WELD,,,,,,,0.219,,,,,,32.99,,,,,,,,,,35.0762597,-119.3542350,564.9,,
MFL,364,3.252,173+13,17169.68,,WELD,,,,,,,0.219,,,,,,25.30,,,,,,,,,,35.0762588,-119.3541251,564.6,,
MFL,365,3.257,173+38,17194.98,,WELD,,,,,,,0.219,,,,,,59.44,,,,,,,,,,35.0762584,-119.3540410,563.7,,
MFL,,3.260,173+55,17211.96,13000013,MCP,U16.98,16.98,42.47,D712.75,3952.64,712.75,,,,3,3,275,,,,,,,,,,,35.0762583,-119.3539845,563.2,,
MFL,,3.263,173+74,17230.56,40001487,ml-ext,D23.86,35.59,23.86,D694.15,3971.24,694.15,0.219,22,N,1.54,2.62,158,,,N,2146,2145,2979,32,2076,2061,2863,35.0762580,-119.3539225,563.0,,
MFL,366,3.268,173+98,17254.42,,WELD,,,,,,,0.219,,,,,,59.37,,,,,,,,,,35.0762579,-119.3538431,563.2,,
MFL,367,3.279,174+57,17313.79,,WELD,,,,,,,0.219,,,,,,59.41,,,,,,,,,,35.0762578,-119.3536455,564.4,,
MFL,,3.288,175+04,17360.55,40001488,ml-int,D12.64,46.76,12.64,D564.16,4101.23,564.16,0.219,10,N,0.48,0.33,137,,,N,2259,2258,3136,20,2251,2247,3121,35.0762579,-119.3534899,563.8,,
MFL,,3.289,175+09,17365.69,40001489,ml-int,D7.50,51.90,7.50,D559.02,4106.37,559.02,0.219,10,N,0.40,0.36,138,,,N,2261,2260,3139,20,2255,2252,3128,35.0762579,-119.3534728,563.6,,
MFL,368,3.290,175+17,17373.19,,WELD,,,,,,,0.219,,,,,,59.79,,,,,,,,,,35.0762579,-119.3534478,563.2,,
MFL,,3.298,175+59,17414.85,10000083,u/s marker band,D18.13,41.66,18.13,D509.86,4155.53,509.86,0.219,,,,,,,,,,,,,,,,35.0762585,-119.3532962,559.8,,
MFL,,3.298,175+59,17415.75,40001490,ml-ext - between marker bands,D17.24,42.55,17.24,D508.96,4156.43,508.96,0.219,39,N,1.43,1.51,333,,,N,2039,2103,2921,49,1953,2015,2799,35.0762585,-119.3533066,559.8,,
MFL,,3.299,175+60,17416.69,40001491,ml-ext - between marker bands,D16.30,43.49,16.30,D508.02,4157.37,508.02,0.219,11,N,0.53,0.52,328,,,N,2256,2254,3131,21,2245,2240,3112,35.0762585,-119.3533035,559.8,,
MFL,,3.299,175+61,17417.39,40001492,ml-ext - between marker bands,D15.59,44.20,15.59,D507.32,4158.07,507.32,0.219,15,N,1.36,1.61,293,,,N,2201,2208,3066,25,2146,2144,2978,35.0762585,-119.3533011,559.8,,
MFL,,3.299,175+65,17420.91,40001493,ml-ext - between marker bands,D12.08,47.71,12.08,D503.80,4161.59,503.80,0.219,14,N,3.95,2.26,314,,,N,2098,2154,2991,24,1967,2004,2784,35.0762585,-119.3532894,559.7,,
MFL,,3.299,175+65,17420.97,40001494,ml-ext - between marker bands,D12.01,47.78,12.01,D503.74,4161.65,503.74,0.219,11,N,0.77,0.51,269,,,N,2247,2243,3116,21,2226,2217,3079,35.0762585,-119.3532892,559.7,,
MFL,,3.300,175+65,17421.62,40001495,ml-ext - between marker bands,D11.36,48.43,11.36,D503.09,4162.30,503.09,0.219,16,N,2.99,0.93,29,,,N,2099,2147,2982,26,1984,2015,2799,35.0762585,-119.3532870,559.7,,
MFL,,3.300,175+65,17421.78,40001496,ml-ext - between marker bands,D11.20,48.59,11.20,D502.93,4162.47,502.93,0.219,18,N,6.22,2.31,329,,,N,2014,2134,2964,28,1859,1970,2737,35.0762585,-119.3532865,559.7,,
MFL,,3.300,175+66,17422.19,40001497,ml-ext - between marker bands,D10.79,48.99,10.79,D502.52,4162.87,502.52,0.219,10,N,0.54,0.69,330,,,N,2257,2256,3133,20,2246,2242,3113,35.0762585,-119.3532852,559.7,,
MFL,,3.300,175+66,17422.34,40001498,ml-ext - between marker bands,D10.64,49.15,10.64,D502.37,4163.02,502.37,0.219,18,N,0.69,0.77,325,,,N,2238,2232,3100,28,2218,2206,3064,35.0762585,-119.3532847,559.7,,
MFL,,3.300,175+67,17422.88,10000083,d/s marker band,D10.11,49.68,10.11,D501.83,4163.56,501.83,0.219,,,,,,,,,,,,,,,,35.0762585,-119.3532962,559.8,,
MFL,,3.300,175+67,17423.29,40001499,ml-ext,D9.69,50.10,9.69,D501.42,4163.97,501.42,0.219,18,N,0.58,0.76,305,,,N,2246,2242,3114,28,2231,2223,3087,35.0762585,-119.3532815,559.7,,
MFL,,3.300,175+68,17423.86,40001500,ml-ext,D9.12,50.67,9.12,D500.85,4164.55,500.85,0.219,11,N,0.55,0.57,290,,,N,2256,2253,3130,21,2244,2239,3109,35.0762585,-119.3532796,559.7,,
MFL,369,3.302,175+77,17432.98,,WELD,,,,,,,0.219,,,,,,58.08,,,,,,,,,,35.0762585,-119.3532492,559.8,,
MFL,,3.307,176+06,17462.21,40001501,ml-ext,D28.86,29.22,28.86,D462.50,4202.89,462.50,0.219,10,N,0.68,0.53,255,,,N,2252,2250,3124,20,2235,2228,3095,35.0762581,-119.3531519,559.9,,
MFL,,3.307,176+07,17463.40,40001502,ml-ext,D27.66,30.42,27.66,D461.31,4204.08,461.31,0.219,20,N,1.59,1.19,140,,,N,2150,2206,3064,30,2079,2131,2960,35.0762580,-119.3531480,559.9,,
MFL,,3.308,176+08,17463.70,40001503,ml-ext,D27.36,30.72,27.36,D461.01,4204.38,461.01,0.219,15,N,0.86,0.48,150,,,N,2233,2226,3092,25,2205,2191,3043,35.0762580,-119.3531470,559.9,,
MFL,,3.308,176+08,17464.02,40001504,ml-ext,D27.05,31.03,27.05,D460.69,4204.70,460.69,0.219,12,N,0.48,0.52,156,,,N,2258,2256,3133,22,2248,2244,3117,35.0762580,-119.3531459,560.0,,
MFL,370,3.313,176+35,17491.06,,WELD,,,,,,,0.219,,,,,,59.16,,,,,,,,,,35.0762577,-119.3530559,560.4,,
MFL,371,3.324,176+94,17550.22,,WELD,,,,,,,0.219,,,,,,45.09,,,,,,,,,,35.0762564,-119.3528590,559.8,,
MFL,372,3.332,177+40,17595.31,,WELD - WT Change - Begin 0.322 ERW,,,,,,,0.322,,,,,,1.04,,,,,,,,,,35.0762544,-119.3527089,560.6,,
MFL,373,3.333,177+41,17596.35,,WELD,,,,,,,0.322,,,,,,1.18,,,,,,,,,,35.0762544,-119.3527054,560.6,,
MFL,,3.333,177+41,17596.93,10000084,Tee on top of pipe,U0.58,0.58,0.60,D327.78,4337.62,327.78,0.322,,,6,5,345,,,,,,,,,,,35.0762544,-119.3527035,560.6,,
MFL,374,3.333,177+42,17597.53,,WELD,,,,,,,0.322,,,,,,1.02,,,,,,,,,,35.0762543,-119.3527015,560.7,,
MFL,375,3.333,177+43,17598.55,,WELD - WT Change - Begin 0.219 ERW,,,,,,,0.219,,,,,,9.85,,,,,,,,,,35.0762543,-119.3526981,560.7,,
MFL,376,3.335,177+53,17608.40,,WELD,,,,,,,0.219,,,,,,58.98,,,,,,,,,,35.0762538,-119.3526654,560.9,,
MFL,,3.340,177+80,17635.37,40001505,ml-int,U26.97,26.97,32.02,D289.34,4376.05,289.34,0.219,10,N,0.48,0.33,159,,,N,2260,2258,3136,20,2251,2247,3121,35.0762525,-119.3525756,561.1,,
MFL,,3.340,177+82,17637.54,40001506,ml-int,U29.14,29.14,29.84,D287.17,4378.22,287.17,0.219,10,N,0.39,0.33,158,,,N,2262,2261,3140,20,2256,2253,3129,35.0762525,-119.3525684,561.1,,
MFL,,3.341,177+84,17639.19,40001507,ml-int,D28.19,30.79,28.19,D285.52,4379.87,285.52,0.219,10,N,0.58,0.33,158,,,N,2256,2253,3130,20,2243,2237,3107,35.0762524,-119.3525629,561.1,,
MFL,377,3.346,178+12,17667.38,,WELD,,,,,,,0.219,,,,,,59.44,,,,,,,,,,35.0762521,-119.3524690,561.4,,
MFL,,3.352,178+43,17698.37,40001508,ml-int,D28.46,30.99,28.46,D226.34,4439.05,226.34,0.219,11,N,0.48,0.33,152,,,N,2259,2257,3135,21,2249,2246,3119,35.0762528,-119.3523659,561.1,,
MFL,378,3.357,178+71,17726.83,,WELD,,,,,,,0.219,,,,,,59.79,,,,,,,,,,35.0762531,-119.3522711,560.9,,
MFL,379,3.369,179+31,17786.62,,WELD,,,,,,,0.219,,,,,,59.23,,,,,,,,,,35.0762531,-119.3520721,560.1,,
MFL,,3.372,179+47,17802.42,40001509,ml-ext,U15.80,15.80,43.42,D122.29,4543.10,122.29,0.219,11,N,1.36,0.70,321,,,N,2220,2233,3102,21,2169,2175,3020,35.0762533,-119.3520195,559.6,,
MFL,,3.372,179+48,17803.18,40001510,ml-ext,U16.56,16.56,42.67,D121.53,4543.86,121.53,0.219,11,N,0.58,0.43,326,,,N,2255,2252,3128,21,2242,2236,3105,35.0762533,-119.3520170,559.6,,
